Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Clayton Kershaw,20,,SP,12800,LAD,SD,75%,2.29,8.5,0.293,28.60%,,33.00%,2.3,2.17,L,0.207,0.231,1%,0%,0%,0,0,0,0,0,32.7,2.6,0,0
Noah Syndergaard,8,,SP,11600,NYM,ATL,63%,3,7,0.31,21.10%,,28.50%,2.95,2.78,R,0.303,0.256,1%,1%,-1%,0,0,0,0,0,22.4,1.9,0,0
Corey Kluber,7,,SP,10100,CLE,@TEX,52%,3.89,6.5,0.333,21.70%,,27.00%,3.24,3.27,R,0.309,0.25,-2%,1%,0%,0,0,0,0,0,21.6,2.1,0,0
Stephen Strasburg,13,,SP,9900,WAS,MIA,67%,3.25,6.5,0.302,22.20%,,30.20%,2.99,2.97,R,0.276,0.301,0%,1%,0%,0,0,0,0,0,22.4,2.3,0,0
Yu Darvish,8,,SP,9000,TEX,CLE,48%,4.11,6.5,0.339,19.10%,,31.70%,3.08,3.19,R,0.297,0.278,-2%,1%,0%,0,0,0,0,0,18.8,2.1,0,0
Rick Porcello,6,,SP,8800,BOS,PIT,59%,3.81,5,0.332,18.10%,,20.80%,3.76,3.82,R,0.319,0.304,-4%,4%,0%,0,0,0,0,0,15,1.7,0,0
Dallas Keuchel,6,,SP,8700,HOU,SEA,59%,3.83,5.5,0.324,19.50%,,22.30%,3.24,3.08,L,0.262,0.297,1%,-1%,0%,0,0,0,0,0,16.8,1.9,0,0
Danny Duffy,8,,SP,8600,KC,@MIN,51%,3.95,5.5,0.327,24.80%,,22.00%,3.99,4.16,L,0.222,0.323,0%,3%,0%,0,0,0,0,0,19,2.2,0,0
Julio Teheran,4,,SP,8300,ATL,@NYM,37%,4,5,0.307,22.40%,,21.10%,4.08,4.16,R,0.342,0.254,4%,2%,-1%,0,0,0,0,0,17.8,2.1,0,0
Felix Hernandez,0,,SP,8200,SEA,@HOU,41%,4.67,5,0.332,16.60%,,21.10%,3.92,3.81,R,0.283,0.287,0%,-1%,0%,0,0,0,0,0,13.7,1.7,0,0
Jon Gray,15,,SP,7800,COL,@MIL,55%,3.79,6.5,0.296,28.20%,,25.10%,3.75,3.65,R,0.305,0.331,6%,3%,0%,0,0,0,0,0,22.5,2.9,0,0
Gerrit Cole,,,SP,7400,PIT,@BOS,41%,4.69,4.5,0.321,18.10%,,22.40%,3.61,3.47,R,0.304,0.287,-7%,4%,0%,0,0,0,0,0,14.3,1.9,0,0
Ervin Santana,0,,SP,7100,MIN,KC,49%,4.05,4.5,0.313,20.30%,,19.20%,4.34,4.29,R,0.313,0.297,-1%,5%,0%,0,0,0,0,0,14.7,2.1,0,0
Marco Estrada,2,,SP,7000,TOR,@BAL,45%,4.49,5,0.338,21.10%,,20.40%,4.48,4.79,R,0.284,0.304,2%,3%,-1%,0,0,0,0,0,13.9,2,0,0
Ricky Nolasco,0,,SP,7000,LAA,@OAK,50%,3.98,4,0.318,19.50%,,18.10%,4.34,4.35,R,0.337,0.346,3%,1%,0%,0,0,0,0,0,14,2,0,0
Jeremy Hellickson,2,,SP,6700,PHI,@CIN,48%,4.35,,0.296,22.20%,,19.50%,4.14,4.07,R,0.326,0.323,-2%,2%,1%,0,0,0,0,0,14.9,2.2,0,0
Kevin Gausman,1,,SP,6600,BAL,TOR,55%,4.01,5.5,0.339,19.00%,,22.60%,3.76,3.78,R,0.298,0.338,0%,2%,-1%,0,0,0,0,0,15.6,2.4,0,0
Edinson Volquez,,,SP,6500,MIA,@WAS,33%,4.75,4,0.322,20.50%,,17.30%,4.54,4.41,R,0.333,0.311,-3%,2%,0%,0,0,0,0,0,12.5,1.9,0,0
Junior Guerra,1,,SP,6400,MIL,COL,45%,4.21,5,0.315,22.00%,,20.20%,4.39,4.27,R,0.274,0.288,-1%,6%,1%,0,0,0,0,0,16.5,2.6,0,0
Kendall Graveman,1,,SP,5600,OAK,LAA,50%,4.02,,0.321,18.80%,,14.40%,4.52,4.35,R,0.324,0.319,4%,2%,0%,0,0,0,0,0,11.4,2,0,0
Jhoulys Chacin,,,SP,5300,SD,@LAD,25%,4.21,,0.331,22.90%,,18.80%,4.37,4.2,R,0.328,0.318,6%,1%,0%,0,0,0,0,0,14.9,2.8,0,0
Scott Feldman,,,SP,5300,CIN,PHI,52%,4.15,,0.292,23.20%,,14.80%,4.28,4.12,R,0.311,0.327,0%,2%,2%,0,0,0,0,0,13.9,2.6,0,0
