"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Clayton Kershaw",4,"SP",12900,"LAD","@CLE","60%",3.55,NA,NA,NA,4.43,"32.3%",2.43,2.29,"L",0.22,0.228,"-4%","-1%","0%",28.5,26.5,26.5,16,36.9,24.6,1.9,0,0
"Zack Greinke",1,"SP",12200,"ARI","@DET","52%",4.39,NA,NA,NA,4.87,"23.6%",3.52,3.43,"R",0.278,0.256,"2%","-1%","-1%",25.1,24,24,12.3,35.8,18.9,1.5,0,0
"David Price",4,"SP",10100,"BOS","PHI","69%",3.73,NA,NA,NA,3.97,"24.5%",3.48,3.44,"L",0.3,0.287,"-2%","-1%","0%",13,13,13,-1.9,28,18.7,1.9,0,0
"Jon Lester",3,"SP",8800,"CHC","@NYM","53%",4.1,NA,NA,NA,4.9,"24.7%",3.49,3.34,"L",0.278,0.29,"3%","-2%","0%",15,15.9,15.9,4.2,27.6,17.3,2,0,0
"CC Sabathia",1,"SP",8700,"NYY","@LAA","54%",4.07,NA,NA,NA,4.26,"19.3%",4.24,4.16,"L",0.266,0.337,"5%","1%","0%",25.6,15.9,15.9,4.5,27.3,16.9,1.9,0,0
"Jason Vargas",NA,"SP",8300,"KC","@SF","48%",3.84,NA,NA,NA,3.68,"18.4%",4.41,4.57,"L",0.334,0.26,"3%","1%","0%",14.4,19.6,19.6,8.9,30.3,15.6,1.9,0,0
"Marco Estrada",1,"SP",8000,"TOR","TB","56%",4.19,NA,NA,NA,4.7,"21.8%",4.28,4.61,"R",0.284,0.296,"-2%","-1%","0%",17.7,18.8,18.8,7.2,30.3,15.4,1.9,0,0
"Brad Peacock",2,"SP",7900,"HOU","TEX","",NA,NA,NA,NA,4.77,"27.1%",3.98,4.24,"R",0.337,0.265,"1%","-2%","-4%",15.4,15.4,15.4,0.3,30.4,11.6,1.5,0,0
"Tyler Chatwood",NA,"SP",7700,"COL","@PIT","49%",4.55,NA,NA,NA,4.22,"18.3%",4.57,4.22,"R",0.317,0.306,"10%","-1%","0%",18.4,15.1,15.1,2.3,27.8,16.1,2.1,0,0
"Jacob Faria",1,"SP",7500,"TB","@TOR","44%",4.81,NA,NA,NA,4.29,"",NA,NA,"R",NA,NA,"-4%","-1%","0%",23.3,23.3,23.3,23.3,23.3,16.8,2.2,0,0
