"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Joey Votto",6,"1B",5600,"CIN","@COL",5.56,"Freeland",NA,"-3%","L","L",0.398,"-4%",0.22,"-8%","3","3","0","21%","5%","-2%",12.2,10.6,10.5,3.2,17.8,11,2,0,0
"Aaron Judge",2,"OF",5500,"NYY","TOR",5.08,"Happ",0.298,"-5%","L","R",0.423,"3%",0.284,"6%","2","2","0","0%","4%","0%",10.5,12.1,12.1,2.1,22,9.8,1.8,14,2.5
"Charlie Blackmon",7,"OF",5400,"COL","CIN",6.44,"Bailey",0.366,"7%","R","L",0.383,"5%",0.232,"16%","1","1","0","11%","5%","-2%",7,10.8,10.7,2.3,19.2,12.4,2.3,3,0.6
"Paul Goldschmidt",1,"1B",5300,"ARI","@LAD",2.76,"Kershaw",0.23,"-20%","L","R",0.431,"5%",0.237,"1%","3","3","0","-8%","1%","2%",8.7,11.5,11.5,3.3,19.8,8,1.5,7,1.3
"Carlos Correa",5,"SS",5200,"HOU","@ATL",5.08,"Newcomb",NA,"2%","L","R",0.358,"-1%",0.209,"2%","4","3","0","-1%","0%","0%",13.4,9.9,9.9,2.3,17.5,9.3,1.8,7,1.3
"Cody Bellinger",4,"1B/OF",5200,"LAD","ARI",4.74,"Corbin",0.297,"-3%","L","L",0.382,"-5%",0.343,"-14%","4","4","0","-2%","1%","3%",7.4,10.8,10.8,0.1,21.5,8.1,1.6,5,1
"Adam Duvall",4,"OF",5200,"CIN","@COL",5.56,"Freeland",0.337,"4%","L","R",0.343,"2%",0.241,"0%","4","4","0","29%","6%","-2%",10.6,9.4,9.4,0.9,18,12,2.3,7,1.3
"Nolan Arenado",5,"3B",5000,"COL","CIN",6.44,"Bailey",0.298,"-4%","R","R",0.377,"-1%",0.282,"5%","3","3","0","14%","6%","-2%",6.4,9.4,9.4,1.1,17.7,10.9,2.2,6,1.2
"Mark Reynolds",4,"1B",4900,"COL","CIN",6.44,"Bailey",0.298,"-4%","R","R",0.362,"8%",0.206,"14%","5","4","-1","12%","5%","-2%",5.7,9,9,0.3,17.7,9.9,2,6,1.2
"Robinson Cano",0,"2B",4900,"SEA","KC",4.68,"Duffy",0.225,"-19%","L","L",0.326,"-7%",0.141,"-23%","3","3","0","-2%","3%","0%",12.9,8.9,8.9,-0.2,18,6.3,1.3,0,0
"Justin Smoak",3,"1B",4900,"TOR","@NYY",4.92,"Sabathia",0.335,"3%","L","S",0.305,"-6%",0.149,"-27%","4","4","0","-1%","4%","0%",7.6,9.2,9.2,0.6,17.9,8.2,1.7,4,0.8
"Logan Morrison",1,"1B",4700,"TB","@CHC",3.49,"Lester",0.271,"-11%","L","L",0.291,"-10%",0.111,"-42%","x","x","-","0%","0%","0%",10.8,9.4,9.4,0.9,18,0,0,0,0
"Jose Altuve",7,"2B",4700,"HOU","@ATL",5.08,"Newcomb",NA,"2%","L","R",0.385,"3%",0.16,"-5%","2","2","1","-1%","0%","0%",10.8,9.8,9.8,1.9,17.8,10.2,2.2,32,6.8
"Dexter Fowler",NA,"OF",4700,"STL","MIA",5,"Urena",0.331,"3%","R","S",0.343,"-3%",0.184,"7%","x","x","-","0%","0%","0%",12.8,8.4,8.4,0.4,16.3,0,0,0,0
"Anthony Rizzo",3,"1B",4700,"CHC","TB",4.01,"Archer",0.289,"-7%","R","L",0.386,"2%",0.254,"10%","3","3","-1","-3%","3%","-8%",7.6,9.4,9.4,1.6,17.2,8,1.7,9,1.9
"Khris Davis",5,"OF",4700,"OAK","CWS",5.12,"Shields",0.332,"3%","R","R",0.362,"2%",0.283,"4%","3","4","1","-3%","2%","1%",13.9,8.8,9.1,0.5,17.6,9.1,1.9,5,1.1
"Andrew McCutchen",5,"OF",4700,"PIT","@PHI",4.65,"Leiter",NA,"-1%","R","R",0.35,"-5%",0.182,"-8%","3","3","0","7%","5%","0%",8.4,8.6,8.6,1,16.2,9.7,2.1,31,6.6
"George Springer",6,"OF",4700,"HOU","@ATL",5.08,"Newcomb",NA,"2%","L","R",0.4,"10%",0.269,"26%","1","1","0","-1%","0%","0%",11.4,10.3,10.3,1.3,19.3,10.9,2.3,31,6.6
"Tommy Pham",1,"OF",4600,"STL","MIA",5,"Urena",0.332,"3%","R","R",0.352,"0%",0.213,"3%","2","2","0","-1%","3%","-1%",10.4,9.8,9.8,0.5,19.2,8.6,1.9,0,0
"Billy Hamilton",3,"OF",4600,"CIN","@COL",5.56,"Freeland",0.337,"4%","L","S",0.263,"-4%",0.102,"31%","1","1","0","25%","3%","-2%",7.7,8.6,8.6,1.1,16.1,11.2,2.4,14,3
"Edwin Encarnacion",2,"1B",4600,"CLE","SD",5.14,"Cahill",0.3,"-3%","R","R",0.378,"0%",0.27,"5%","4","4","0","2%","2%","-3%",7.8,8.6,8.6,0.2,17.1,8.5,1.8,2,0.4
"Miguel Sano",2,"3B",4600,"MIN","LAA",5.06,"Ramirez",0.311,"-2%","R","R",0.362,"0%",0.248,"-1%","3","3","0","2%","6%","0%",8.1,9.5,9.5,1,18,9.1,2,3,0.7
"Didi Gregorius",1,"SS",4600,"NYY","TOR",5.08,"Happ",0.318,"-1%","L","L",0.291,"-5%",0.087,"-36%","4","4","0","3%","4%","0%",8.5,8.1,8.1,1,15.3,7.5,1.6,0,0
"Mookie Betts",2,"OF",4600,"BOS","@TEX",4.52,"Darvish",0.277,"-9%","R","R",0.37,"1%",0.204,"0%","1","1","0","0%","2%","0%",15.1,10.2,10.2,-0.1,20.5,9.9,2.2,0,0
"Jose Ramirez",5,"2B/3B",4600,"CLE","SD",5.14,"Cahill",0.336,"3%","R","S",0.326,"1%",0.142,"5%","5","5","0","4%","1%","-2%",14.3,9.8,9.8,0.6,19.1,8.9,1.9,11,2.4
"Marwin Gonzalez",3,"1B/OF",4600,"HOU","@ATL",5.08,"Newcomb",NA,"2%","L","S",0.334,"1%",0.171,"3%","5","5","2","-1%","0%","0%",8.6,9.2,9.2,1.3,17.1,8,1.7,16,3.5
"Jonathan Villar",3,"2B",4600,"MIL","BAL",5.37,"Jimenez",0.35,"7%","R","S",0.327,"0%",0.144,"-7%","1","x","0","6%","0%","-2%",8.5,8,8,-0.2,16.1,9.8,2.1,0,0
"Ian Desmond",NA,"1B/OF",4500,"COL","CIN",6.44,"Bailey",0.298,"-4%","R","R",0.306,"-4%",0.144,"-4%","x","x","-","0%","0%","0%",6.1,7.6,7.6,0.5,14.7,0,0,0,0
"Xander Bogaerts",0,"SS",4500,"BOS","@TEX",4.52,"Darvish",0.277,"-9%","R","R",0.336,"-2%",0.131,"-1%","3","x","0","1%","2%","0%",7.5,8.5,8.5,1.3,15.8,7.9,1.8,2,0.4
"Chris Taylor",4,"2B/OF",4500,"LAD","ARI",4.74,"Corbin",0.358,"8%","L","R",0.332,"5%",0.121,"-1%","5","1","-2","-4%","1%","2%",7.7,9.2,9.2,0.2,18.1,8,1.8,17,3.8
"Nelson Cruz",4,"OF",4500,"SEA","KC",4.68,"Duffy",0.331,"2%","L","R",0.412,"7%",0.28,"11%","4","4","0","-5%","3%","0%",6.5,8.6,8.6,1.1,16.1,9.1,2,14,3.1
"Corey Seager",2,"SS",4500,"LAD","ARI",4.74,"Corbin",0.297,"-3%","L","L",0.355,"-7%",0.191,"-12%","2","2","0","-3%","1%","3%",14.6,9.4,9.4,0.6,18.2,7.7,1.7,0,0
"Ryan Braun",1,"OF",4500,"MIL","BAL",5.37,"Jimenez",0.318,"0%","R","R",0.358,"-4%",0.226,"-3%","x","x","-","0%","0%","0%",7.7,9.8,9.8,2.2,17.5,0,0,0,0
"Mike Trout",NA,"OF",4500,"LAA","@MIN",4.94,"Gibson",0.327,"2%","R","R",0.423,"1%",0.288,"6%","x","x","-","0%","0%","0%",12.1,12.5,12.5,5.4,19.6,0,0,0,0
"Justin Turner",5,"3B",4500,"LAD","ARI",4.74,"Corbin",0.358,"8%","L","R",0.344,"-8%",0.165,"-16%","3","3","0","-4%","1%","2%",11.3,9.3,9.3,2.5,16.1,8.3,1.8,19,4.2
"Jed Lowrie",4,"2B",4400,"OAK","CWS",5.12,"Shields",0.353,"7%","R","S",0.308,"-1%",0.138,"9%","2","3","1","-3%","1%","1%",6.1,7.8,7.8,0.4,15.2,7.6,1.7,5,1.1
"Scooter Gennett",NA,"2B/OF",4400,"CIN","@COL",5.56,"Freeland",NA,"-3%","L","L",0.229,"-17%",0.086,"-32%","x","x","-","0%","0%","0%",12.4,10,10,-1.8,21.7,0,0,16,3.6
"Travis Shaw",7,"3B",4400,"MIL","BAL",5.37,"Jimenez",0.35,"7%","R","L",0.344,"2%",0.205,"-3%","4","4","0","8%","0%","-3%",12.4,9.8,9.8,1.3,18.3,9.2,2.1,17,3.9
"Starling Marte",NA,"OF",4400,"PIT","@PHI",4.65,"Leiter",NA,"-1%","R","R",0.351,"0%",0.155,"3%","x","x","-","0%","0%","0%",8.2,7.8,7.8,-1.9,17.4,0,0,0,0
"Joc Pederson",NA,"OF",4400,"LAD","ARI",4.74,"Corbin",0.297,"-3%","L","L",0.263,"-15%",0.142,"-29%","x","x","-","0%","0%","0%",12,7.4,7.4,0.6,14.3,0,0,0,0
"Jackie Bradley Jr.",2,"OF",4400,"BOS","@TEX",4.52,"Darvish",0.298,"-5%","R","L",0.357,"3%",0.242,"18%","7","6","-1","0%","2%","0%",9,8,8,0.7,15.3,7.8,1.8,22,5
"Jose Abreu",3,"1B",4400,"CWS","@OAK",4.38,"Gossett",NA,"-1%","R","R",0.357,"-2%",0.199,"-4%","3","3","0","-5%","2%","1%",8.8,8.7,8.7,1,16.5,8.2,1.9,18,4.1
"Jake Lamb",0,"3B",4400,"ARI","@LAD",2.76,"Kershaw",0.224,"-21%","L","L",0.245,"-19%",0.136,"-30%","x","x","-","0%","0%","0%",7.8,9.9,9.9,2,17.8,0,0,2,0.5
"David Dahl",1,"OF",4300,"COL","CIN",6.44,"Bailey",0.366,"7%","R","L",0.38,"5%",0.218,"15%","x","x","-","0%","0%","0%",0,0,0,0,0,0,0,0,0
"Logan Forsythe",6,"2B/3B",4300,"LAD","ARI",4.74,"Corbin",0.358,"8%","L","R",0.354,"6%",0.212,"32%","1","6","4","-4%","1%","2%",8.7,6.7,6.7,0.2,13.1,8.9,2.1,9,2.1
"Buster Posey",0,"1B/C",4300,"SF","@DET",4.1,"Fulmer",0.284,"-8%","R","R",0.35,"-4%",0.141,"-14%","4","4","0","4%","3%","0%",9,8.6,8.6,2.1,15.1,8,1.9,0,0
"Justin Bour",4,"1B",4300,"MIA","@STL",4.5,"Lynn",0.335,"3%","R","L",0.358,"2%",0.238,"5%","5","5","0","1%","4%","-2%",5.9,9,9,0.2,17.7,8.6,2,2,0.5
"Josh Reddick",NA,"OF",4300,"HOU","@ATL",5.08,"Newcomb",NA,"-5%","L","L",0.264,"-20%",0.09,"-42%","3","x","-1","-6%","0%","0%",15.5,9.1,9.1,1.3,16.8,6.4,1.5,30,7
"Aledmys Diaz",NA,"SS",4300,"STL","MIA",5,"Urena",0.332,"3%","R","R",0.354,"4%",0.202,"12%","x","x","-","0%","0%","0%",3.5,6.2,6.2,-0.9,13.4,0,0,0,0
"Elvis Andrus",6,"SS",4300,"TEX","BOS",4.48,"Price",0.29,"-7%","L","R",0.334,"3%",0.119,"-1%","3","2","-1","2%","2%","0%",14,9.5,9.6,1.2,17.9,8.1,1.9,3,0.7
"Zack Cozart",5,"SS",4300,"CIN","@COL",5.56,"Freeland",0.337,"4%","L","R",0.331,"0%",0.186,"1%","2","2","0","31%","5%","-2%",3.9,9.3,9.3,0.9,17.8,11.2,2.6,0,0
"Ryon Healy",0,"1B/3B",4300,"OAK","CWS",5.12,"Shields",0.332,"3%","R","R",0.336,"-5%",0.215,"-6%","x","x","-","0%","0%","0%",7.5,7.9,7.9,-0.9,16.7,0,0,0,0
"Giancarlo Stanton",1,"OF",4300,"MIA","@STL",4.5,"Lynn",0.274,"-10%","R","R",0.35,"-8%",0.252,"-11%","2","2","0","0%","4%","-2%",7.6,9.1,9.1,0.4,17.8,8.4,2,8,1.9
"Eric Hosmer",2,"1B",4300,"KC","@SEA",4.32,"Hernandez",0.282,"-8%","R","L",0.363,"6%",0.184,"17%","4","4","0","-3%","3%","0%",10,8.1,8,1.8,14.1,7.9,1.8,14,3.3
"Lonnie Chisenhall",4,"OF",4300,"CLE","SD",5.14,"Cahill",0.336,"3%","R","L",0.327,"2%",0.173,"11%","6","6","0","4%","1%","-2%",8.4,9.3,9.3,0.9,17.7,8,1.9,0,0
"Jean Segura",1,"SS",4300,"SEA","KC",4.68,"Duffy",0.331,"2%","L","R",0.313,"-4%",0.123,"-6%","1","1","0","-5%","2%","0%",7.9,9,9,1.8,16.1,7.4,1.7,16,3.7
