"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Max Scherzer",1,"SP",13000,"WAS","@LAD","53%",3.63,NA,NA,NA,4.88,"31.4%",2.83,3.15,"R",0.304,0.216,"4%","1%","-1%",30.1,28.4,28.4,17.4,39.5,27.2,2.1,0,0
"Robbie Ray",4,"SP",11900,"ARI","SD","64%",3.57,NA,NA,NA,3.45,"26.3%",3.74,3.66,"L",0.305,0.323,"-2%","0%","0%",24.7,22.9,22.9,9.7,36,22.4,1.9,0,0
"Jacob deGrom",1,"SP",10900,"NYM","@TEX","59%",4.29,NA,NA,NA,4.68,"26.7%",3.29,3.15,"R",0.288,0.271,"-5%","1%","0%",21.6,21.5,21.5,9,34.1,19.7,1.8,0,0
"Chris Archer",3,"SP",10600,"TB","CWS","60%",3.34,NA,NA,NA,4.51,"28.4%",3.31,3.23,"R",0.287,0.286,"1%","0%","0%",24.9,21.7,21.7,11.5,32,23.1,2.2,0,0
"Marco Estrada",1,"SP",9200,"TOR","@OAK","56%",3.68,NA,NA,NA,4.16,"21.6%",4.3,4.62,"R",0.284,0.295,"5%","1%","-1%",19.6,19,19,7,31,17.5,1.9,0,0
"Jake Arrieta",4,"SP",9000,"CHC","MIA","64%",NA,NA,NA,NA,4.51,"25.7%",3.35,3.17,"R",0.258,0.252,"1%","1%","2%",14.7,17,17,6.6,27.3,17.1,1.9,0,0
"James Paxton",3,"SP",8800,"SEA","MIN","66%",3.49,NA,NA,NA,4.64,"22.9%",3.72,3.57,"L",0.329,0.277,"2%","-1%","0%",25,25.5,25.5,15.2,35.9,17.8,2,0,0
"Jose Quintana",1,"SP",8200,"CWS","@TB","40%",4.16,NA,NA,NA,4.61,"21.4%",3.88,3.85,"L",0.29,0.318,"2%","0%","0%",8.7,13.2,13.2,-0.4,26.9,14.8,1.8,0,0
"Adam Wainwright",NA,"SP",8100,"STL","@CIN","55%",4.26,NA,NA,NA,5.02,"19.1%",4.23,3.96,"R",0.318,0.309,"-2%","0%","-1%",21,14.8,14.8,3.7,25.9,14.8,1.8,0,0
"Chase Anderson",1,"SP",7900,"MIL","SF","56%",4.17,NA,NA,NA,3.5,"18.7%",4.44,4.44,"R",0.308,0.354,"0%","2%","0%",16.4,16.4,16.4,3.1,29.7,15.2,1.9,0,0
"Brandon McCarthy",1,"SP",7800,"LAD","WAS","47%",3.87,NA,NA,NA,5.71,"25.5%",3.86,3.69,"R",0.318,0.313,"4%","1%","-2%",14.3,17.1,17.1,8.9,25.4,14.5,1.9,0,0
"Drew Pomeranz",NA,"SP",7600,"BOS","@NYY","48%",4.61,NA,NA,NA,5.44,"25.9%",3.7,3.68,"L",0.282,0.296,"2%","3%","0%",15.5,17.4,17.4,6.1,28.7,14.5,1.9,0,0
"Masahiro Tanaka",NA,"SP",7500,"NYY","BOS","52%",4.39,NA,NA,NA,4.84,"21.3%",3.67,3.56,"R",0.292,0.3,"0%","4%","0%",8.1,12.2,12.2,-4,28.4,13.3,1.8,0,0
"Jaime Garcia",NA,"SP",7300,"ATL","PHI","50%",4.23,NA,NA,NA,4.06,"19.0%",3.9,3.75,"L",0.3,0.304,"0%","1%","0%",16.6,13.7,13.7,5.3,22.1,17.2,2.4,0,0
"Kevin Gausman",NA,"SP",6900,"BAL","PIT","55%",4.27,NA,NA,NA,4.16,"21.1%",4.02,4.02,"R",0.298,0.365,"0%","1%","0%",12.1,7.1,7.1,-3.6,17.7,14.5,2.1,0,0
"Dinelson Lamet",NA,"SP",6800,"SD","@ARI","36%",4.93,NA,NA,NA,4.8,"",NA,NA,"R",NA,NA,"-7%","0%","0%",24.6,24.6,24.6,22.4,26.9,15,2.2,0,0
"Daniel Norris",NA,"SP",6700,"DET","LAA","60%",4.02,NA,NA,NA,4.05,"20.4%",4.32,4.41,"L",0.324,0.33,"0%","1%","-2%",11,11.8,11.8,3.4,20.2,14.7,2.2,0,0
"Jesse Chavez",NA,"SP",6600,"LAA","@DET","40%",4.98,NA,NA,NA,4.95,"20.3%",3.99,4.05,"R",0.329,0.303,"-3%","2%","-2%",11.9,13.1,13.1,3.9,22.3,13.4,2,0,0
"David Paulino",1,"RP",6200,"HOU","@KC","",NA,NA,NA,NA,3.53,"",NA,NA,"R",NA,NA,"-5%","1%","0%",17.4,17.4,17.4,17.4,17.4,14.1,2.3,0,0
"Ivan Nova",NA,"SP",6100,"PIT","@BAL","45%",4.73,NA,NA,NA,4.44,"16.4%",4.09,3.99,"R",0.354,0.296,"-1%","1%","0%",10.9,16.3,16.3,5.5,27.2,15.1,2.5,0,0
"Aaron Nola",NA,"SP",6000,"PHI","@ATL","50%",4.27,NA,NA,NA,4.54,"23.2%",3.51,3.36,"R",0.326,0.294,"-1%","1%","0%",10.7,12.3,12.3,4.6,20,16.6,2.8,0,0
"Tim Adleman",NA,"SP",5800,"CIN","STL","45%",4.74,NA,NA,NA,4.13,"18.0%",4.68,4.93,"R",0.333,0.325,"0%","0%","-1%",10.1,11.5,11.5,-0.2,23.2,11,1.9,0,0
"Jake Junis",NA,"SP",5700,"KC","HOU","",NA,NA,NA,NA,5.47,"",NA,NA,"R",NA,NA,"-3%","2%","0%",9.7,9.7,9.7,9.7,9.7,8,1.4,0,0
"Jesse Hahn",NA,"SP",5600,"OAK","TOR","43%",4.32,NA,NA,NA,4.37,"15.5%",4.45,4.23,"R",0.332,0.256,"3%","2%","-1%",8.7,13.5,13.5,3.3,23.7,11,2,0,0
"Hector Santiago",NA,"SP",5500,"MIN","@SEA","34%",5.01,NA,NA,NA,4.64,"19.1%",4.85,5.3,"L",0.324,0.319,"9%","-1%","0%",6.1,11.3,11.3,1.3,21.3,10.6,1.9,0,0
"Jeff Locke",1,"SP",5400,"MIA","@CHC","36%",NA,NA,NA,NA,4.64,"15.8%",4.51,4.31,"L",0.306,0.335,"0%","1%","4%",22.9,22.9,22.9,22.9,22.9,13,2.4,0,0
"Antonio Senzatela",NA,"SP",5300,"COL","CLE","49%",5.31,NA,NA,NA,4.51,"16.1%",4.66,4.45,"R",0.31,0.29,"-13%","2%","0%",14.7,15.1,15.1,8.1,22,10.4,2,0,0
"Matt Cain",NA,"SP",5200,"SF","@MIL","43%",4.83,NA,NA,NA,4.98,"16.3%",4.85,4.89,"R",0.363,0.347,"-4%","4%","0%",9.5,10.1,10.1,-2.5,22.8,10.6,2,0,0
"Mike Clevinger",NA,"SP",5100,"CLE","@COL","51%",5.19,NA,NA,NA,5.08,"23.6%",4.53,4.5,"R",0.257,0.364,"-19%","2%","0%",18.9,18.9,18.9,8.8,29.1,11.8,2.3,0,0
"Dillon Gee",NA,"RP",4600,"TEX","NYM","41%",5.21,NA,NA,NA,4.89,"15.6%",4.53,4.68,"R",0.349,0.332,"-5%","2%","0%",0,0,0,0,0,9.6,2.1,0,0
