Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Clayton Kershaw,17,SP,14300,LAD,@SF,68%,2.58,8,,,3.55,32.8%,2.30,2.18,L,0.212,0.230,-1%,1%,0%,27.8,27.8,27.8,17.7,37.9,26.6,1.9,0.0,0.0
Danny Duffy,6,SP,10400,KC,@CWS,56%,3.91,6,0.311,21.3%,3.72,21.9%,4.01,4.17,L,0.225,0.319,3%,1%,0%,22.0,22.0,22.0,17.1,27.0,19.5,1.9,0.0,0.0
Kyle Hendricks,9,SP,10200,CHC,@PIT,55%,3.56,4.5,0.312,19.2%,3.42,22.5%,3.57,3.45,R,0.303,0.256,0%,2%,0%,10.3,10.3,10.3,3.7,16.9,15.5,1.5,0.0,0.0
Julio Teheran,4,SP,10000,ATL,@NYM,43%,3.75,,0.312,21.0%,4.16,21.0%,4.12,4.20,R,0.343,0.253,5%,3%,2%,13.3,13.3,13.3,1.0,25.7,16.8,1.7,0.0,0.0
Felix Hernandez,3,SP,9500,SEA,@DET,55%,4.02,5,0.307,20.8%,4.67,21.0%,3.85,3.75,R,0.284,0.294,-2%,2%,0%,14.5,14.5,14.5,12.3,16.7,16.2,1.7,0.0,0.0
Vincent Velasquez,7,SP,9300,PHI,MIA,49%,3.54,,0.299,21.4%,4.78,26.9%,3.67,3.83,R,0.334,0.324,1%,3%,3%,10.7,10.7,10.7,5.8,15.6,18.4,2.0,0.0,0.0
Dallas Keuchel,2,SP,9200,HOU,@CLE,52%,4.16,4.5,0.341,17.0%,4.83,22.3%,3.22,3.07,L,0.258,0.295,-8%,2%,0%,24.8,24.8,24.8,21.3,28.3,13.9,1.5,0.0,0.0
Marco Estrada,2,SP,8800,TOR,@STL,42%,4.10,5,0.317,22.1%,3.63,20.7%,4.43,4.76,R,0.284,0.305,3%,0%,0%,17.7,17.7,17.7,7.8,27.5,17.2,2.0,0.0,0.0
Gerrit Cole,4,SP,8500,PIT,CHC,45%,3.94,5.5,0.322,23.4%,5.42,22.2%,3.63,3.50,R,0.309,0.289,1%,3%,0%,12.5,12.5,12.5,3.0,21.9,17.0,2.0,0.0,0.0
Wei-Yin Chen,,SP,7600,MIA,@PHI,51%,3.46,,0.297,25.1%,4.72,19.1%,4.06,4.11,L,0.287,0.336,1%,4%,3%,13.1,13.1,13.1,-1.3,27.4,16.7,2.2,0.0,0.0
Ervin Santana,1,SP,7100,MIN,@TEX,49%,4.79,,0.332,22.7%,4.40,19.3%,4.33,4.27,R,0.307,0.292,-5%,1%,0%,26.4,26.4,26.4,14.5,38.4,15.2,2.1,0.0,0.0
Robert Gsellman,7,SP,7000,NYM,ATL,56%,3.25,,0.310,21.1%,3.61,23.5%,3.56,3.28,R,,0.331,2%,3%,2%,10.8,10.8,10.8,1.0,20.7,15.8,2.3,0.0,0.0
Wade Miley,5,SP,6900,BAL,TB,57%,3.64,,0.320,24.2%,4.57,19.1%,4.16,4.00,L,0.306,0.336,0%,4%,0%,25.5,25.5,25.5,15.5,35.5,16.9,2.4,0.0,0.0
Michael Wacha,11,SP,6800,STL,TOR,57%,3.40,5.5,,,3.37,19.7%,4.14,3.95,R,0.277,0.326,1%,0%,0%,20.5,20.5,20.5,16.3,24.7,16.4,2.4,0.0,0.0
Zach Davies,,SP,6600,MIL,CIN,53%,4.10,,0.296,22.2%,4.95,19.1%,4.18,4.02,R,0.320,0.320,-1%,4%,1%,5.2,5.2,5.2,-3.8,14.2,13.8,2.1,0.0,0.0
Jordan Zimmermann,0,SP,6400,DET,SEA,45%,4.48,,0.326,19.8%,4.50,17.7%,4.23,4.26,R,0.312,0.294,0%,2%,0%,8.0,8.0,8.0,-0.8,16.8,11.4,1.8,0.0,0.0
Josh Tomlin,,SP,6300,CLE,HOU,48%,4.34,,0.331,15.7%,4.32,17.7%,4.05,4.02,R,0.280,0.362,-4%,3%,0%,0.2,0.2,0.2,-13.9,14.4,9.2,1.5,0.0,0.0
Scott Feldman,,SP,6000,CIN,@MIL,47%,4.40,,0.299,28.6%,4.86,15.5%,4.29,4.11,R,0.310,0.327,-1%,4%,1%,16.2,16.2,16.2,7.8,24.6,15.3,2.6,0.0,0.0
Ty Blach,2,RP,5600,SF,LAD,32%,3.92,,,,4.30,,,,L,,,1%,2%,0%,0.0,0.0,0.0,0.0,0.0,11.9,2.1,0.0,0.0
Jesse Hahn,1,SP,5500,OAK,@LAA,45%,4.48,,,,3.48,14.7%,4.48,4.26,R,0.332,0.263,2%,2%,0%,18.3,18.3,18.3,16.0,20.6,12.6,2.3,0.0,0.0
Andrew Cashner,,SP,5400,TEX,MIN,51%,4.71,,,,4.05,19.6%,4.35,4.21,R,0.341,0.301,-4%,1%,0%,10.3,10.3,10.3,3.1,17.4,9.4,1.7,0.0,0.0
Joe Ross,,SP,5300,WAS,@COL,53%,5.11,,0.315,22.0%,4.40,21.5%,3.86,3.72,R,0.355,0.237,-18%,9%,1%,23.6,23.6,23.6,23.6,23.6,13.7,2.6,0.0,0.0
Clayton Richard,1,SP,5100,SD,@ARI,43%,5.36,,,,5.33,13.6%,3.86,3.85,L,0.269,0.349,-15%,1%,0%,16.3,16.3,16.3,2.9,29.6,9.3,1.8,0.0,0.0
Patrick Corbin,2,SP,5000,ARI,SD,56%,4.64,,,,3.29,19.4%,4.08,3.94,L,0.277,0.355,-3%,0%,0%,11.9,11.9,11.9,2.2,21.6,14.1,2.8,0.0,0.0
Erasmo Ramirez,2,SP,4400,TB,@BAL,42%,4.36,,0.337,20.8%,4.11,18.1%,3.94,4.03,R,0.314,0.322,-2%,4%,0%,22.1,22.1,22.1,22.1,22.1,14.1,3.2,0.0,0.0
Dylan Covey,1,SP,4300,CWS,KC,43%,4.59,,0.317,17.1%,2.47,,,,R,,,1%,1%,0%,-1.4,-1.4,-1.4,-13.5,10.8,10.4,2.4,0.0,0.0
