Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Madison Bumgarner,9,,SP,11200,SF,@ARI,59%,3.84,7,0.309,25.80%,,27.20%,3.19,3.28,L,0.229,0.284,-4%,0%,0%,0,0,0,0,0,23.5,2.1,0,0
Jon Lester,6,,SP,10600,CHC,@STL,55%,3.32,5.5,0.33,21.50%,,24.90%,3.4,3.27,L,0.283,0.279,1%,3%,0%,0,0,0,0,0,20.2,1.9,0,0
Chris Archer,9,,SP,9200,TB,NYY,47%,3.61,6.5,0.321,20.40%,,28.20%,3.29,3.2,R,0.295,0.297,1%,0%,0%,0,0,0,0,0,19.8,2.2,0,0
Masahiro Tanaka,7,,SP,8800,NYY,@TB,53%,3.39,5.5,0.324,23.50%,,21.50%,3.6,3.47,R,0.284,0.284,3%,0%,0%,0,0,0,0,0,19,2.2,0,0
Carlos Martinez,2,,SP,8300,STL,CHC,45%,3.68,5.5,0.318,25.00%,,22.90%,3.71,3.56,R,0.332,0.263,1%,2%,0%,0,0,0,0,0,20.6,2.5,0,0
Zack Greinke,1,,SP,7700,ARI,SF,41%,4.66,4.5,0.319,18.30%,,22.10%,3.64,3.54,R,0.287,0.273,-3%,0%,0%,0,0,0,0,0,14.4,1.9,0,0
