"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Bryce Harper",3,"OF",5600,"WAS","@ATL",5.04,"Dickey",0.317,"-1%","R","L",0.408,"4%",0.258,11,"","3","","-3%","1%","0%",11.2,13.3,13.3,2.2,24.3,10.3,1.8,0,0
"Mike Trout",1,"OF",5400,"LAA","@NYM",3.37,"deGrom",0.269,"-11%","R","R",0.416,"0%",0.282,5,"","2","","-4%","1%","0%",15.4,12.6,12.6,6,19.2,9.4,1.7,0,0
"Mookie Betts",2,"OF",5300,"BOS","@OAK",4.08,"Graveman",0.32,"0%","R","R",0.371,"1%",0.198,-1,"","1","","-8%","1%","0%",16.5,10,10,0.3,19.7,9.3,1.8,0,0
"Charlie Blackmon",2,"OF",5300,"COL","@CIN",4.49,"Bonilla",NA,"1%","R","L",0.372,"3%",0.208,11,"","1","","-9%","1%","0%",12.3,10.6,10.6,2.5,18.7,8.8,1.7,0,0
"Kris Bryant",NA,"3B",5300,"CHC","MIL",4.42,"Espino",NA,"%","","R",NA,"%",NA,NA,"2","2","0","1%","-7%","-11%",10.1,10.4,10.4,2.4,18.3,7.8,1.5,0,0
"Nolan Arenado",1,"3B",5200,"COL","@CIN",4.49,"Bonilla",NA,"-1%","R","R",0.373,"-1%",0.268,3,"","3","","-11%","1%","0%",9.8,9.7,9.7,1.3,18.1,8.2,1.6,0,0
"Paul Goldschmidt",2,"1B",5200,"ARI","@SD",4.59,"Weaver",0.334,"3%","R","R",0.391,"-3%",0.23,-2,"","3","","-5%","-1%","0%",11.3,11.7,11.7,2.9,20.4,9.4,1.8,0,0
"Anthony Rizzo",NA,"1B",5100,"CHC","MIL",4.42,"Espino",NA,"%","","L",NA,"%",NA,NA,"3","3","0","-3%","-7%","-10%",7,8.5,8.5,1.2,15.8,7.7,1.5,0,0
"Carlos Correa",3,"SS",5000,"HOU","CLE",4.5,"Bauer",0.322,"0%","R","R",0.364,"2%",0.2,1,"","4","","0%","3%","6%",11.9,8.6,8.6,2.4,14.9,9,1.8,0,0
"Trea Turner",2,"SS",5000,"WAS","@ATL",5.04,"Dickey",0.331,"2%","R","R",0.375,"2%",0.238,13,"","1","","-1%","1%","0%",6.4,9.7,9.7,-0.6,19.9,10.2,2,0,0
"Joey Votto",2,"1B",5000,"CIN","COL",4.51,"Anderson",0.296,"-2%","L","L",0.391,"-3%",0.208,-5,"","3","","2%","1%","0%",9.9,10.4,10.4,2.9,18,8.8,1.8,0,0
"Freddie Freeman",NA,"1B",4900,"ATL","WAS",3.96,"Gonzalez",0.274,"-10%","L","L",0.35,"-9%",0.153,-29,"","x","","0%","0%","0%",12.1,12.5,12.5,2.5,22.6,0,0,0,0
"Manny Machado",NA,"3B",4900,"BAL","TOR",4.57,"Sanchez",0.236,"-18%","R","R",0.363,"2%",0.225,9,"","3","","1%","2%","0%",7.2,8.2,8.2,0.4,15.9,8.5,1.7,0,0
"Jose Altuve",1,"2B",4900,"HOU","CLE",4.5,"Bauer",0.322,"0%","R","R",0.351,"-3%",0.141,-5,"","3","","0%","2%","5%",11.4,10,10,1.5,18.5,9.2,1.9,0,0
"Ian Desmond",NA,"1B/OF",4800,"COL","@CIN",4.49,"Bonilla",NA,"-1%","R","R",0.312,"-3%",0.16,-1,"","6","","-11%","1%","0%",7.1,7.8,7.8,-0.6,16.2,7,1.5,0,0
"Ryan Braun",NA,"OF",4800,"MIL","@CHC",3.58,"Butler",0.37,"12%","R","R",0.352,"-4%",0.206,-5,"x","x","-","0%","0%","0%",7.5,10.5,10.5,2.3,18.6,0,0,0,0
"David Dahl",1,"OF",4700,"COL","@CIN",4.49,"Bonilla",NA,"1%","R","L",0.38,"5%",0.218,15,"","x","","0%","0%","0%",0,0,0,0,0,0,0,0,0
"Aaron Judge",2,"OF",4700,"NYY","@TB",4.19,"Ramirez",0.32,"0%","R","R",0.393,"3%",0.325,16,"","5","","-7%","0%","0%",8.3,12.1,12.1,1.7,22.5,7.5,1.6,0,0
"Josh Donaldson",NA,"3B",4700,"TOR","@BAL",4.43,"Tillman",0.322,"0%","R","R",0.375,"-4%",0.228,-9,"","x","","0%","0%","0%",9.4,9.4,9.4,2.7,16.1,0,0,0,0
"Daniel Murphy",1,"2B",4700,"WAS","@ATL",5.04,"Dickey",0.317,"-1%","R","L",0.364,"5%",0.189,15,"","4","","-4%","1%","0%",8.8,9.7,9.7,0.6,18.8,8.3,1.8,0,0
