"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"George Springer",NA,"OF",5600,"HOU","@KC",NA,"Junis",NA,"-1%","R","R",0.336,"-6%",0.169,-17,NA,"1",NA,"1%","-2%","0%",17.6,9.9,9.9,0.6,19.1,8.8,1.6,0,0
"Charlie Blackmon",1,"OF",5600,"COL","CLE",5.19,"Clevinger",0.257,"-4%","R","L",0.388,"6%",0.237,19,NA,"1",NA,"11%","-2%","0%",9.8,11,11,2.4,19.6,10.5,1.9,0,0
"Jose Altuve",NA,"2B",5500,"HOU","@KC",NA,"Junis",NA,"-1%","R","R",0.364,"-2%",0.168,1,NA,"3",NA,"4%","-1%","0%",12.6,10,10,1.7,18.2,9.5,1.7,0,0
"Carlos Correa",NA,"SS",5500,"HOU","@KC",NA,"Junis",NA,"-1%","R","R",0.368,"2%",0.204,0,NA,"4",NA,"2%","-1%","0%",13.7,9.5,9.5,2,17.1,9,1.6,0,0
"Paul Goldschmidt",NA,"1B",5500,"ARI","SD",4.93,"Lamet",NA,"-1%","R","R",0.394,"-3%",0.227,-2,NA,"3",NA,"3%","0%","0%",9.4,11.4,11.4,3.2,19.6,9.8,1.8,0,0
"Aaron Judge",NA,"OF",5400,"NYY","BOS",4.61,"Pomeranz",0.296,"-5%","L","R",0.38,"3%",0.264,8,NA,"3",NA,"0%","-6%","0%",12.3,11.7,11.7,2.1,21.2,7.7,1.4,0,0
"Bryce Harper",NA,"OF",5400,"WAS","@LAD",3.87,"McCarthy",0.318,"0%","R","L",0.422,"7%",0.291,17,NA,"3",NA,"-1%","-2%","2%",7.3,11.5,11.5,1.1,22,9.8,1.8,0,0
"Nolan Arenado",NA,"3B",5400,"COL","CLE",5.19,"Clevinger",0.364,"2%","R","R",0.381,"0%",0.289,5,NA,"3",NA,"13%","-2%","0%",9.2,9.4,9.4,1.3,17.5,10.7,2,0,0
"J.D. Martinez",NA,"OF",5300,"DET","LAA",4.98,"Chavez",0.303,"-4%","R","R",0.377,"0%",0.25,-2,NA,"5",NA,"0%","-3%","2%",11,12.1,12.1,-1.1,25.2,8.1,1.5,0,0
"Jake Lamb",1,"3B",5100,"ARI","SD",4.93,"Lamet",NA,"1%","R","L",0.367,"7%",0.237,9,NA,"4",NA,"5%","0%","0%",8.1,10,10,1.7,18.3,9.1,1.8,0,0
