Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Corey Kluber,9,SP,12500,CLE,LAD,55%,4.03,8,0.343,22.7%,4.83,27.2%,3.26,3.28,R,0.306,0.258,-2%,-1%,0%,25.7,21.0,21.0,6.7,35.3,20.8,1.7,28.1,2.2
Johnny Cueto,1,SP,11700,SF,KC,60%,3.33,6,0.298,21.9%,3.82,21.8%,3.74,3.61,R,0.276,0.296,1%,0%,0%,17.1,16.9,16.9,7.9,25.8,17.7,1.5,5.0,0.4
Michael Pineda,10,SP,11100,NYY,@LAA,60%,3.58,5.5,0.315,17.8%,4.24,25.5%,3.28,3.17,R,0.310,0.323,4%,0%,0%,17.1,19.7,19.7,8.1,31.2,18.3,1.6,0.9,0.1
Ervin Santana,1,SP,10300,MIN,SEA,56%,4.93,5,0.331,21.3%,4.74,19.0%,4.46,4.42,R,0.306,0.287,-2%,-3%,0%,19.0,21.7,21.7,7.2,36.2,15.4,1.5,4.1,0.4
Edinson Volquez,,SP,8900,MIA,OAK,61%,3.73,,0.309,23.8%,4.24,18.1%,4.55,4.39,R,0.326,0.315,2%,0%,1%,23.2,16.6,16.6,2.1,31.0,19.0,2.1,2.2,0.2
Tanner Roark,0,SP,8700,WAS,ATL,62%,4.10,4.5,0.297,20.7%,4.51,18.5%,4.29,4.20,R,0.311,0.288,0%,-2%,1%,15.7,15.2,15.2,6.6,23.8,15.8,1.8,0.7,0.1
Taijuan Walker,,SP,8200,ARI,@DET,47%,5.15,,0.334,20.7%,4.87,21.4%,3.95,4.04,R,0.314,0.320,3%,-1%,0%,16.7,16.0,16.0,5.7,26.2,13.7,1.7,21.1,2.6
Jake Odorizzi,2,SP,7900,TB,@TOR,44%,4.54,,0.336,20.5%,4.29,21.5%,4.10,4.23,R,0.278,0.332,-5%,1%,0%,13.6,14.6,14.6,5.6,23.6,13.4,1.7,7.0,0.9
Jason Hammel,,SP,7800,KC,@SF,40%,4.17,4,0.318,18.2%,3.68,21.7%,4.02,4.13,R,0.316,0.308,4%,-1%,0%,11.7,9.8,9.8,0.5,19.2,13.9,1.8,19.0,2.4
Dylan Bundy,2,SP,7700,BAL,@CWS,56%,4.43,,0.310,23.0%,4.48,20.3%,4.46,4.75,R,0.321,0.315,2%,-1%,0%,12.9,16.5,16.5,8.5,24.4,15.7,2.0,9.3,1.2
Brandon McCarthy,3,SP,7600,LAD,@CLE,45%,4.47,4.5,0.335,17.6%,4.43,25.0%,3.94,3.78,R,0.314,0.309,-10%,-2%,0%,16.9,17.1,17.1,9.3,24.9,12.3,1.6,7.0,0.9
Jhoulys Chacin,0,SP,7100,SD,CIN,56%,4.46,,0.311,24.0%,5.08,19.3%,4.33,4.17,R,0.353,0.288,2%,0%,0%,12.1,12.1,12.1,-2.7,26.9,14.0,2.0,20.1,2.8
Mike Leake,4,SP,6800,STL,MIL,62%,3.90,,0.300,24.6%,4.89,16.3%,4.02,3.82,R,0.325,0.294,1%,-1%,-1%,15.9,18.0,18.0,11.2,24.8,16.4,2.4,0.9,0.1
German Marquez,4,SP,6700,COL,@PIT,53%,4.36,,0.311,19.8%,4.27,20.3%,4.20,4.13,R,0.355,0.351,10%,0%,0%,15.4,14.7,14.7,1.8,27.6,13.5,2.0,13.7,2.0
Julio Teheran,,SP,6600,ATL,@WAS,38%,5.40,4,0.322,21.0%,5.44,20.4%,4.26,4.36,R,0.344,0.258,0%,-3%,2%,8.2,11.0,11.0,-0.5,22.5,11.3,1.7,17.6,2.7
Brian Johnson,2,SP,6500,BOS,@PHI,54%,4.78,,0.296,22.4%,3.98,,,,L,,,6%,0%,0%,19.3,19.3,19.3,-1.3,39.9,14.8,2.3,-1.0,-0.2
Matt Shoemaker,1,SP,6300,LAA,NYY,40%,4.42,5.5,0.340,20.7%,5.87,21.1%,4.02,4.16,R,0.312,0.326,3%,1%,0%,17.5,15.2,15.2,5.6,24.9,14.9,2.4,-2.0,-0.3
Matt Harvey,1,SP,6000,NYM,CHC,45%,4.73,4.5,0.313,24.9%,4.54,21.6%,3.91,3.82,R,0.327,0.275,2%,0%,-2%,12.9,10.8,10.8,1.5,20.1,14.3,2.4,8.0,1.3
Francisco Liriano,14,SP,5800,TOR,TB,56%,3.96,5.5,0.311,25.8%,4.70,24.5%,3.98,3.78,L,0.302,0.320,-1%,1%,0%,8.1,9.6,9.6,-5.2,24.5,18.0,3.1,25.6,4.4
Sam Gaviglio,,RP,5600,SEA,@MIN,44%,5.57,,0.319,25.5%,4.57,,,,R,,,-6%,-3%,0%,12.5,12.5,12.5,4.8,20.1,12.0,2.1,15.0,2.7
Mike Montgomery,3,RP,5300,CHC,@NYM,55%,4.27,,0.298,22.6%,4.92,19.2%,4.15,4.07,L,0.293,0.309,3%,0%,-2%,11.4,11.4,11.4,11.4,11.4,14.3,2.7,11.1,2.1
Matt Garza,,SP,5200,MIL,@STL,38%,5.10,,0.316,20.8%,4.07,15.8%,4.66,4.50,R,0.337,0.327,4%,-1%,-1%,10.3,12.9,12.9,6.6,19.1,11.0,2.1,11.1,2.1
Andrew Cashner,,SP,5100,TEX,@HOU,43%,5.10,,0.333,19.0%,5.40,18.4%,4.55,4.39,R,0.352,0.313,17%,0%,-9%,10.5,10.5,10.5,3.1,17.8,7.7,1.5,2.4,0.5
Jeremy Hellickson,,SP,5000,PHI,BOS,46%,5.22,,0.316,19.1%,4.79,18.0%,4.40,4.38,R,0.317,0.314,3%,0%,0%,7.0,9.1,9.1,0.5,17.7,10.6,2.1,-5.9,-1.2
Amir Garrett,,SP,4900,CIN,@SD,44%,5.04,,0.296,20.7%,3.58,17.4%,5.14,5.28,L,,0.383,3%,0%,0%,-0.7,7.3,7.3,-8.7,23.2,12.0,2.4,20.1,4.1
Miguel Gonzalez,,SP,4800,CWS,BAL,44%,5.07,,0.334,20.3%,4.44,16.8%,4.61,4.65,R,0.326,0.319,1%,-2%,0%,5.3,9.9,9.9,-2.7,22.5,10.5,2.2,-5.3,-1.1
Chad Kuhl,1,SP,4700,PIT,COL,47%,4.64,,0.322,24.0%,5.21,17.9%,4.70,4.76,R,0.396,0.288,1%,-1%,0%,8.2,7.8,7.8,-3.2,18.8,11.1,2.4,8.3,1.8
Daniel Gossett,,RP,4500,OAK,@MIA,39%,4.77,,0.306,22.4%,4.56,,,,R,,,2%,0%,2%,0.0,0.0,0.0,0.0,0.0,12.3,2.7,-6.7,-1.5
Francis Martes,0,RP,4300,HOU,TEX,56%,4.40,,0.327,20.9%,4.79,,,,R,,,2%,0%,-4%,0.0,0.0,0.0,0.0,0.0,13.2,3.1,23.6,5.5
Jordan Zimmermann,1,SP,4200,DET,ARI,53%,4.85,,0.322,22.3%,5.15,17.2%,4.37,4.41,R,0.323,0.318,0%,-2%,0%,11.1,8.7,8.7,1.3,16.2,11.2,2.7,22.4,5.3
