"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Clayton Kershaw",NA,"SP",14200,"LAD","@SD","57%",3.42,NA,NA,NA,3.77,"32.7%",2.33,2.21,"L",0.211,0.23,"0%","1%","0%",23.8,25.2,25.2,15.3,35.2,26.5,1.9,0,0
"Lance McCullers Jr.",NA,"SP",11400,"HOU","@LAA","55%",3.76,NA,NA,NA,3.83,"27.2%",3.51,3.25,"R",0.297,0.315,"2%","2%","0%",18.8,19.9,19.9,8.8,31,20.8,1.8,0,0
"Rick Porcello",NA,"SP",11000,"BOS","@MIN","60%",3.99,NA,NA,NA,4.69,"21.0%",3.76,3.83,"R",0.32,0.306,"1%","1%","0%",15.9,16.3,16.3,6.9,25.7,16.1,1.5,0,0
"Marco Estrada",NA,"SP",10000,"TOR","@TB","47%",3.85,NA,NA,NA,4.3,"20.9%",4.4,4.73,"R",0.284,0.305,"5%","0%","0%",20.8,19.6,19.6,11.4,27.8,16.7,1.7,0,0
"Gerrit Cole",2,"SP",9600,"PIT","MIL","60%",3.58,NA,NA,NA,5.1,"22.4%",3.61,3.48,"R",0.306,0.287,"1%","5%","-2%",20,16.7,16.7,6.3,27.1,18.2,1.9,0,0
"Julio Teheran",NA,"SP",8600,"ATL","STL","51%",4.18,NA,NA,NA,4.07,"20.9%",4.16,4.24,"R",0.342,0.253,"0%","3%","0%",11.1,12.8,12.8,2.6,23,15.6,1.8,0,0
"Dylan Bundy",1,"SP",8400,"BAL","CWS","67%",3.65,NA,NA,NA,4.22,"21.3%",4.22,4.49,"R",0.308,0.318,"0%","4%","-1%",16.5,19,19,10.3,27.7,15.8,1.9,0,0
"Mike Leake",NA,"SP",8200,"STL","@ATL","49%",4.32,NA,NA,NA,4.73,"16.2%",4,3.79,"R",0.324,0.295,"-1%","4%","0%",21.4,21.4,21.4,14.6,28.3,14.6,1.8,0,0
"Vince Velasquez",1,"SP",8100,"PHI","WAS","51%",4.22,NA,NA,NA,6.39,"26.5%",3.73,3.88,"R",0.332,0.327,"2%","4%","-3%",12.7,12.7,12.7,8,17.3,14.3,1.8,0,0
"Jake Odorizzi",NA,"SP",7900,"TB","TOR","53%",3.65,NA,NA,NA,3.82,"21.3%",4.08,4.24,"R",0.282,0.329,"1%","0%","0%",12.1,12.1,12.1,3.4,20.8,14.9,1.9,0,0
"Josh Tomlin",NA,"SP",7700,"CLE","@KC","53%",3.86,NA,NA,NA,2.89,"17.7%",4.03,3.97,"R",0.279,0.366,"-1%","0%","0%",4.7,4.7,4.7,-7.3,16.6,11.9,1.5,0,0
"Jason Vargas",NA,"SP",7600,"KC","CLE","47%",4.14,NA,NA,NA,4.56,"20.2%",3.91,3.92,"L",0.321,0.306,"-2%","0%","0%",23.3,23.3,23.3,11.8,34.8,14.5,1.9,0,0
"Jesse Hahn",NA,"SP",7600,"OAK","DET","56%",3.75,NA,NA,NA,4.89,"15.3%",4.4,4.21,"R",0.324,0.262,"3%","2%","0%",20.2,20.2,20.2,14.7,25.8,13.1,1.7,0,0
"Amir Garrett",1,"SP",7100,"CIN","SF","56%",3.96,NA,NA,NA,3.45,"",NA,NA,"L",NA,NA,"0%","3%","0%",15.2,15.2,15.2,-2.9,33.2,16.7,2.4,0,0
"Jordan Montgomery",1,"SP",7000,"NYY","@CHC","46%",NA,NA,NA,NA,5.07,"",NA,NA,"L",NA,NA,"3%","5%","3%",14.7,14.7,14.7,14,15.5,14.3,2,0,0
"Brett Anderson",NA,"SP",6900,"CHC","NYY","54%",NA,NA,NA,NA,5.69,"14.9%",3.72,3.66,"L",0.341,0.322,"2%","6%","4%",6.5,6.5,6.5,-6.3,19.4,9.6,1.4,0,0
"J.C. Ramirez",2,"SP",6800,"LAA","HOU","45%",4.24,NA,NA,NA,4.83,"19.2%",3.93,4.15,"R",0.311,0.323,"3%","3%","0%",19.3,19.3,19.3,8.3,30.3,13.7,2,0,0
"Martin Perez",NA,"SP",6700,"TEX","@SEA","48%",4.32,NA,NA,NA,4.9,"12.8%",4.92,4.61,"L",0.294,0.339,"12%","3%","0%",8.2,8.5,8.5,-0.1,17.1,10.8,1.6,0,0
"Robert Gsellman",1,"SP",6600,"NYM","MIA","",NA,NA,NA,NA,4.37,"22.2%",3.72,3.4,"R",0.27,0.341,"3%","3%","-3%",5.6,5.6,5.6,-4.5,15.8,12,1.8,0,0
"Matt Garza",NA,"SP",6400,"MIL","@PIT","40%",4.42,NA,NA,NA,3.89,"15.8%",4.61,4.45,"R",0.334,0.312,"2%","7%","-2%",17.1,17.1,17.1,8.2,26,12.7,2,0,0
"Jordan Zimmermann",NA,"SP",6300,"DET","@OAK","44%",4.25,NA,NA,NA,3.71,"17.5%",4.27,4.3,"R",0.311,0.302,"5%","1%","0%",8,8,8,0.6,15.5,12.8,2,0,0
"Chase De Jong",NA,"SP",6200,"SEA","TEX","52%",4.18,NA,NA,NA,4.62,"",NA,NA,"R",NA,NA,"3%","3%","0%",-10.6,-10.6,-10.6,-10.6,-10.6,11.6,1.9,0,0
