"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Noah Syndergaard",1,"SP",11400,"NYM","@WAS","53%",3.63,NA,NA,NA,6.26,"28.6%",2.88,2.71,"R",0.296,0.255,"-2%","0%","0%",24.5,24.5,24.5,17.6,31.4,20.1,1.8,0,0
"Chris Archer",2,"SP",10500,"TB","@TOR","50%",3.98,NA,NA,NA,3.57,"28.1%",3.29,3.19,"R",0.294,0.297,"-3%","0%","0%",17.8,17.8,17.8,11.4,24.2,20.5,2,0,0
"Kyle Hendricks",NA,"SP",9700,"CHC","@BOS","50%",4.49,NA,NA,NA,3.77,"22.5%",3.57,3.45,"R",0.303,0.256,"-7%","4%","0%",12.7,12.7,12.7,5.4,19.9,15.1,1.6,0,0
"Dallas Keuchel",2,"SP",9400,"HOU","OAK","64%",3.38,NA,NA,NA,3.78,"22.3%",3.22,3.07,"L",0.258,0.295,"1%","0%","0%",25.3,25.3,25.3,22.1,28.6,20.6,2.2,0,0
"Hyun-Jin Ryu",NA,"SP",9200,"LAD","PHI","63%",3.44,NA,NA,NA,4.67,"",NA,NA,"L",0.318,0.309,"4%","-1%","-2%",11.9,11.9,11.9,8.6,15.1,14.4,1.6,0,0
"Wade Miley",NA,"SP",8200,"BAL","@NYY","50%",4.52,NA,NA,NA,5.33,"19.1%",4.16,4,"L",0.306,0.336,"-1%","5%","2%",24.6,24.6,24.6,16.2,32.9,14.3,1.7,0,0
"Patrick Corbin",NA,"SP",8200,"ARI","COL","56%",4.37,NA,NA,NA,4.67,"19.4%",4.08,3.94,"L",0.277,0.355,"-4%","0%","0%",15.1,15.1,15.1,4.1,26.1,13.2,1.6,0,0
"Aaron Sanchez",1,"SP",8000,"TOR","TB","50%",4.02,NA,NA,NA,4.54,"18.9%",4.16,3.94,"R",0.316,0.234,"-2%","0%","0%",12.4,12.4,12.4,-0.6,25.4,14.6,1.8,0,0
"Mike Leake",NA,"SP",7900,"STL","CIN","61%",3.74,NA,NA,NA,4.74,"16.1%",4,3.79,"R",0.323,0.295,"1%","1%","0%",22.8,22.8,22.8,15.7,29.9,14.2,1.8,0,0
"Eduardo Rodriguez",NA,"SP",7800,"BOS","CHC","50%",4.51,NA,NA,NA,5.14,"21.0%",4.27,4.36,"L",0.343,0.3,"-4%","5%","0%",18.5,18.5,18.5,8.8,28.3,13.5,1.7,0,0
"Jason Hammel",NA,"SP",7600,"KC","MIN","",NA,NA,NA,NA,4.27,"22.1%",3.92,3.99,"R",0.334,0.3,"-2%","5%","0%",6.8,6.8,6.8,2.3,11.2,12.2,1.6,0,0
"Joe Ross",NA,"SP",7400,"WAS","NYM","47%",3.87,NA,NA,NA,4.23,"21.5%",3.86,3.72,"R",0.355,0.237,"0%","0%","0%",11.3,11.3,11.3,-6,28.6,14.3,1.9,0,0
"Clayton Richard",NA,"SP",7200,"SD","@SF","44%",4.01,NA,NA,NA,3.38,"13.6%",3.86,3.85,"L",0.269,0.349,"0%","-2%","0%",11.7,11.7,11.7,-3.6,27.1,12.9,1.8,0,0
"Miguel Gonzalez",NA,"SP",7100,"CWS","@DET","49%",4.29,NA,NA,NA,4.86,"17.3%",4.54,4.56,"R",0.325,0.317,"-2%","3%","0%",20.8,20.8,20.8,10.9,30.8,12.1,1.7,0,0
