"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Jake Lamb",1,"3B",5600,"ARI","CWS",5.44,"Gonzalez",0.326,"1%","R","L",0.352,"6%",0.213,8,NA,"4",NA,"5%","5%","0%",13.5,10.4,10.4,2,18.8,9.7,1.7,0,0
"Paul Goldschmidt",1,"1B",5500,"ARI","CWS",5.44,"Gonzalez",0.319,"0%","R","R",0.391,"-3%",0.23,-2,NA,"3",NA,"2%","4%","0%",11.8,11.5,11.5,3,20.1,10.7,1.9,0,0
"Mike Trout",1,"OF",5500,"LAA","@TB",3.87,"Odorizzi",0.325,"1%","R","R",0.416,"0%",0.282,5,NA,"3",NA,"-4%","0%","0%",16.6,12.9,12.9,5.6,20.2,10.4,1.9,0,0
"Charlie Blackmon",2,"OF",5400,"COL","@PHI",3.89,"Eickhoff",0.35,"7%","R","L",0.372,"3%",0.208,11,NA,"1",NA,"-14%","-1%","0%",9.8,10.7,10.7,2.7,18.6,8.2,1.5,0,0
"J.D. Martinez",1,"OF",5200,"DET","@HOU",3.96,"Peacock",0.33,"3%","R","R",0.381,"1%",0.236,0,NA,"5",NA,"1%","0%","0%",15.4,15.4,15.4,0.1,30.8,8.4,1.6,0,0
"Kris Bryant",3,"3B",5100,"CHC","SF",5.83,"Blach",NA,"2%","L","R",0.415,"6%",0.292,18,NA,"2",NA,"1%","-2%","23%",10.8,10.8,10.8,1.7,20,13.3,2.6,0,0
"Nolan Arenado",NA,"3B",5000,"COL","@PHI",3.89,"Eickhoff",0.254,"-14%","R","R",0.373,"-1%",0.268,3,NA,"3",NA,"-9%","-2%","0%",10.6,9.6,9.6,1.2,18,7.1,1.4,0,0
"A.J. Pollock",NA,"OF",5000,"ARI","CWS",5.44,"Gonzalez",0.319,"0%","R","R",0.364,"0%",0.169,-7,NA,"x",NA,"0%","0%","0%",6.9,9.6,9.6,1.8,17.4,0,0,0,0
"Aaron Judge",0,"OF",5000,"NYY","KC",4.55,"Vargas",0.299,"-5%","L","R",0.378,"4%",0.289,10,NA,"5",NA,"0%","-3%","0%",10.1,12.1,12.1,1.6,22.5,7.7,1.5,0,0
"Joey Votto",NA,"1B",4900,"CIN","CLE",4.23,"Tomlin",0.275,"-10%","R","L",0.412,"2%",0.224,3,NA,"3",NA,"2%","-2%","0%",9.6,10.5,10.5,3,18.1,8,1.6,0,0
