"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Chris Sale",14,"SP",13300,"BOS","@TB","64%",2.95,10,0.31,"23.4%",4.85,"30.2%",2.9,3.02,"L",0.241,0.276,"3%","0%","0%",32,30.2,30.2,23.3,37,31,2.3,27.6,2.1
"Gio Gonzalez",6,"SP",11300,"WAS","ATL","62%",3.91,5.5,0.299,"18.7%",4.56,"22.6%",4.02,3.84,"L",0.271,0.321,"0%","0%","1%",25.3,19.5,19.5,12,27,17.2,1.5,14.1,1.2
"Lance McCullers Jr.",10,"SP",11000,"HOU","@TOR","60%",4.02,6.5,0.334,"20.5%",4.12,"27.6%",3.43,3.14,"R",0.277,0.307,"-3%","-1%","0%",21.5,21.3,21.3,13.4,29.3,18.5,1.7,-0.8,-0.1
"Michael Wacha",0,"SP",10700,"STL","MIA","64%",4.02,5,0.3,"19.2%",4.6,"20.1%",4.16,3.95,"R",0.293,0.33,"1%","-1%","0%",15.5,14.1,14.1,4.8,23.3,14.8,1.4,25.4,2.4
"Robbie Ray",7,"SP",10500,"ARI","@LAD","40%",4.16,7.5,0.322,"21.2%",5.21,"26.8%",3.79,3.73,"L",0.306,0.322,"8%","0%","-1%",24.1,23.3,23.3,10.7,35.8,20.3,1.9,32.1,3.1
"Rich Hill",14,"SP",10200,"LAD","ARI","60%",3.34,6.5,0.313,"23.8%",5.18,"29.1%",3.49,3.67,"L",0.273,0.252,"3%","0%","-1%",19.9,15.4,15.4,3.1,27.7,19.1,1.9,30,2.9
"Jose Berrios",8,"SP",9600,"MIN","BAL","57%",4.35,NA,0.337,"20.3%",4.41,"20.9%",4.64,4.9,"R",0.344,0.341,"-1%","-3%","0%",19.7,20.9,20.9,10.2,31.7,15.4,1.6,14.7,1.5
"Zach Davies",NA,"SP",8800,"MIL","@CHC","39%",5.33,4,0.32,"24.6%",4.57,"17.9%",4.35,4.17,"R",0.333,0.316,"3%","-3%","0%",8.6,10.3,10.3,1,19.6,13.5,1.5,15.3,1.7
"Jake Faria",10,"SP",8300,"TB","BOS","36%",4.05,5.5,0.342,"17.4%",4.96,"27.6%",3.29,3.4,"R",NA,NA,"2%","0%","0%",24,24,24,18.1,29.9,14.3,1.7,14.1,1.7
"Mike Montgomery",1,"SP",7800,"CHC","MIL","61%",4.17,NA,0.321,"25.8%",4.87,"19.4%",4.11,4.03,"L",0.288,0.308,"1%","-3%","0%",16.1,16.1,16.1,10.7,21.6,15.3,2,-5.5,-0.7
