"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Madison Bumgarner",2,"SP",11800,"SF","SD","64%",2.94,NA,NA,"",3.67,"27.0%",3.22,3.32,"L",0.23,0.277,"1%","0%","0%",19.9,19.9,19.9,14.6,25.1,22.6,1.9,0,0
"Jimmy Nelson",2,"SP",11700,"MIL","@PIT","46%",4.17,5,0.302,"19.5%",4.19,"20.4%",4.24,4.18,"R",0.344,0.304,"2%","-3%","0%",24.6,19.8,19.8,6.6,33.1,16.3,1.4,0,0
"Luis Severino",2,"SP",11000,"NYY","@SEA","54%",3.83,NA,NA,"",4.8,"24.5%",3.65,3.53,"R",0.306,0.307,"4%","0%","0%",19.1,20.7,20.7,9.1,32.3,19.4,1.8,0,0
"Michael Fulmer",NA,"SP",10200,"DET","@KC","51%",4.47,NA,NA,"",4.06,"19.2%",4.14,4,"R",0.271,0.277,"-4%","-4%","0%",22.6,18.3,18.3,9.3,27.3,16.7,1.6,0,0
"Jameson Taillon",2,"SP",9600,"PIT","MIL","54%",3.83,6,0.303,"25.8%",4.87,"21.1%",3.73,3.48,"R",0.313,0.306,"0%","-2%","0%",16.8,16.4,16.4,8.1,24.7,19,2,0,0
"Cole Hamels",NA,"SP",9400,"TEX","@BAL","50%",4.98,NA,NA,"",4.55,"22.9%",3.86,3.78,"L",0.275,0.303,"3%","-4%","-1%",16,15.1,15.1,2.4,27.7,14.6,1.6,0,0
"Lance Lynn",1,"SP",8800,"STL","@NYM","50%",4.77,5,0.313,"21.2%",4.82,"21.9%",4.16,4.14,"R",0.334,0.271,"4%","-4%","0%",15.2,16.2,16.2,6.3,26.1,15.2,1.7,0,0
"Danny Duffy",NA,"SP",8300,"KC","DET","49%",4.53,NA,NA,"",4.84,"21.4%",4.12,4.25,"L",0.216,0.332,"-2%","-4%","0%",15.2,16,16,3.5,28.5,14.4,1.7,0,0
"Jhoulys Chacin",NA,"SP",7800,"SD","@SF","36%",4.06,NA,NA,"",3.89,"19.3%",4.37,4.22,"R",0.349,0.288,"0%","0%","0%",17.4,13.9,13.9,1.2,26.6,15.4,2,0,0
"Felix Hernandez",NA,"SP",7600,"SEA","NYY","46%",4.17,NA,NA,"",5.34,"21.1%",3.93,3.82,"R",0.287,0.31,"3%","0%","0%",17.4,14.1,14.1,5.2,22.9,14.7,1.9,0,0
"Luis Castillo",3,"RP",6900,"CIN","ARI","53%",4.57,NA,0.32,"22.4%",4.99,"",NA,NA,"R",NA,NA,"0%","-4%","0%",19.2,19.2,19.2,10.7,27.6,14.5,2.1,0,0
"Taijuan Walker",NA,"SP",6700,"ARI","@CIN","47%",4.93,NA,0.308,"22.2%",4.7,"21.2%",4.02,4.11,"R",0.315,0.317,"3%","-3%","0%",13.2,15.4,15.4,5.7,25,15.6,2.3,0,0
"Brandon McCarthy",NA,"SP",6600,"LAD","ATL","67%",3.42,NA,NA,"",4.62,"22.3%",4.3,4.16,"R",0.308,0.315,"4%","-1%","-2%",7.8,14,14,5,23,13.8,2.1,0,0
"Seth Lugo",1,"SP",6500,"NYM","STL","50%",4.73,NA,0.317,"25.8%",4.52,"16.9%",4.73,4.69,"R",0.301,0.309,"3%","-4%","0%",10.7,12.9,12.9,3.7,22.2,13.9,2.1,0,0
"Mike Foltynewicz",NA,"SP",6300,"ATL","@LAD","33%",5.08,NA,NA,"",5.15,"20.3%",4.29,4.41,"R",0.371,0.322,"10%","-1%","-2%",20.2,14.6,14.6,1.1,28,14.3,2.3,0,0
"Wade Miley",NA,"SP",5900,"BAL","TEX","50%",5.02,NA,NA,"",4.86,"18.6%",4.38,4.17,"L",0.302,0.354,"0%","-5%","-1%",2.6,9.5,9.5,-3.1,22,10.2,1.7,0,0
"Francisco Liriano",NA,"SP",5800,"TOR","@BOS","47%",5.41,NA,0.342,"19.4%",4.72,"23.9%",4.07,3.89,"L",0.304,0.324,"-6%","-5%","-3%",5.5,9.3,9.3,-3.7,22.3,10.4,1.8,0,0
"Doug Fister",NA,"SP",5100,"BOS","TOR","53%",5.09,NA,0.33,"20.8%",4.13,"14.7%",4.83,4.8,"R",0.354,0.305,"-5%","-6%","-3%",8.3,8.3,8.3,1.7,14.9,9.7,1.9,0,0
