Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Chris Archer,5,SP,12400,TB,@DET,51%,4.47,7.5,0.327,22.7%,4.83,28.6%,3.31,3.23,R,0.289,0.285,-1%,-2%,0%,25.0,21.9,21.9,12.0,31.8,22.8,1.8,25.3,2.0
Stephen Strasburg,7,SP,12200,WAS,@NYM,62%,3.69,7.5,0.306,20.9%,4.92,29.8%,3.08,3.03,R,0.270,0.294,3%,0%,-1%,29.6,23.2,23.2,13.0,33.4,23.6,1.9,16.6,1.4
Jake Arrieta,6,SP,11200,CHC,@PIT,55%,4.03,5.5,0.308,20.6%,4.23,25.5%,3.40,3.21,R,0.257,0.254,0%,-1%,0%,17.9,16.1,16.1,5.8,26.5,17.8,1.6,16.3,1.5
Marcus Stroman,3,SP,10100,TOR,CWS,68%,3.60,5.5,0.311,22.1%,4.54,19.4%,3.60,3.42,R,0.300,0.304,-1%,-1%,0%,19.4,17.6,17.6,7.3,27.9,17.7,1.8,15.6,1.5
Chase Anderson,9,SP,9600,MIL,SD,61%,4.19,6,0.296,24.8%,3.63,18.9%,4.42,4.40,R,0.304,0.352,0%,-1%,0%,22.9,17.7,17.7,5.2,30.2,19.8,2.1,18.1,1.9
Masahiro Tanaka,6,SP,8600,NYY,@OAK,53%,4.57,5.5,0.322,22.0%,4.27,21.3%,3.70,3.59,R,0.294,0.298,4%,-2%,0%,12.1,12.4,12.4,-3.1,28.0,16.0,1.9,13.6,1.6
Zack Godley,6,SP,8400,ARI,@PHI,55%,4.26,,0.302,24.6%,3.91,19.9%,4.07,3.93,R,0.315,0.320,4%,-1%,-2%,17.4,18.4,18.4,11.5,25.2,19.6,2.3,21.9,2.6
Michael Fulmer,1,SP,8000,DET,TB,49%,4.53,5.5,0.326,25.6%,4.74,19.7%,4.08,3.99,R,0.272,0.293,0%,-3%,0%,12.0,17.3,17.3,7.8,26.8,17.5,2.2,9.0,1.1
Alex Meyer,6,SP,7600,LAA,KC,55%,4.24,,0.316,19.4%,3.98,24.9%,4.93,4.88,R,,0.318,2%,-1%,0%,18.4,14.4,14.4,4.4,24.3,16.2,2.1,33.7,4.4
Jaime Garcia,4,SP,7400,ATL,MIA,52%,4.43,4.5,0.309,23.1%,4.72,19.1%,3.90,3.74,L,0.304,0.302,0%,-1%,0%,21.4,14.6,14.6,6.4,22.9,18.3,2.5,9.3,1.3
Rick Porcello,,SP,7300,BOS,@HOU,48%,4.59,5,0.337,16.5%,5.46,20.9%,3.82,3.89,R,0.315,0.316,8%,0%,-4%,10.4,14.4,14.4,6.8,22.0,12.7,1.7,-1.1,-0.2
Ivan Nova,1,SP,7100,PIT,CHC,45%,4.47,,0.317,25.0%,4.68,16.4%,4.12,4.02,R,0.352,0.292,1%,-2%,0%,14.7,16.7,16.7,6.4,26.9,15.6,2.2,20.9,2.9
Adam Wainwright,1,SP,7000,STL,@BAL,49%,5.07,4.5,0.335,20.4%,4.43,19.0%,4.29,4.02,R,0.322,0.311,-1%,-2%,-1%,16.0,12.7,12.7,0.0,25.3,12.6,1.8,-17.7,-2.5
Kyle Freeland,,SP,6800,COL,SF,64%,5.29,,0.310,18.9%,3.69,14.3%,4.87,4.75,L,,0.330,-11%,-6%,0%,12.1,12.9,12.9,5.0,20.8,10.2,1.5,15.5,2.3
Jake Junis,1,SP,6500,KC,@LAA,45%,4.76,,0.311,18.3%,4.23,,,,R,,,7%,-1%,0%,6.8,6.8,6.8,-9.7,23.2,10.8,1.7,7.4,1.1
Seth Lugo,1,SP,6300,NYM,WAS,38%,4.81,,0.320,21.7%,5.50,17.7%,4.63,4.71,R,0.282,0.284,4%,0%,-3%,24.4,24.4,24.4,24.4,24.4,11.7,1.9,13.6,2.2
Hyun-Jin Ryu,,SP,6200,LAD,@CIN,57%,4.79,5,0.312,20.6%,4.98,20.4%,4.17,4.14,L,0.340,0.332,-4%,-3%,0%,9.3,12.2,12.2,4.5,20.0,13.5,2.2,19.3,3.1
Adalberto Mejia,,SP,6100,MIN,CLE,47%,5.41,,0.329,18.3%,4.56,18.9%,5.10,5.32,L,,0.370,-2%,1%,0%,10.5,8.7,8.7,-0.2,17.6,10.7,1.8,7.7,1.3
Yovani Gallardo,,SP,5800,SEA,@TEX,44%,6.12,,0.332,21.5%,4.74,15.9%,4.91,4.67,R,0.318,0.339,-11%,-5%,0%,5.0,8.9,8.9,-0.9,18.6,8.8,1.5,3.1,0.5
Wade Miley,,SP,5700,BAL,STL,51%,4.93,4,0.339,19.5%,4.14,18.6%,4.30,4.09,L,0.300,0.345,0%,-2%,-1%,5.4,11.5,11.5,-1.4,24.5,10.8,1.9,16.8,2.9
Mike Clevinger,4,SP,5600,CLE,@MIN,53%,5.09,,0.323,23.4%,4.83,24.0%,4.54,4.49,R,0.273,0.356,1%,1%,0%,15.6,16.9,16.9,6.6,27.3,15.8,2.8,13.2,2.4
Dinelson Lamet,0,SP,5500,SD,@MIL,39%,5.31,,0.298,24.9%,4.91,,,,R,,,-2%,-1%,0%,11.6,11.6,11.6,-4.4,27.6,16.9,3.1,29.1,5.3
David Paulino,0,RP,5400,HOU,BOS,52%,4.41,,0.333,19.1%,4.74,,,,R,,,1%,0%,-4%,9.7,9.7,9.7,2.0,17.3,11.7,2.2,21.1,3.9
Jesse Hahn,,SP,5300,OAK,NYY,47%,4.93,,0.323,21.8%,5.81,15.5%,4.47,4.23,R,0.335,0.258,4%,-5%,-1%,9.8,13.4,13.4,4.3,22.5,9.3,1.8,19.6,3.7
Martin Perez,1,SP,5200,TEX,SEA,56%,5.38,,0.335,22.3%,4.75,13.5%,4.85,4.55,L,0.284,0.339,-3%,-4%,0%,11.2,10.2,10.2,1.3,19.2,10.5,2.0,12.6,2.4
Jeff Locke,1,SP,5100,MIA,@ATL,48%,4.57,,0.283,22.3%,4.65,15.7%,4.55,4.36,L,0.310,0.334,-2%,-2%,0%,11.8,11.8,11.8,2.0,21.5,13.0,2.5,9.4,1.8
Jerad Eickhoff,1,SP,5000,PHI,ARI,45%,4.74,,0.312,24.0%,5.13,20.9%,4.11,4.18,R,0.354,0.266,2%,-1%,-3%,7.2,10.6,10.6,1.7,19.5,14.0,2.8,10.7,2.1
Asher Wojciechowski,,SP,4900,CIN,LAD,42%,5.71,,0.318,25.2%,4.88,18.4%,4.74,5.28,R,,,0%,-4%,0%,6.8,6.8,6.8,-0.7,14.4,12.1,2.5,1.6,0.3
Mike Pelfrey,0,SP,4600,CWS,@TOR,32%,5.40,,0.326,20.6%,4.28,11.7%,4.95,4.79,R,0.363,0.324,-7%,-3%,0%,14.7,9.2,9.2,0.7,17.6,7.5,1.6,23.1,5.0
Matt Cain,,SP,4400,SF,@COL,36%,7.21,3.5,0.322,23.9%,5.23,15.9%,4.94,4.96,R,0.366,0.355,-39%,-16%,0%,2.3,8.3,8.3,-4.2,20.7,5.0,1.1,8.7,2.0
