"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Paul Goldschmidt",6,"1B",5900,"ARI","@COL",5.45,"Hoffman",NA,"-3%","R","R",0.397,"-3%",0.232,"-1%","3","3","0","23%","5%","0%",14.5,11.8,11.8,3.7,20,12.4,2.1,19,3.2
"Jake Lamb",7,"3B",5600,"ARI","@COL",5.45,"Hoffman",0.282,"-3%","R","L",0.369,"7%",0.237,"9%","4","4","0","19%","5%","0%",8.6,10.1,10.1,2,18.2,11.2,2,16,2.9
"Charlie Blackmon",11,"OF",5600,"COL","ARI",6.55,"Walker",0.313,"-2%","R","L",0.386,"5%",0.236,"17%","1","1","0","11%","5%","0%",10.5,11.2,11.2,2.7,19.7,11.9,2.1,4,0.7
"Bryce Harper",3,"OF",5500,"WAS","@MIA",4.13,"Straily",0.294,"-6%","R","L",0.422,"7%",0.288,"17%","3","3","0","-7%","0%","-1%",10.5,11.1,11.1,1.4,20.9,9.3,1.7,0,0
"Nolan Arenado",8,"3B",5500,"COL","ARI",6.55,"Walker",0.321,"0%","R","R",0.378,"-1%",0.286,"5%","3","3","0","13%","6%","0%",12.5,9.9,9.9,1.2,18.6,11.8,2.1,9,1.6
"Aaron Judge",11,"OF",5400,"NYY","LAA",6.27,"Nolasco",0.351,"7%","R","R",0.415,"3%",0.317,"10%","3","3","0","0%","2%","7%",17.3,12.3,12.3,1.8,22.8,11.2,2.1,3,0.6
"Mookie Betts",3,"OF",5300,"BOS","@KC",5.09,"Kennedy",0.323,"1%","R","R",0.367,"1%",0.201,"-1%","1","1","0","-1%","5%","0%",12.2,9.5,9.5,-0.1,19.1,11,2.1,7,1.3
"Trea Turner",7,"SS",5300,"WAS","@MIA",4.13,"Straily",0.322,"0%","R","R",0.376,"7%",0.223,"18%","1","1","0","0%","0%","-1%",10.5,10.3,10.3,0.8,19.9,10.7,2,0,0
"George Springer",5,"OF",5200,"HOU","@OAK",4.65,"Manaea",0.315,"-1%","L","R",0.403,"12%",0.27,"29%","1","1","0","-6%","2%","1%",12.4,10.1,10.1,1.3,18.9,10.1,1.9,0,0
"Cody Bellinger",7,"1B/OF",5200,"LAD","NYM",5.34,"Pill",NA,"1%","R","L",0.401,"5%",0.385,"21%","4","4","0","-2%","2%","0%",19.4,11.5,11.5,0.6,22.4,9.2,1.8,7,1.3
"Jose Ramirez",6,"2B/3B",5100,"CLE","@BAL",5.45,"Gausman",0.3,"-4%","R","S",0.326,"1%",0.142,"5%","3","3","1","-1%","2%","0%",16,9.2,9.2,0.1,18.3,8.7,1.7,6,1.2
"Anthony Rizzo",4,"1B",5000,"CHC","SD",5.55,"Diaz",NA,"1%","R","L",0.389,"3%",0.255,"10%","1","1","0","-3%","2%","0%",13.4,9.8,9.8,1.7,17.9,10.1,2,0,0
"David Peralta",8,"OF",5000,"ARI","@COL",5.45,"Hoffman",0.282,"-3%","R","L",0.373,"6%",0.198,"10%","2","2","0","20%","5%","0%",12.4,9.1,9.1,0.5,17.7,11.4,2.3,24,4.8
"Daniel Murphy",1,"2B",4900,"WAS","@MIA",4.13,"Straily",0.294,"-6%","R","L",0.383,"8%",0.225,"24%","x","x","-","0%","0%","0%",12,10.1,10.1,1.6,18.7,0,0,0,0
"Gary Sanchez",10,"C",4900,"NYY","LAA",6.27,"Nolasco",0.351,"7%","R","R",0.426,"5%",0.31,"7%","6","6","-1","0%","2%","7%",17.7,10.7,10.7,0.4,20.9,10.6,2.2,10,2
"Kris Bryant",1,"3B",4900,"CHC","SD",5.55,"Diaz",NA,"-1%","R","R",0.375,"-2%",0.229,"-5%","2","3","1","1%","2%","0%",7.1,9.2,9.2,0.7,17.8,9.2,1.9,5,1
"Edwin Encarnacion",8,"1B",4900,"CLE","@BAL",5.45,"Gausman",0.371,"11%","R","R",0.38,"0%",0.274,"5%","4","4","0","-1%","3%","0%",16.2,8.9,8.9,0.2,17.5,10.3,2.1,0,0
"A.J. Pollock",NA,"OF",4800,"ARI","@COL",5.45,"Hoffman",NA,"-3%","R","R",0.363,"0%",0.172,"-8%","x","x","-","0%","0%","0%",6.9,9.6,9.6,1.8,17.4,0,0,0,0
"Lorenzo Cain",2,"OF",4800,"KC","BOS",4.41,"Pomeranz",0.299,"-5%","L","R",0.357,"4%",0.172,"16%","3","3","0","2%","4%","0%",15.8,8.5,8.5,0.8,16.3,8.2,1.7,4,0.8
"Carlos Correa",3,"SS",4800,"HOU","@OAK",4.65,"Manaea",0.315,"-1%","L","R",0.349,"-1%",0.204,"3%","3","3","1","-5%","2%","1%",8.1,9.2,9.2,2,16.4,8.8,1.8,19,4
"Jose Altuve",2,"2B",4700,"HOU","@OAK",4.65,"Manaea",0.315,"-1%","L","R",0.387,"4%",0.163,"-3%","2","2","1","-3%","2%","1%",9.3,9.7,9.7,1.6,17.8,9.7,2.1,5,1.1
"Joey Votto",2,"1B",4700,"CIN","@TB",4.5,"Ramirez",0.307,"-3%","R","L",0.422,"2%",0.247,"4%","3","3","0","-1%","0%","0%",9.4,10.4,10.4,3.2,17.6,9.2,2,6,1.3
"Logan Morrison",3,"1B",4700,"TB","CIN",4.5,"Adleman",0.335,"3%","R","L",0.341,"6%",0.231,"23%","4","4","0","0%","0%","0%",11.3,9.2,9.2,1.1,17.4,8.4,1.8,9,1.9
"Josh Donaldson",3,"3B",4700,"TOR","@TEX",5.37,"Ross",0.262,"-12%","R","R",0.397,"-3%",0.266,"-5%","3","2","-1","3%","1%","0%",7.1,9.2,9.2,1.4,17,8.2,1.7,2,0.4
