Player Name,Likes,Inj,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mike Trout,6,,OF,5300,LAA,@OAK,,Graveman,0.319,0%,R,R,0.41,0%,0.271,4,3,3,0,-2%,-2%,0%,0,0,0,0,0,10.2,1.9,0,0
Mookie Betts,8,,OF,5200,BOS,PIT,,Cole,0.287,-7%,R,R,0.369,1%,0.195,-1,3,3,0,4%,-5%,0%,0,0,0,0,0,8.8,1.7,0,0
Manny Machado,10,,3B/SS,5100,BAL,TOR,,Estrada,0.304,-3%,R,R,0.368,3%,0.227,11,3,3,0,1%,-4%,1%,0,0,0,0,0,8.9,1.7,0,0
Bryce Harper,16,,OF,5100,WAS,MIA,,Volquez,0.333,3%,R,L,0.397,4%,0.24,9,3,4,0,-2%,-3%,0%,0,0,0,0,0,10,2,0,0
Charlie Blackmon,12,,OF,5000,COL,@MIL,,Guerra,0.274,-8%,R,L,0.369,3%,0.201,12,1,1,0,3%,-9%,-2%,0,0,0,0,0,8.2,1.6,0,0
Nolan Arenado,10,,3B,5000,COL,@MIL,,Guerra,0.288,-8%,R,R,0.379,2%,0.274,6,4,3,0,-13%,-10%,-2%,0,0,0,0,0,6.7,1.3,0,0
Trea Turner,16,,OF/SS,4900,WAS,MIA,,Volquez,0.311,-2%,R,R,0.394,4%,0.243,15,1,2,0,-1%,-3%,0%,0,0,0,0,0,9.4,1.9,0,0
Josh Donaldson,12,,3B,4900,TOR,@BAL,,Gausman,0.338,4%,R,R,0.374,-4%,0.227,-9,2,3,0,-1%,-4%,1%,0,0,0,0,0,9.1,1.9,0,0
Starling Marte,2,,OF,4900,PIT,@BOS,,Porcello,0.304,-3%,R,R,0.354,0%,0.159,2,2,4,0,10%,-5%,0%,0,0,0,0,0,9.4,1.9,0,0
Ryan Braun,4,,OF,4800,MIL,COL,,Gray,0.331,2%,R,R,0.35,-4%,0.201,-6,3,3,0,0%,-9%,-2%,0,0,0,0,0,7.5,1.6,0,0
Carlos Gonzalez,8,,OF,4800,COL,@MIL,,Guerra,0.274,-8%,R,L,0.384,8%,0.257,12,3,4,0,8%,-11%,-2%,0,0,0,0,0,8.6,1.8,0,0
Jose Altuve,8,,2B,4800,HOU,SEA,,Hernandez,0.287,-7%,R,R,0.352,-3%,0.143,-3,3,3,0,0%,1%,0%,0,0,0,0,0,8.3,1.7,0,0
Joey Votto,11,,1B,4700,CIN,PHI,,Hellickson,0.326,1%,R,L,0.411,2%,0.219,3,3,3,0,2%,-2%,-2%,0,0,0,0,0,8.7,1.9,0,0
Jose Bautista,6,,OF,4700,TOR,@BAL,,Gausman,0.338,4%,R,R,0.383,0%,0.252,0,3,4,0,0%,-4%,1%,0,0,0,0,0,8.9,1.9,0,0
Andrew McCutchen,2,,OF,4700,PIT,@BOS,,Porcello,0.304,-3%,R,R,0.374,-1%,0.198,-2,3,3,0,12%,-6%,0%,0,0,0,0,0,8.8,1.9,0,0
Carlos Correa,6,,SS,4700,HOU,SEA,,Hernandez,0.287,-7%,R,R,0.359,1%,0.195,-2,4,4,0,0%,1%,0%,0,0,0,0,0,8.2,1.7,0,0
Michael Brantley,,,OF,4700,CLE,@TEX,,Darvish,0.297,-5%,R,L,0.388,6%,0.185,18,3,2,0,-2%,-2%,0%,0,0,0,0,0,8.1,1.7,0,0
Trevor Story,8,,SS,4600,COL,@MIL,,Guerra,0.288,-8%,R,R,0.369,-1%,0.29,5,5,5,0,-13%,-9%,-2%,0,0,0,0,0,6.1,1.3,0,0
Miguel Cabrera,9,,1B,4600,DET,@CWS,,TBA,,%,,R,,%,,,x,3,-,2%,-8%,0%,0,0,0,0,0,0,0,0,0
Giancarlo Stanton,4,,OF,4600,MIA,@WAS,,Strasburg,0.301,-4%,R,R,0.367,-5%,0.26,-7,4,4,0,4%,-4%,0%,0,0,0,0,0,8.6,1.9,0,0
Jason Kipnis,,,2B,4600,CLE,@TEX,,Darvish,0.297,-5%,R,L,0.354,5%,0.162,8,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Brian Dozier,7,,2B,4500,MIN,KC,,Duffy,0.323,1%,L,R,0.369,6%,0.242,9,1,1,0,2%,-6%,0%,0,0,0,0,0,8.8,2,0,0
Daniel Murphy,17,,2B/3B,4500,WAS,MIA,,Volquez,0.333,3%,R,L,0.361,5%,0.187,17,4,3,0,-1%,-3%,0%,0,0,0,0,0,8.5,1.9,0,0
Ian Desmond,,,OF,4500,COL,@MIL,,Guerra,0.288,-8%,R,R,0.312,-3%,0.16,-2,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Gregory Polanco,4,,OF,4500,PIT,@BOS,,Porcello,0.319,0%,R,L,0.327,5%,0.159,5,4,5,0,9%,-5%,0%,0,0,0,0,0,8.9,2,0,0
Edwin Encarnacion,,,1B,4500,CLE,@TEX,,Darvish,0.278,-9%,R,R,0.386,1%,0.282,4,4,4,0,2%,-3%,0%,0,0,0,0,0,7.9,1.8,0,0
Carlos Santana,1,,1B,4500,CLE,@TEX,,Darvish,0.297,-5%,R,S,0.354,0%,0.228,14,1,5,0,-1%,-2%,0%,0,0,0,0,0,8.3,1.8,0,0
Francisco Lindor,1,,SS,4500,CLE,@TEX,,Darvish,0.297,-5%,R,S,0.349,0%,0.144,-2,2,3,0,0%,-2%,0%,0,0,0,0,0,7.9,1.8,0,0
Hanley Ramirez,4,,1B/OF,4400,BOS,PIT,,Cole,0.287,-7%,R,R,0.339,-5%,0.17,-15,4,5,0,4%,-6%,0%,0,0,0,0,0,7.4,1.7,0,0
Xander Bogaerts,4,,3B/SS,4400,BOS,PIT,,Cole,0.287,-7%,R,R,0.316,-4%,0.119,-5,6,4,0,4%,-5%,0%,0,0,0,0,0,6.7,1.5,0,0
Corey Seager,17,,SS,4400,LAD,SD,,Chacin,0.328,2%,R,L,0.405,7%,0.227,10,2,2,0,-3%,-1%,0%,0,0,0,0,0,8.7,2,0,0
Troy Tulowitzki,4,,SS,4400,TOR,@BAL,,Gausman,0.338,4%,R,R,0.343,-5%,0.182,-6,5,2,0,0%,-4%,1%,0,0,0,0,0,7.3,1.7,0,0
Robinson Cano,1,,2B,4400,SEA,@HOU,,Keuchel,0.262,-13%,L,L,0.328,-8%,0.14,-20,3,3,0,4%,1%,0%,0,0,0,0,0,7.1,1.6,0,0
Nelson Cruz,6,,OF,4400,SEA,@HOU,,Keuchel,0.297,-5%,L,R,0.419,10%,0.29,12,4,4,0,6%,1%,0%,0,0,0,0,0,9.7,2.2,0,0
George Springer,2,,OF,4400,HOU,SEA,,Hernandez,0.287,-7%,R,R,0.34,-4%,0.182,-10,1,1,0,0%,1%,0%,0,0,0,0,0,8.2,1.9,0,0
Rougned Odor,1,,2B,4400,TEX,CLE,,Kluber,0.309,-2%,R,L,0.331,1%,0.215,8,5,5,0,2%,-3%,0%,0,0,0,0,0,8,1.8,0,0
Jonathan Villar,5,,3B/SS,4300,MIL,COL,,Gray,0.305,-3%,R,S,0.322,-2%,0.142,-9,1,1,0,5%,-7%,-1%,0,0,0,0,0,8.3,1.9,0,0
DJ LeMahieu,3,,2B/3B,4300,COL,@MIL,,Guerra,0.288,-8%,R,R,0.336,0%,0.107,5,2,2,0,-15%,-7%,-1%,0,0,0,0,0,6,1.4,0,0
J.D. Martinez,1,,OF,4300,DET,@CWS,,TBA,,%,,R,,%,,,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Chris Davis,11,,1B/OF,4300,BAL,TOR,,Estrada,0.284,-8%,R,L,0.362,4%,0.277,10,4,4,0,4%,-5%,1%,0,0,0,0,0,7.9,1.8,0,0
Adam Jones,5,,OF,4300,BAL,TOR,,Estrada,0.304,-3%,R,R,0.329,0%,0.189,2,2,2,0,1%,-4%,1%,0,0,0,0,0,7.7,1.8,0,0
Jose Ramirez,,,3B/OF,4300,CLE,@TEX,,Darvish,0.297,-5%,R,S,0.32,0%,0.131,3,5,1,0,-1%,-2%,0%,0,0,0,0,0,7.3,1.7,0,0
Ian Kinsler,5,,2B,4200,DET,@CWS,,TBA,,%,,R,,%,,,x,1,-,0%,-7%,0%,0,0,0,0,0,0,0,0,0
Mark Trumbo,8,,1B/OF,4200,BAL,TOR,,Estrada,0.304,-3%,R,R,0.342,0%,0.224,-5,5,5,0,1%,-5%,1%,0,0,0,0,0,7.7,1.8,0,0
Yoenis Cespedes,2,,OF,4200,NYM,ATL,,Teheran,0.254,-14%,R,R,0.358,1%,0.231,0,3,3,0,-4%,-4%,3%,0,0,0,0,0,6.8,1.6,0,0
Christian Yelich,2,,OF,4200,MIA,@WAS,,Strasburg,0.276,-10%,R,L,0.358,4%,0.156,13,3,3,0,1%,-3%,0%,0,0,0,0,0,7.7,1.8,0,0
Jackie Bradley Jr.,5,,OF,4200,BOS,PIT,,Cole,0.304,-3%,R,L,0.321,2%,0.194,13,7,6,0,4%,-5%,0%,0,0,0,0,0,7,1.7,0,0
David Dahl,1,,OF,4200,COL,@MIL,,Guerra,0.274,-8%,R,L,0.38,5%,0.218,15,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Dee Gordon,,,2B,4200,MIA,@WAS,,Strasburg,0.276,-10%,R,L,0.312,-1%,0.083,2,1,1,0,0%,-2%,0%,0,0,0,0,0,7.5,1.8,0,0
Odubel Herrera,10,,2B/OF,4200,PHI,@CIN,,Feldman,0.311,-2%,R,L,0.35,4%,0.149,16,3,3,0,3%,-2%,-2%,0,0,0,0,0,7.8,1.9,0,0
Maikel Franco,4,,3B,4200,PHI,@CIN,,Feldman,0.327,2%,R,R,0.317,-1%,0.171,-4,4,4,0,1%,-3%,-2%,0,0,0,0,0,7.9,1.9,0,0
Jean Segura,5,,2B/SS,4200,SEA,@HOU,,Keuchel,0.297,-5%,L,R,0.311,-1%,0.129,5,1,2,0,6%,1%,0%,0,0,0,0,0,8.2,2,0,0
Adrian Beltre,,,3B,4200,TEX,CLE,,Kluber,0.25,-15%,R,R,0.345,-6%,0.168,-11,x,3,-,2%,-3%,0%,0,0,0,0,0,0,0,0,0
Shin-Soo Choo,,,OF,4200,TEX,CLE,,Kluber,0.309,-2%,R,L,0.353,5%,0.169,15,2,2,0,1%,-2%,0%,0,0,0,0,0,8.1,1.9,0,0
Dustin Pedroia,2,,2B,4100,BOS,PIT,,Cole,0.287,-7%,R,R,0.34,-2%,0.116,-9,1,1,0,4%,-5%,0%,0,0,0,0,0,7.2,1.8,0,0
Todd Frazier,,,1B/3B,4100,CWS,DET,,TBA,,%,,R,,%,,,x,5,-,1%,-8%,0%,0,0,0,0,0,0,0,0,0
Adam Eaton,8,,OF,4100,WAS,MIA,,Volquez,0.333,3%,R,L,0.354,3%,0.158,21,2,1,0,-1%,-2%,0%,0,0,0,0,0,8.1,2,0,0
Billy Hamilton,4,,OF,4100,CIN,PHI,,Hellickson,0.326,1%,R,S,0.279,0%,0.078,-9,1,1,0,0%,-2%,-1%,0,0,0,0,0,8.4,2,0,0
Kendrys Morales,5,,1B,4100,TOR,@BAL,,Gausman,0.298,-5%,R,S,0.326,-2%,0.193,8,4,5,0,5%,-4%,1%,0,0,0,0,0,7.7,1.9,0,0
Jonathan Lucroy,1,,C,4100,TEX,CLE,,Kluber,0.25,-15%,R,R,0.358,1%,0.169,-1,6,6,0,2%,-2%,0%,0,0,0,0,0,6.2,1.5,0,0
Jose Reyes,3,,3B/SS,4000,NYM,ATL,,Teheran,0.342,5%,R,S,0.308,-2%,0.113,-8,1,1,0,-3%,-3%,2%,0,0,0,0,0,7.3,1.8,0,0
Adam Duvall,6,,1B/OF,4000,CIN,PHI,,Hellickson,0.323,1%,R,R,0.332,2%,0.266,8,4,4,0,1%,-3%,-2%,0,0,0,0,0,7.6,1.9,0,0
Jose Abreu,4,,1B,4000,CWS,DET,,TBA,,%,,R,,%,,,x,4,-,0%,-9%,0%,0,0,0,0,0,0,0,0,0
Justin Upton,5,,OF,4000,DET,@CWS,,TBA,,%,,R,,%,,,x,5,-,1%,-8%,0%,0,0,0,0,0,0,0,0,0
Miguel Sano,6,,3B/OF,4000,MIN,KC,,Duffy,0.323,1%,L,R,0.36,2%,0.247,6,5,4,0,2%,-7%,0%,0,0,0,0,0,7.7,1.9,0,0
Devon Travis,6,,2B,4000,TOR,@BAL,,Gausman,0.338,4%,R,R,0.357,3%,0.168,0,1,1,0,1%,-4%,1%,0,0,0,0,0,8.3,2.1,0,0
Yasiel Puig,,,OF,4000,LAD,SD,,Chacin,0.318,0%,R,R,0.352,-1%,0.173,-4,8,6,0,-4%,-1%,0%,0,0,0,0,0,6.8,1.7,0,0
Kyle Seager,1,,3B,4000,SEA,@HOU,,Keuchel,0.262,-13%,L,L,0.316,-8%,0.18,-8,5,5,0,4%,1%,0%,0,0,0,0,0,6.7,1.7,0,0
Carlos Gomez,,,OF,4000,TEX,CLE,,Kluber,0.25,-15%,R,R,0.337,-1%,0.175,-3,1,1,0,2%,-2%,0%,0,0,0,0,0,7.1,1.8,0,0
Freddie Freeman,5,,1B,3900,ATL,@NYM,,Syndergaard,0.303,-4%,R,L,0.396,5%,0.237,17,3,3,0,-1%,-4%,3%,0,0,0,0,0,8.5,2.2,0,0
Anthony Rendon,1,,2B/3B,3900,WAS,MIA,,Volquez,0.311,-2%,R,R,0.341,-1%,0.175,5,x,5,-,0%,-3%,0%,0,0,0,0,0,0,0,0,0
Lorenzo Cain,,,OF,3900,KC,@MIN,,Santana,0.297,-5%,R,R,0.318,-5%,0.109,-17,3,3,0,2%,-5%,0%,0,0,0,0,0,7.1,1.8,0,0
Melky Cabrera,1,,OF,3900,CWS,DET,,TBA,,%,,S,,%,,,x,3,-,-2%,-7%,0%,0,0,0,0,0,0,0,0,0
Jonathan Schoop,5,,2B/3B,3900,BAL,TOR,,Estrada,0.304,-3%,R,R,0.322,5%,0.2,14,8,7,0,1%,-4%,1%,0,0,0,0,0,6.6,1.7,0,0
Keon Broxton,2,,OF,3900,MIL,COL,,Gray,0.331,2%,R,R,0.306,-3%,0.169,1,6,2,0,-1%,-7%,-1%,0,0,0,0,0,6.5,1.7,0,0
Russell Martin,6,,C,3900,TOR,@BAL,,Gausman,0.338,4%,R,R,0.342,1%,0.186,8,6,6,0,0%,-4%,1%,0,0,0,0,0,7.2,1.8,0,0
Mike Napoli,,,1B,3900,TEX,CLE,,Kluber,0.25,-15%,R,R,0.319,-7%,0.189,-7,4,4,0,2%,-3%,0%,0,0,0,0,0,6,1.5,0,0
Elvis Andrus,,,SS,3900,TEX,CLE,,Kluber,0.25,-15%,R,R,0.293,-5%,0.091,-7,8,8,0,3%,-2%,0%,0,0,0,0,0,5.4,1.4,0,0
Tyler Naquin,,,OF,3900,CLE,@TEX,,Darvish,0.297,-5%,R,L,0.378,4%,0.225,10,7,7,0,1%,-2%,0%,0,0,0,0,0,6.8,1.7,0,0
Wil Myers,,,1B/OF,3800,SD,@LAD,,Kershaw,0.231,-19%,L,R,0.326,1%,0.145,-10,2,3,0,-5%,-1%,0%,0,0,0,0,0,6.7,1.8,0,0
Michael Saunders,7,,OF,3800,PHI,@CIN,,Feldman,0.311,-2%,R,L,0.335,0%,0.199,3,5,6,0,6%,-3%,-2%,0,0,0,0,0,7.3,1.9,0,0
Adrian Gonzalez,14,,1B,3800,LAD,SD,,Chacin,0.328,2%,R,L,0.369,7%,0.218,18,4,4,0,-2%,-1%,0%,0,0,0,0,0,7.8,2.1,0,0
Josh Harrison,1,,2B,3800,PIT,@BOS,,Porcello,0.304,-3%,R,R,0.321,-3%,0.13,-2,8,1,0,10%,-5%,0%,0,0,0,0,0,6.6,1.7,0,0
Cesar Hernandez,3,,2B,3800,PHI,@CIN,,Feldman,0.311,-2%,R,S,0.309,-1%,0.093,13,1,1,0,1%,-2%,-2%,0,0,0,0,0,7.2,1.9,0,0
Steve Pearce,,,1B/2B,3800,TOR,@BAL,,Gausman,0.338,4%,R,R,0.354,-2%,0.204,-8,7,x,0,0%,-4%,1%,0,0,0,0,0,0,0,0,0
Domingo Santana,,,OF,3800,MIL,COL,,Gray,0.331,2%,R,R,0.304,-5%,0.161,-7,5,5,0,0%,-9%,-2%,0,0,0,0,0,6.5,1.7,0,0
Kevin Pillar,,,OF,3800,TOR,@BAL,,Gausman,0.338,4%,R,R,0.301,-1%,0.119,1,8,8,0,1%,-3%,1%,0,0,0,0,0,6.7,1.8,0,0
Gerardo Parra,2,,OF,3800,COL,@MIL,,Guerra,0.274,-8%,R,L,0.318,6%,0.15,20,6,6,0,1%,-9%,-2%,0,0,0,0,0,6.4,1.7,0,0
Eric Thames,8,,1B/OF,3800,MIL,COL,,Gray,0.305,-3%,R,L,,2%,,6,2,4,0,9%,-10%,-2%,0,0,0,0,0,8.8,2.3,0,0
Alex Bregman,3,,3B,3800,HOU,SEA,,Hernandez,0.287,-7%,R,R,0.344,1%,0.228,9,2,2,0,0%,1%,0%,0,0,0,0,0,7.9,2.1,0,0
Khris Davis,4,,OF,3800,OAK,LAA,,Nolasco,0.346,6%,R,R,0.345,0%,0.253,-1,4,4,0,-3%,-2%,0%,0,0,0,0,0,8,2.1,0,0
Nomar Mazara,,,OF,3800,TEX,CLE,,Kluber,0.309,-2%,R,L,0.338,6%,0.185,19,3,7,0,2%,-3%,0%,0,0,0,0,0,7.7,2,0,0
Eric Hosmer,9,,1B,3700,KC,@MIN,,Santana,0.313,-2%,R,L,0.349,4%,0.167,11,4,4,0,1%,-6%,0%,0,0,0,0,0,7.7,2.1,0,0
Curtis Granderson,9,,OF,3700,NYM,ATL,,Teheran,0.342,5%,R,L,0.351,3%,0.208,6,4,2,0,-2%,-4%,3%,0,0,0,0,0,7.7,2.1,0,0
Max Kepler,1,,OF,3700,MIN,KC,,Duffy,0.222,-19%,L,L,0.26,-10%,0.118,-25,8,5,0,0%,-6%,0%,0,0,0,0,0,4.8,1.3,0,0
Jose Peraza,7,,2B/SS,3700,CIN,PHI,,Hellickson,0.323,1%,R,R,0.317,-1%,0.071,-16,2,2,0,-1%,-2%,-2%,0,0,0,0,0,7.5,2,0,0
Welington Castillo,6,,C,3700,BAL,TOR,,Estrada,0.304,-3%,R,R,0.3,-5%,0.155,-9,6,8,0,1%,-4%,1%,0,0,0,0,0,6.1,1.6,0,0
Andrew Benintendi,15,,OF,3700,BOS,PIT,,Cole,0.304,-3%,R,L,0.416,6%,0.247,14,2,2,0,5%,-5%,0%,0,0,0,0,0,8.6,2.3,0,0
Melvin Upton,,,OF,3700,TOR,@BAL,,Gausman,0.338,4%,R,R,0.282,-1%,0.148,4,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Tommy Joseph,8,,1B,3700,PHI,@CIN,,Feldman,0.327,2%,R,R,0.325,-2%,0.235,4,6,5,0,1%,-3%,-3%,0,0,0,0,0,7.5,2,0,0
Aaron Altherr,,,OF,3700,PHI,@CIN,,Feldman,0.327,2%,R,R,0.304,-1%,0.153,1,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Pablo Sandoval,5,,3B,3700,BOS,PIT,,Cole,0.304,-3%,R,S,0.34,11%,0.15,23,8,7,0,4%,-5%,0%,0,0,0,0,0,6.9,1.9,0,0
Albert Pujols,2,,1B,3700,LAA,@OAK,,Graveman,0.319,0%,R,R,0.337,1%,0.201,-2,4,4,0,-2%,-2%,0%,0,0,0,0,0,8.1,2.2,0,0
Carlos Beltran,5,,OF,3700,HOU,SEA,,Hernandez,0.283,-8%,R,S,0.347,3%,0.198,1,5,5,0,1%,1%,0%,0,0,0,0,0,7.2,1.9,0,0
Joey Gallo,,,3B/OF,3700,TEX,CLE,,Kluber,0.309,-2%,R,L,0.31,2%,0.215,11,7,x,0,2%,-3%,0%,0,0,0,0,0,0,0,0,0
Logan Forsythe,5,,2B,3600,LAD,SD,,Chacin,0.318,0%,R,R,0.317,-3%,0.125,-20,5,1,0,-4%,-1%,0%,0,0,0,0,0,6.6,1.8,0,0
Nick Castellanos,5,,3B,3600,DET,@CWS,,TBA,,%,,R,,%,,,x,2,-,0%,-8%,0%,0,0,0,0,0,0,0,0,0
Neil Walker,8,,2B,3600,NYM,ATL,,Teheran,0.342,5%,R,S,0.345,2%,0.191,11,5,5,0,-2%,-4%,3%,0,0,0,0,0,7.5,2.1,0,0
Jayson Werth,,,OF,3600,WAS,MIA,,Volquez,0.311,-2%,R,R,0.322,-8%,0.144,-18,6,6,0,1%,-3%,0%,0,0,0,0,0,6.2,1.7,0,0
Tim Anderson,,,SS,3600,CWS,DET,,TBA,,%,,R,,%,,,x,2,-,0%,-7%,0%,0,0,0,0,0,0,0,0,0
