Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Chris Sale,1,SP,12700,BOS,DET,,,,,,4.88,30.0%,2.89,3.00,L,0.243,0.279,-2%,0%,-2%,25.3,29.4,29.4,22.2,36.7,22.8,1.8,0.0,0.0
Carlos Martinez,3,SP,12300,STL,PHI,,,,,,4.05,23.7%,3.70,3.53,R,0.326,0.258,1%,-1%,-1%,25.2,21.7,21.7,12.5,30.9,21.5,1.7,0.0,0.0
Jeff Samardzija,3,SP,10900,SF,MIN,,,,,,4.57,20.5%,3.95,3.92,R,0.332,0.285,1%,0%,0%,23.8,20.2,20.2,9.7,30.7,18.9,1.7,0.0,0.0
Luis Severino,2,SP,9800,NYY,BAL,,,,,,4.48,23.5%,3.67,3.55,R,0.305,0.317,0%,-1%,-4%,19.4,21.2,21.2,8.6,33.7,16.1,1.6,0.0,0.0
Alex Wood,2,SP,9500,LAD,CIN,,,,,,5.15,21.2%,3.76,3.54,L,0.273,0.310,3%,1%,0%,27.8,22.6,22.6,12.7,32.4,18.8,2.0,0.0,0.0
Gio Gonzalez,,SP,8700,WAS,TEX,,,,,,4.75,22.1%,4.03,3.84,L,0.280,0.325,0%,-2%,0%,16.7,17.1,17.1,9.5,24.8,15.2,1.7,0.0,0.0
Marcus Stroman,1,SP,8600,TOR,@SEA,,,,,,4.72,19.3%,3.61,3.42,R,0.300,0.309,6%,1%,0%,18.6,17.0,17.0,6.5,27.4,16.3,1.9,0.0,0.0
Sonny Gray,1,SP,8300,OAK,@TB,50%,4.00,,,,4.58,19.8%,3.97,3.80,R,0.287,0.305,1%,0%,0%,17.2,14.7,14.7,1.5,27.9,15.5,1.9,0.0,0.0
Dan Straily,1,SP,8200,MIA,@PIT,,,,,,4.15,21.4%,4.52,4.87,R,0.292,0.322,-1%,-2%,0%,20.5,17.2,17.2,5.7,28.6,14.9,1.8,0.0,0.0
Jose Berrios,3,SP,7900,MIN,@SF,,,,,,3.61,19.6%,4.89,5.22,R,0.332,0.377,3%,0%,0%,22.2,22.2,22.2,10.0,34.4,17.5,2.2,0.0,0.0
Justin Verlander,,SP,7700,DET,@BOS,,,,,,4.69,24.8%,3.80,4.10,R,0.286,0.293,-5%,-1%,-3%,11.1,14.3,14.3,2.6,25.9,15.1,2.0,0.0,0.0
Ian Kennedy,,SP,7500,KC,@SD,,,,,,3.43,23.1%,4.07,4.35,R,0.320,0.327,5%,1%,0%,2.1,10.2,10.2,-1.3,21.8,13.8,1.8,0.0,0.0
Ariel Miranda,,SP,7400,SEA,TOR,,,,,,4.33,20.6%,4.55,4.86,L,,0.299,3%,1%,0%,22.9,16.0,16.0,2.3,29.7,15.5,2.1,0.0,0.0
Josh Tomlin,,SP,7300,CLE,CWS,,,,,,4.45,17.7%,4.06,4.01,R,0.281,0.355,-4%,-3%,-3%,15.4,10.8,10.8,-1.4,22.9,12.7,1.7,0.0,0.0
Mike Fiers,,SP,7200,HOU,LAA,,,,,,4.11,20.9%,4.12,4.13,R,0.297,0.355,2%,-3%,-4%,13.4,11.4,11.4,4.5,18.2,12.0,1.7,0.0,0.0
Zack Godley,,SP,7100,ARI,MIL,,,,,,4.95,20.0%,4.05,3.92,R,0.324,0.322,-3%,-3%,0%,18.6,18.0,18.0,10.6,25.5,13.9,2.0,0.0,0.0
Robert Gsellman,,SP,6900,NYM,@ATL,,,,,,4.60,19.3%,4.06,3.86,R,0.276,0.358,-3%,-1%,0%,11.5,8.6,8.6,-1.5,18.7,12.1,1.8,0.0,0.0
Jeff Hoffman,1,SP,6700,COL,@CHC,,,,,,4.64,21.4%,4.26,4.20,R,,,11%,-3%,-9%,28.4,28.4,28.4,21.8,34.9,15.1,2.3,0.0,0.0
Erasmo Ramirez,,SP,6500,TB,OAK,50%,4.00,,,,4.19,18.3%,3.94,4.02,R,0.301,0.316,2%,0%,0%,10.6,10.6,10.6,0.5,20.7,11.3,1.7,0.0,0.0
Trevor Williams,,RP,5900,PIT,MIA,,,,,,4.47,15.7%,4.70,4.86,R,,,1%,-3%,0%,13.3,10.1,10.1,0.4,19.8,10.8,1.8,0.0,0.0
Junior Guerra,,SP,5700,MIL,@ARI,,,,,,5.08,19.9%,4.47,4.36,R,0.267,0.296,-7%,-3%,0%,13.8,13.8,13.8,7.3,20.4,11.7,2.1,0.0,0.0
Eddie Butler,,SP,5600,CHC,COL,,,,,,5.21,14.2%,5.05,4.86,R,0.424,0.365,2%,-6%,-21%,12.4,12.4,12.4,2.5,22.4,6.2,1.1,0.0,0.0
Chris Tillman,,SP,5400,BAL,@NYY,,,,,,5.53,17.5%,4.73,4.64,R,0.315,0.333,-1%,-1%,-8%,3.8,6.5,6.5,-2.5,15.4,8.3,1.5,0.0,0.0
Nick Pivetta,,SP,5300,PHI,@STL,,,,,,4.00,,,,R,,,1%,-2%,-1%,10.8,10.8,10.8,8.0,13.5,12.6,2.4,0.0,0.0
