Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Max Scherzer,1,SP,13000,WAS,TEX,70%,3.28,,,,4.75,31.7%,2.81,3.12,R,0.303,0.214,0%,-2%,0%,32.6,29.8,29.8,18.2,41.3,26.0,2.0,0.0,0.0
Chris Archer,2,SP,12200,TB,OAK,63%,3.40,,,,4.18,28.5%,3.29,3.21,R,0.288,0.286,1%,0%,0%,22.9,22.4,22.4,12.3,32.5,23.1,1.9,0.0,0.0
Robbie Ray,,SP,12000,ARI,MIL,59%,3.84,,,,5.00,26.6%,3.72,3.65,L,0.302,0.322,-2%,0%,0%,29.6,24.0,24.0,10.8,37.1,21.5,1.8,0.0,0.0
Carlos Carrasco,1,SP,11500,CLE,CWS,65%,3.73,,,,4.42,27.2%,3.15,3.07,R,0.281,0.279,-2%,-2%,-2%,15.2,19.8,19.8,9.2,30.4,17.3,1.5,0.0,0.0
James Paxton,,SP,9200,SEA,TOR,59%,3.61,,,,4.30,22.8%,3.76,3.61,L,0.326,0.280,2%,0%,0%,19.8,23.9,23.9,13.2,34.6,17.9,1.9,0.0,0.0
Jake Arrieta,1,SP,8700,CHC,COL,63%,,,,,5.21,25.7%,3.36,3.18,R,0.257,0.252,1%,-3%,-10%,19.4,17.3,17.3,7.3,27.2,15.1,1.7,0.0,0.0
Drew Pomeranz,,SP,8400,BOS,DET,60%,4.88,,,,4.85,26.0%,3.70,3.68,L,0.283,0.297,-3%,-1%,-3%,20.9,17.9,17.9,7.1,28.6,14.4,1.7,0.0,0.0
Adam Wainwright,1,SP,8100,STL,PHI,57%,3.89,,,,4.02,19.0%,4.27,4.01,R,0.321,0.311,1%,-2%,-1%,17.5,12.5,12.5,-0.6,25.7,14.9,1.8,0.0,0.0
Chase Anderson,,SP,8000,MIL,@ARI,41%,4.66,,,,5.10,18.7%,4.44,4.44,R,0.307,0.352,-8%,0%,0%,19.8,17.1,17.1,4.2,30.0,12.6,1.6,0.0,0.0
Jose Quintana,,SP,7900,CWS,@CLE,35%,5.27,,,,4.47,21.4%,3.89,3.86,L,0.291,0.316,-6%,-2%,-3%,11.7,13.7,13.7,0.6,26.8,13.1,1.7,0.0,0.0
Jaime Garcia,,SP,7600,ATL,NYM,52%,4.41,,,,4.88,18.9%,3.90,3.75,L,0.300,0.303,0%,-1%,0%,18.1,13.8,13.8,5.8,21.8,16.5,2.2,0.0,0.0
Hyun-Jin Ryu,,SP,6900,LAD,CIN,62%,3.90,,,,5.10,19.8%,4.22,4.20,L,0.328,0.332,4%,1%,-2%,13.5,12.8,12.8,4.7,20.8,14.8,2.1,0.0,0.0
Dinelson Lamet,,SP,6800,SD,KC,52%,4.15,,,,3.62,,,,R,,,1%,1%,0%,13.8,13.8,13.8,-5.0,32.6,16.7,2.5,0.0,0.0
J.A. Happ,,SP,6700,TOR,@SEA,41%,4.39,,,,4.71,21.0%,4.02,3.92,L,0.322,0.300,7%,0%,0%,12.5,12.5,12.5,5.0,19.9,14.6,2.2,0.0,0.0
Jesse Chavez,,SP,6600,LAA,@HOU,37%,5.46,,,,5.50,20.3%,4.01,4.07,R,0.330,0.302,1%,-4%,-4%,12.1,13.3,13.3,4.6,22.1,12.1,1.8,0.0,0.0
Ivan Nova,,SP,6500,PIT,MIA,59%,4.06,,,,4.60,16.4%,4.11,4.00,R,0.357,0.295,1%,-3%,0%,11.5,16.0,16.0,5.6,26.4,14.6,2.2,0.0,0.0
David Paulino,,RP,6400,HOU,LAA,63%,4.04,,,,4.19,,,,R,,,1%,-3%,-3%,13.4,13.4,13.4,7.7,19.1,14.2,2.2,0.0,0.0
Tim Adleman,,SP,6300,CIN,@LAD,38%,5.10,,,,4.76,18.5%,4.64,4.92,R,0.322,0.322,11%,1%,-3%,12.4,13.4,13.4,1.0,25.8,12.2,1.9,0.0,0.0
Antonio Senzatela,,SP,6100,COL,@CHC,37%,,,,,4.62,16.1%,4.65,4.43,R,0.317,0.285,17%,-4%,-14%,14.5,15.1,15.1,8.5,21.8,10.8,1.8,0.0,0.0
Aaron Nola,,SP,6000,PHI,@STL,42%,4.61,,,,3.98,23.2%,3.54,3.39,R,0.322,0.291,0%,-2%,-1%,12.9,14.6,14.6,5.3,23.9,17.3,2.9,0.0,0.0
Jesse Hahn,,SP,5800,OAK,@TB,37%,4.60,,,,4.71,15.3%,4.46,4.23,R,0.331,0.258,2%,0%,0%,8.7,13.8,13.8,4.2,23.4,10.6,1.8,0.0,0.0
Daniel Norris,,SP,5700,DET,@BOS,40%,6.12,,,,4.70,20.7%,4.32,4.41,L,0.336,0.327,-7%,-1%,-4%,13.5,12.3,12.3,4.2,20.4,12.4,2.2,0.0,0.0
Jake Junis,,SP,5600,KC,@SD,48%,4.35,,,,3.47,,,,R,,,5%,1%,0%,-0.6,-0.6,-0.6,-15.2,14.0,11.4,2.0,0.0,0.0
Jeff Locke,,SP,5500,MIA,@PIT,41%,4.94,,,,4.20,15.8%,4.55,4.35,L,0.310,0.334,-1%,-3%,0%,14.3,14.3,14.3,2.1,26.5,11.5,2.1,0.0,0.0
