"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Max Scherzer",7,"SP",11800,"WAS","@BAL","59%",3.85,NA,NA,"",4.4,"31.2%",2.84,3.16,"R",0.299,0.234,"0%","2%","0%",27.3,27,27,18.5,35.5,25.2,2.1,0,0
"Carlos Carrasco",6,"SP",10600,"CLE","@TOR","62%",3.46,NA,NA,"",3.81,"27.4%",3.07,2.96,"R",0.293,0.273,"0%","3%","0%",23.8,23.7,23.7,16.9,30.4,23.6,2.2,0,0
"Justin Verlander",NA,"SP",10000,"DET","@ARI","50%",4.23,NA,NA,"",4.82,"25.2%",3.69,4,"R",0.287,0.311,"-5%","1%","0%",13.4,16.1,16.1,1.6,30.5,17.1,1.7,0,0
"Jeff Samardzija",3,"SP",9400,"SF","@NYM","49%",3.54,NA,NA,"",5.07,"19.8%",4.06,4.04,"R",0.335,0.282,"4%","3%","0%",19.1,17.9,17.9,6.6,29.3,18.5,2,0,0
"Robbie Ray",2,"SP",9200,"ARI","DET","50%",4.27,NA,NA,"",5,"26.2%",3.72,3.62,"L",0.301,0.343,"-2%","1%","0%",22.6,21.4,21.4,14.8,28,19.1,2.1,0,0
"Ivan Nova",NA,"SP",8200,"PIT","@LAD","36%",4.32,NA,NA,"",4.74,"17.3%",3.98,3.91,"R",0.341,0.309,"8%","3%","-2%",20.8,20.9,20.9,7.6,34.1,17.3,2.1,0,0
"Drew Pomeranz",3,"SP",8100,"BOS","@MIL","56%",4.19,NA,NA,"",4.84,"25.7%",3.71,3.71,"L",0.266,0.29,"2%","4%","0%",19.3,19.3,19.3,13.9,24.6,16.8,2.1,0,0
"Julio Urias",2,"SP",8000,"LAD","PIT","64%",3.18,NA,NA,"",3.77,"23.4%",4.19,3.97,"L",NA,0.311,"2%","1%","-1%",11.2,11.2,11.2,7.3,15.1,18,2.3,0,0
"A.J. Griffin",1,"SP",8000,"TEX","@SD","54%",4.08,NA,0.297,"25.8%",3.66,"22.0%",4.44,4.85,"R",0.335,0.291,"4%","1%","-1%",18.8,18.8,18.8,6.6,31,17.8,2.2,0,0
"Matt Andriese",1,"SP",7900,"TB","KC","60%",3.55,NA,NA,"",2.73,"19.7%",3.97,4.04,"R",0.311,0.311,"1%","0%","0%",18.3,16,16,6.2,25.7,18.6,2.4,0,0
"Jharel Cotton",NA,"SP",7800,"OAK","LAA","56%",3.96,NA,NA,"",3.82,"19.7%",4.39,4.63,"R",NA,0.309,"2%","0%","0%",15.3,13,13,0.7,25.4,16.5,2.1,0,0
"Zack Wheeler",3,"SP",7700,"NYM","SF","51%",3.46,NA,NA,"",3.28,"",NA,NA,"R",0.338,0.273,"2%","2%","0%",13,13,13,6.5,19.4,17.1,2.2,0,0
"Charlie Morton",1,"SP",7600,"HOU","ATL","63%",3.62,NA,NA,"",4.48,"19.7%",3.73,3.66,"R",0.342,0.307,"1%","0%","-3%",18.9,17.9,17.9,8.4,27.5,16.1,2.1,0,0
"Dan Straily",NA,"SP",7500,"MIA","STL","52%",3.91,NA,NA,"",4.37,"20.8%",4.63,4.97,"R",0.308,0.331,"2%","-1%","1%",18.1,13.8,13.8,-1.2,28.9,14.8,2,0,0
