Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jose Altuve,9,2B,5800,HOU,@KC,5.39,Kennedy,0.326,1%,R,R,0.364,-2%,0.169,1,3,3,0,4%,2%,0%,12.5,10.0,10.0,1.7,18.3,10.2,1.8,8.0,1.4
George Springer,10,OF,5700,HOU,@KC,5.39,Kennedy,0.326,1%,R,R,0.336,-6%,0.169,-16,1,1,0,1%,2%,0%,17.3,10.0,10.0,0.7,19.3,9.4,1.6,5.0,0.9
Bryce Harper,1,OF,5500,WAS,@LAD,4.03,Ryu,0.331,-1%,L,L,0.351,-11%,0.181,-27,3,3,0,-1%,-2%,2%,7.1,11.7,11.7,1.1,22.2,8.5,1.5,5.0,0.9
Carlos Correa,11,SS,5500,HOU,@KC,5.39,Kennedy,0.326,1%,R,R,0.367,2%,0.205,2,4,4,0,2%,2%,0%,15.7,9.7,9.7,2.1,17.3,9.6,1.7,2.0,0.4
Matt Kemp,3,OF,5300,ATL,PHI,5.34,Pivetta,,-1%,R,R,0.331,-3%,0.199,-4,4,4,0,0%,-3%,0%,7.8,9.6,9.6,0.6,18.7,8.4,1.6,0.0,0.0
Ryan Zimmerman,11,1B,5200,WAS,@LAD,4.03,Ryu,0.342,5%,L,R,0.379,12%,0.255,22,4,4,0,-6%,-2%,2%,11.8,11.4,11.4,2.6,20.3,8.2,1.6,3.0,0.6
Giancarlo Stanton,9,OF,5100,MIA,@CHC,3.83,Butler,0.367,12%,R,R,0.348,-9%,0.247,-15,2,2,0,10%,-2%,-10%,12.2,9.5,9.5,0.7,18.3,9.1,1.8,5.0,1.0
Daniel Murphy,4,2B,5100,WAS,@LAD,4.03,Ryu,0.331,-1%,L,L,0.313,-12%,0.119,-34,5,5,-1,-4%,-2%,2%,11.2,10.1,10.1,1.3,18.8,6.6,1.3,2.0,0.4
Justin Bour,7,1B,5000,MIA,@CHC,3.83,Butler,0.431,22%,R,L,0.362,2%,0.245,5,x,x,-,0%,0%,0%,11.5,9.5,9.5,0.3,18.7,0.0,0.0,0.0,0.0
Marcell Ozuna,4,OF,4900,MIA,@CHC,3.83,Butler,0.367,12%,R,R,0.317,-4%,0.160,-8,4,4,0,5%,-2%,-8%,11.2,9.3,9.3,0.6,17.9,7.9,1.6,8.0,1.6
Trea Turner,5,SS,4900,WAS,@LAD,4.03,Ryu,0.342,5%,L,R,0.277,-2%,0.065,-8,1,1,0,-8%,-2%,2%,10.7,10.0,10.0,0.4,19.7,8.8,1.8,5.0,1.0
Marwin Gonzalez,6,3B/OF,4800,HOU,@KC,5.39,Kennedy,0.319,0%,R,S,0.325,-1%,0.168,0,6,6,0,0%,2%,0%,11.5,9.9,9.9,1.3,18.6,7.6,1.6,9.0,1.9
Eric Thames,8,1B,4700,MIL,SF,3.88,Samardzija,0.333,3%,R,L,0.418,6%,0.301,15,3,2,-1,9%,-4%,0%,7.0,10.8,10.8,1.4,20.2,9.3,2.0,0.0,0.0
Travis Shaw,1,3B,4700,MIL,SF,3.88,Samardzija,0.333,3%,R,L,0.335,1%,0.195,-3,x,x,-,0%,0%,0%,9.4,9.2,9.2,0.7,17.8,0.0,0.0,0.0,0.0
Ryan Braun,1,OF,4600,MIL,SF,3.88,Samardzija,0.286,-7%,R,R,0.357,-5%,0.221,-4,x,x,-,0%,0%,0%,6.7,9.9,9.9,1.7,18.0,0.0,0.0,0.0,0.0
Anthony Rendon,3,3B,4600,WAS,@LAD,4.03,Ryu,0.342,5%,L,R,0.367,6%,0.156,-6,6,2,-1,-7%,-2%,2%,10.7,9.2,9.2,-2.6,21.0,7.6,1.7,23.0,5.0
Joey Votto,7,1B,4600,CIN,STL,4.25,Martinez,0.326,1%,R,L,0.421,2%,0.246,5,3,3,0,2%,-1%,0%,8.7,10.2,10.2,2.8,17.5,8.9,1.9,4.0,0.9
Adam Duvall,2,OF,4600,CIN,STL,4.25,Martinez,0.258,-14%,R,R,0.336,0%,0.265,5,4,4,0,1%,-1%,0%,12.0,9.6,9.6,0.5,18.6,6.9,1.5,3.0,0.7
Carlos Beltran,8,OF,4600,HOU,@KC,5.39,Kennedy,0.319,0%,R,S,0.347,4%,0.203,5,5,5,0,-1%,2%,0%,10.3,7.2,7.2,-0.2,14.7,7.9,1.7,0.0,0.0
