"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Mike Trout",2,"OF",5500,"LAA","@TB",4.15,"Cobb",0.295,"-5%","R","R",0.416,"0%",0.282,5,NA,"2",NA,"-4%","0%","0%",17,12.7,12.7,5.4,20,10.4,1.9,0,0
"Jake Lamb",1,"3B",5500,"ARI","CWS",6.27,"Covey",NA,"1%","R","L",0.352,"6%",0.213,8,NA,"4",NA,"5%","5%","0%",14.7,10.4,10.4,2.1,18.7,10.4,1.9,0,0
"Bryce Harper",1,"OF",5400,"WAS","SEA",4.89,"Bergman",0.317,"6%","R","L",0.408,"4%",0.258,11,NA,"3",NA,"-2%","-4%","-4%",9.3,12.4,12.4,1.4,23.5,9.5,1.8,0,0
"Paul Goldschmidt",2,"1B",5400,"ARI","CWS",6.27,"Covey",NA,"-1%","R","R",0.391,"-3%",0.23,-2,NA,"3",NA,"2%","4%","0%",13.4,11.7,11.7,3.2,20.2,11.3,2.1,0,0
"Charlie Blackmon",2,"OF",5300,"COL","@PHI",4.53,"Eflin",0.341,"3%","R","L",0.372,"3%",0.208,11,NA,"1",NA,"-15%","-3%","0%",12.1,11,11,2.9,19,8.2,1.5,0,0
"Kris Bryant",2,"3B",5100,"CHC","SF",3.93,"Cueto",0.283,"-8%","R","R",0.377,"-2%",0.223,-7,NA,"3",NA,"1%","-3%","0%",10.6,10.6,10.6,1.4,19.7,7.9,1.5,0,0
"Nolan Arenado",2,"3B",5100,"COL","@PHI",4.53,"Eflin",0.309,"-1%","R","R",0.373,"-1%",0.268,3,NA,"3",NA,"-9%","-4%","0%",9.7,9.8,9.8,1.4,18.1,8.1,1.6,0,0
"J.D. Martinez",NA,"OF",5000,"DET","@HOU",3.4,"McCullers",0.312,"-2%","R","R",0.381,"1%",0.236,0,NA,"5",NA,"1%","0%","0%",13.9,13.9,13.9,-1.4,29.2,7.8,1.6,0,0
"Mookie Betts",2,"OF",5000,"BOS","TEX",5.2,"Cashner",0.3,"-4%","R","R",0.371,"1%",0.198,-1,NA,"1",NA,"4%","-1%","0%",11.3,9.7,9.7,0.2,19.2,10.6,2.1,0,0
"Michael Brantley",NA,"OF",4900,"CLE","@CIN",4.72,"Garrett",NA,"-5%","L","L",0.333,"-8%",0.119,-25,NA,"3",NA,"-2%","-2%","0%",6.9,8.1,8.1,1.7,14.5,7.7,1.6,0,0
"Aaron Judge",1,"OF",4900,"NYY","KC",4.62,"Duffy",0.324,"1%","L","R",0.378,"4%",0.289,10,NA,"5",NA,"0%","-3%","0%",9.8,11.8,11.8,1.5,22.2,8,1.6,0,0
"A.J. Pollock",1,"OF",4900,"ARI","CWS",6.27,"Covey",NA,"-1%","R","R",0.364,"0%",0.169,-7,NA,"x",NA,"0%","0%","0%",6.9,9.6,9.6,1.8,17.4,0,0,0,0
"Jose Altuve",1,"2B",4900,"HOU","DET",5.1,"Zimmermann",0.302,"-4%","R","R",0.351,"-3%",0.141,-5,NA,"3",NA,"0%","0%","0%",10.8,9.8,9.8,1.5,18,8.7,1.8,0,0
"Josh Donaldson",0,"3B",4800,"TOR","@MIL",4.21,"Nelson",0.31,"-2%","R","R",0.375,"-4%",0.228,-9,NA,"x",NA,"0%","0%","0%",9.4,9.4,9.4,2.7,16.1,0,0,0,0
"Ryan Braun",NA,"OF",4800,"MIL","TOR",4.29,"Biagini",0.276,"-8%","R","R",0.352,"-4%",0.206,-5,NA,"3",NA,"0%","0%","-1%",7.5,10.2,10.2,2,18.3,7.4,1.5,0,0
"Michael Conforto",2,"OF",4800,"NYM","SD",4.22,"Chacin",0.333,"3%","R","L",0.373,"6%",0.259,11,NA,"1",NA,"-2%","-3%","3%",12.9,11.5,11.5,1.1,22,8.7,1.8,0,0
"Nomar Mazara",1,"OF",4800,"TEX","@BOS",3.8,"Porcello",0.317,"-1%","R","L",0.34,"7%",0.189,21,NA,"3",NA,"6%","-1%","0%",11,8.5,8.5,0.7,16.3,8,1.7,0,0
"Jose Abreu",2,"1B",4800,"CWS","@ARI",4.73,"Corbin",0.354,"7%","L","R",0.372,"0%",0.221,4,NA,"3",NA,"6%","6%","0%",10.3,8.1,8.1,0.4,15.8,10.1,2.1,0,0
"Anthony Rizzo",1,"1B",4800,"CHC","SF",3.93,"Cueto",0.272,"-10%","R","L",0.387,"3%",0.253,11,NA,"4",NA,"-3%","-3%","0%",7.7,8.5,8.5,1.2,15.9,7.8,1.6,0,0
"Eric Thames",1,"1B",4800,"MIL","TOR",4.29,"Biagini",0.286,"-6%","R","L",0.427,"5%",0.323,15,NA,"2",NA,"9%","0%","-2%",9.9,11.8,11.8,2.4,21.2,9.5,2,0,0
