Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Charlie Blackmon,1,OF,5600,COL,@PIT,4.26,Taillon,0.303,-3%,R,L,0.388,5%,0.239,18,,1,,-10%,2%,0%,13.5,11.6,11.6,3.1,20.1,8.4,1.5,0.0,0.0
Aaron Judge,,OF,5500,NYY,@LAA,4.45,Meyer,0.316,-1%,R,R,0.405,3%,0.304,13,,3,,-6%,-4%,0%,15.7,12.3,12.3,1.8,22.8,7.8,1.4,0.0,0.0
Bryce Harper,2,OF,5400,WAS,ATL,5.43,Foltynewicz,0.364,10%,R,L,0.421,7%,0.289,17,,3,,-2%,3%,0%,6.8,11.1,11.1,0.9,21.3,11.0,2.0,0.0,0.0
Trea Turner,2,SS,5300,WAS,ATL,5.43,Foltynewicz,0.330,2%,R,R,0.372,6%,0.221,17,,1,,-1%,2%,0%,12.1,10.1,10.1,0.4,19.8,10.6,2.0,0.0,0.0
Joey Votto,1,1B,5200,CIN,@SD,4.12,Perdomo,0.368,10%,R,L,0.424,3%,0.248,5,,3,,-6%,-3%,0%,12.4,10.5,10.5,3.1,17.9,9.0,1.7,0.0,0.0
Ryan Zimmerman,,1B,5100,WAS,ATL,5.43,Foltynewicz,0.330,2%,R,R,0.316,-7%,0.185,-12,,4,,0%,3%,0%,12.7,11.1,11.1,2.3,19.8,8.2,1.6,0.0,0.0
Nelson Cruz,,OF,5100,SEA,@MIN,4.85,Mejia,0.364,6%,L,R,0.414,6%,0.285,10,,2,,9%,3%,-3%,9.4,9.0,9.0,1.2,16.8,10.8,2.1,0.0,0.0
Andrew Benintendi,2,OF,5100,BOS,PHI,6.19,Eickhoff,0.351,7%,R,L,0.347,4%,0.192,16,,5,,5%,3%,5%,8.5,8.5,8.5,-0.2,17.2,10.7,2.1,0.0,0.0
Gary Sanchez,1,C,5000,NYY,@LAA,4.45,Meyer,0.316,-1%,R,R,0.423,5%,0.307,8,,6,,-6%,-4%,0%,15.1,10.2,10.2,0.2,20.2,7.3,1.5,0.0,0.0
Mark Reynolds,1,1B,4900,COL,@PIT,4.26,Taillon,0.309,-3%,R,R,0.364,8%,0.207,13,,4,,-19%,2%,0%,11.6,10.0,10.0,1.0,19.0,6.8,1.4,0.0,0.0
George Springer,1,OF,4900,HOU,TEX,4.35,Darvish,0.286,-7%,R,R,0.334,-7%,0.167,-18,,1,,0%,4%,5%,15.8,9.8,9.8,0.8,18.9,8.5,1.7,0.0,0.0
Nolan Arenado,,3B,4800,COL,@PIT,4.26,Taillon,0.309,-3%,R,R,0.380,0%,0.289,6,,3,,-20%,2%,0%,11.2,9.5,9.5,1.4,17.6,7.2,1.5,0.0,0.0
Brett Gardner,,OF,4800,NYY,@LAA,4.45,Meyer,,1%,R,L,0.337,3%,0.151,8,,1,,-11%,-3%,0%,8.8,10.1,10.1,1.5,18.8,7.1,1.5,0.0,0.0
Michael Conforto,1,OF,4800,NYM,CHC,4.45,Lackey,0.321,0%,R,L,0.372,5%,0.255,8,,1,,-2%,3%,5%,7.5,10.6,10.6,0.9,20.3,9.3,1.9,0.0,0.0
Cameron Maybin,,OF,4800,LAA,NYY,4.05,Tanaka,0.300,-4%,R,R,0.326,2%,0.103,-4,,x,,0%,0%,0%,17.1,9.4,9.4,0.2,18.6,0.0,0.0,0.0,0.0
Jose Altuve,,2B,4700,HOU,TEX,4.35,Darvish,0.286,-7%,R,R,0.364,-2%,0.169,2,,3,,0%,3%,5%,9.2,9.7,9.7,1.7,17.7,8.6,1.8,0.0,0.0
Matt Holliday,,1B,4700,NYY,@LAA,4.45,Meyer,0.316,-1%,R,R,0.355,-3%,0.192,-3,,4,,-6%,-4%,0%,12.4,9.6,9.6,1.2,18.0,6.9,1.5,0.0,0.0
Daniel Murphy,2,2B,4700,WAS,ATL,5.43,Foltynewicz,0.364,10%,R,L,0.384,8%,0.224,25,,5,,-1%,3%,0%,9.0,9.6,9.6,1.1,18.1,9.4,2.0,0.0,0.0
Zack Cozart,,SS,4700,CIN,@SD,4.12,Perdomo,0.343,5%,R,R,0.337,1%,0.186,-1,,2,,-4%,-3%,0%,9.3,9.8,9.8,1.2,18.4,7.3,1.6,0.0,0.0
Jay Bruce,2,1B/OF,4700,NYM,CHC,4.45,Lackey,0.321,0%,R,L,0.350,8%,0.271,18,,4,,-2%,3%,6%,10.0,9.1,9.1,-0.4,18.6,8.8,1.9,0.0,0.0
Carlos Correa,,SS,4700,HOU,TEX,4.35,Darvish,0.286,-7%,R,R,0.365,2%,0.202,0,,4,,0%,3%,5%,10.1,9.2,9.2,1.7,16.6,8.4,1.8,0.0,0.0
Freddie Freeman,,1B,4600,ATL,@WAS,3.57,Strasburg,0.267,-12%,R,L,0.414,8%,0.287,27,,x,,0%,0%,0%,12.1,12.5,12.5,2.5,22.6,0.0,0.0,0.0,0.0
Mookie Betts,1,OF,4600,BOS,PHI,6.19,Eickhoff,0.266,-12%,R,R,0.367,1%,0.198,0,,1,,4%,3%,5%,6.7,9.2,9.2,0.5,17.9,11.7,2.5,0.0,0.0
Starlin Castro,,2B,4600,NYY,@LAA,4.45,Meyer,0.316,-1%,R,R,0.316,1%,0.158,11,,5,,-5%,-4%,0%,13.7,9.2,9.2,1.7,16.7,6.3,1.4,0.0,0.0
Miguel Sano,,3B,4600,MIN,SEA,5.15,Gallardo,0.338,4%,R,R,0.369,0%,0.250,-1,,4,,2%,3%,-3%,9.3,10.0,10.0,1.4,18.6,9.4,2.0,0.0,0.0
Neil Walker,1,2B,4600,NYM,CHC,4.45,Lackey,0.321,0%,R,S,0.338,2%,0.181,13,,5,,-3%,3%,5%,9.1,8.1,8.1,0.5,15.8,8.0,1.7,0.0,0.0
Jonathan Schoop,1,2B,4600,BAL,@CWS,5.17,Pelfrey,0.322,0%,R,R,0.348,8%,0.217,15,,2,,0%,4%,0%,11.2,7.8,7.8,1.6,14.0,9.6,2.1,0.0,0.0
Aaron Hicks,,OF,4600,NYY,@LAA,4.45,Meyer,,1%,R,S,0.322,0%,0.150,-5,,2,,-11%,-3%,0%,12.9,10.6,10.6,1.2,20.1,7.0,1.5,0.0,0.0
Xander Bogaerts,1,SS,4600,BOS,PHI,6.19,Eickhoff,0.266,-12%,R,R,0.337,-3%,0.127,-3,,3,,4%,3%,5%,6.7,8.6,8.6,1.9,15.3,9.3,2.0,0.0,0.0
Marwin Gonzalez,,1B/OF,4600,HOU,TEX,4.35,Darvish,0.300,-4%,R,S,0.325,-1%,0.166,-2,,7,,0%,3%,5%,10.4,9.6,9.6,1.2,18.0,7.0,1.5,0.0,0.0
Starling Marte,,OF,4600,PIT,COL,4.74,Freeland,0.320,1%,L,R,0.346,-1%,0.143,-4,,x,,0%,0%,0%,8.2,7.8,7.8,-1.9,17.4,0.0,0.0,0.0,0.0
Andrew McCutchen,2,OF,4600,PIT,COL,4.74,Freeland,0.320,1%,L,R,0.406,12%,0.234,22,,6,,-3%,2%,0%,11.9,7.8,7.8,0.4,15.2,8.7,1.9,0.0,0.0
Anthony Rizzo,,1B,4600,CHC,@NYM,4.05,deGrom,0.293,-6%,R,L,0.386,3%,0.251,11,,3,,0%,3%,6%,10.1,9.1,9.1,1.2,17.0,9.7,2.1,0.0,0.0
Kris Bryant,1,3B,4500,CHC,@NYM,4.05,deGrom,0.271,-11%,R,R,0.376,-2%,0.230,-6,,2,,-8%,3%,5%,8.4,9.5,9.5,1.2,17.8,8.3,1.8,0.0,0.0
Elvis Andrus,,SS,4500,TEX,@HOU,4.15,Musgrove,0.337,3%,R,R,0.314,-3%,0.115,0,,2,,-2%,3%,5%,13.6,9.2,9.2,1.2,17.2,8.3,1.8,0.0,0.0
Adam Duvall,,OF,4500,CIN,@SD,4.12,Perdomo,0.343,5%,R,R,0.336,0%,0.261,5,,4,,-5%,-4%,0%,8.5,9.5,9.5,0.7,18.3,7.5,1.7,0.0,0.0
Avisail Garcia,2,OF,4500,CWS,BAL,4.83,Miley,0.343,5%,L,R,0.343,7%,0.162,11,,5,,0%,3%,0%,9.1,8.9,8.9,-0.3,18.2,8.3,1.8,0.0,0.0
Mitch Moreland,3,1B,4500,BOS,PHI,6.19,Eickhoff,0.351,7%,R,L,0.341,4%,0.213,11,,4,,3%,4%,5%,9.0,7.9,7.9,1.0,14.7,10.3,2.3,0.0,0.0
Jean Segura,,SS,4500,SEA,@MIN,4.85,Mejia,0.364,6%,L,R,0.315,-4%,0.124,-5,,x,,0%,0%,0%,7.2,9.2,9.2,2.1,16.4,0.0,0.0,0.0,0.0
Anthony Rendon,,3B,4500,WAS,ATL,5.43,Foltynewicz,0.330,2%,R,R,0.334,-4%,0.167,1,,6,,0%,3%,0%,8.4,9.1,9.1,-2.3,20.5,7.9,1.8,0.0,0.0
Adam Frazier,,OF,4500,PIT,COL,4.74,Freeland,,-5%,L,L,0.363,-5%,0.019,-29,,x,,0%,0%,0%,7.1,9.4,9.4,0.8,17.9,0.0,0.0,0.0,0.0
Mike Trout,,OF,4500,LAA,NYY,4.05,Tanaka,0.300,-4%,R,R,0.424,1%,0.288,6,,x,,0%,0%,0%,12.1,12.5,12.5,5.4,19.6,0.0,0.0,0.0,0.0
Yoenis Cespedes,,OF,4400,NYM,CHC,4.45,Lackey,0.278,-9%,R,R,0.371,2%,0.255,2,,3,,-4%,3%,6%,10.0,10.6,10.6,-2.3,23.5,8.3,1.9,0.0,0.0
Todd Frazier,1,3B,4400,CWS,BAL,4.83,Miley,0.343,5%,L,R,0.346,4%,0.253,10,,4,,1%,3%,0%,10.1,7.7,7.7,0.5,14.9,8.9,2.0,0.0,0.0
Brian McCann,1,C,4400,HOU,TEX,4.35,Darvish,0.300,-4%,R,L,0.331,0%,0.194,2,,6,,1%,4%,6%,10.2,8.7,8.7,0.9,16.5,7.2,1.6,0.0,0.0
Hunter Renfroe,,OF,4300,SD,CIN,4.38,Arroyo,0.383,7%,R,R,0.297,-5%,0.234,5,,4,,-2%,-4%,0%,7.1,7.0,7.0,-0.4,14.5,7.1,1.7,0.0,0.0
Eugenio Suarez,,3B,4300,CIN,@SD,4.12,Perdomo,0.343,5%,R,R,0.319,-3%,0.158,-6,,x,,0%,0%,0%,8.5,8.8,8.8,0.9,16.6,0.0,0.0,0.0,0.0
Didi Gregorius,,SS,4300,NYY,@LAA,4.45,Meyer,,1%,R,L,0.312,2%,0.156,19,,7,,-11%,-3%,0%,9.9,8.3,8.3,1.5,15.1,5.8,1.3,0.0,0.0
Robinson Cano,,2B,4300,SEA,@MIN,4.85,Mejia,,-3%,L,L,0.325,-7%,0.141,-22,,3,,2%,3%,-3%,6.9,8.7,8.7,0.2,17.1,8.3,1.9,0.0,0.0
Chris Davis,2,1B,4300,BAL,@CWS,5.17,Pelfrey,0.362,9%,R,L,0.374,6%,0.302,16,,5,,-4%,3%,0%,7.7,7.6,7.6,-0.8,16.0,9.6,2.2,0.0,0.0
Brian Dozier,2,2B,4300,MIN,SEA,5.15,Gallardo,0.338,4%,R,R,0.335,-4%,0.224,-3,,1,,2%,3%,-3%,8.0,8.8,8.8,2.3,15.3,9.7,2.3,0.0,0.0
Nomar Mazara,2,OF,4300,TEX,@HOU,4.15,Musgrove,0.337,4%,R,L,0.346,6%,0.190,19,,3,,0%,4%,6%,9.4,8.4,8.4,1.0,15.9,9.2,2.1,0.0,0.0
Ian Desmond,,1B/OF,4200,COL,@PIT,4.26,Taillon,0.309,-3%,R,R,0.304,-4%,0.145,-5,,5,,-17%,2%,0%,9.0,7.4,7.4,0.2,14.5,6.3,1.5,0.0,0.0
Manny Machado,,3B,4200,BAL,@CWS,5.17,Pelfrey,0.322,0%,R,R,0.360,2%,0.236,11,,x,,0%,0%,0%,6.2,7.6,7.6,0.1,15.2,0.0,0.0,0.0,0.0
Josh Harrison,1,2B/3B,4200,PIT,COL,4.74,Freeland,0.320,1%,L,R,0.365,11%,0.155,25,,2,,-2%,2%,0%,9.6,7.8,7.8,1.6,14.1,8.5,2.0,0.0,0.0
David Dahl,,OF,4100,COL,@PIT,4.26,Taillon,0.303,-3%,R,L,0.380,5%,0.218,15,,x,,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Abreu,2,1B,4100,CWS,BAL,4.83,Miley,0.343,5%,L,R,0.382,5%,0.222,10,,3,,0%,3%,0%,4.9,8.0,8.0,0.4,15.6,9.6,2.3,0.0,0.0
