Player Name,Likes,Inj,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Anthony Rizzo,11,,1B,4900,CHC,@STL,3.68,Martinez,0.332,3%,R,L,0.393,3%,0.26,12,3,3,0,-1%,-6%,0%,0,0,0,0,0,9.3,1.9,0,0
Kris Bryant,5,,3B/OF,4800,CHC,@STL,3.68,Martinez,0.263,-12%,R,R,0.38,-1%,0.227,-5,2,2,0,-3%,-6%,0%,0,0,0,0,0,7.7,1.6,0,0
Paul Goldschmidt,4,,1B,4600,ARI,SF,3.84,Bumgarner,0.284,-8%,L,R,0.444,11%,0.252,9,3,3,0,3%,0%,0%,0,0,0,0,0,9.6,2.1,0,0
Gary Sanchez,5,,C,4500,NYY,@TB,3.61,Archer,0.297,-5%,R,R,0.448,7%,0.349,15,2,2,0,-7%,0%,0%,0,0,0,0,0,8.5,1.9,0,0
Buster Posey,8,,1B/C,4400,SF,@ARI,4.66,Greinke,0.273,-10%,R,R,0.351,-2%,0.146,-9,4,3,0,11%,0%,0%,0,0,0,0,0,8.1,1.8,0,0
Hunter Pence,5,,OF,4300,SF,@ARI,4.66,Greinke,0.273,-10%,R,R,0.348,-1%,0.172,-8,3,4,0,11%,0%,0%,0,0,0,0,0,8,1.9,0,0
Kyle Schwarber,12,,C/OF,4300,CHC,@STL,3.68,Martinez,0.332,3%,R,L,0.4,8%,0.272,18,1,1,0,0%,-7%,0%,0,0,0,0,0,9.7,2.3,0,0
Brandon Belt,9,,1B,4200,SF,@ARI,4.66,Greinke,0.287,-7%,R,L,0.361,1%,0.203,3,2,2,0,14%,0%,0%,0,0,0,0,0,9,2.1,0,0
Dexter Fowler,3,,OF,4100,STL,CHC,3.32,Lester,0.279,-9%,L,S,0.382,9%,0.147,-2,1,1,0,-1%,-4%,0%,0,0,0,0,0,7.3,1.8,0,0
Eduardo Nunez,5,,3B/SS,4100,SF,@ARI,4.66,Greinke,0.273,-10%,R,R,0.329,5%,0.131,-8,6,6,0,10%,0%,0%,0,0,0,0,0,8,2,0,0
Matt Carpenter,1,,1B/3B,4000,STL,CHC,3.32,Lester,0.283,-8%,L,L,0.34,-6%,0.162,-13,3,3,0,-1%,-5%,0%,0,0,0,0,0,6.3,1.6,0,0
Evan Longoria,1,,3B,4000,TB,NYY,3.39,Tanaka,0.284,-8%,R,R,0.323,-4%,0.185,-5,3,3,0,-4%,0%,0%,0,0,0,0,0,6.6,1.6,0,0
Ben Zobrist,6,,2B/OF,4000,CHC,@STL,3.68,Martinez,0.332,3%,R,S,0.334,-2%,0.154,5,4,4,0,-1%,-5%,0%,0,0,0,0,0,7.3,1.8,0,0
Denard Span,9,,OF,4000,SF,@ARI,4.66,Greinke,0.287,-7%,R,L,0.352,9%,0.135,23,1,1,0,10%,0%,0%,0,0,0,0,0,8.8,2.2,0,0
Chris Carter,1,,1B,3900,NYY,@TB,3.61,Archer,0.297,-5%,R,R,0.333,-2%,0.257,1,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Joe Panik,5,,2B,3900,SF,@ARI,4.66,Greinke,0.287,-7%,R,L,0.33,1%,0.137,11,8,7,0,11%,0%,0%,0,0,0,0,0,6.8,1.7,0,0
Aledmys Diaz,1,,SS,3800,STL,CHC,3.32,Lester,0.279,-9%,L,R,0.312,-1%,0.145,-2,2,2,0,0%,-6%,0%,0,0,0,0,0,6.7,1.8,0,0
A.J. Pollock,4,,OF,3800,ARI,SF,3.84,Bumgarner,0.284,-8%,L,R,0.366,1%,0.208,11,1,1,0,3%,0%,0%,0,0,0,0,0,8.4,2.2,0,0
Stephen Piscotty,4,,OF,3800,STL,CHC,3.32,Lester,0.279,-9%,L,R,0.397,8%,0.235,17,6,4,0,0%,-6%,0%,0,0,0,0,0,6.5,1.7,0,0
Matt Holliday,1,,1B/OF,3800,NYY,@TB,3.61,Archer,0.297,-5%,R,R,0.339,-3%,0.153,-10,4,4,0,-6%,0%,0%,0,0,0,0,0,7,1.8,0,0
Jake Lamb,,,3B,3700,ARI,SF,3.84,Bumgarner,0.229,-20%,L,L,0.256,-13%,0.141,-24,4,4,0,5%,0%,0%,0,0,0,0,0,5.6,1.5,0,0
Brandon Crawford,12,,SS,3700,SF,@ARI,4.66,Greinke,0.287,-7%,R,L,0.318,1%,0.179,11,5,5,0,13%,0%,0%,0,0,0,0,0,7.6,2.1,0,0
Brett Gardner,5,,OF,3700,NYY,@TB,3.61,Archer,0.295,-5%,R,L,0.331,2%,0.152,9,1,1,0,-2%,0%,0%,0,0,0,0,0,7.6,2.1,0,0
Javier Baez,,,2B/3B,3700,CHC,@STL,3.68,Martinez,0.263,-12%,R,R,0.277,-6%,0.137,-8,9,x,0,-1%,-6%,0%,0,0,0,0,0,0,0,0,0
Mallex Smith,,,OF,3700,TB,NYY,3.39,Tanaka,0.284,-8%,R,L,0.353,5%,0.158,7,8,8,0,0%,0%,0%,0,0,0,0,0,6.6,1.8,0,0
Brad Miller,7,,SS,3600,TB,NYY,3.39,Tanaka,0.284,-8%,R,L,0.335,6%,0.208,18,4,4,0,0%,0%,0%,0,0,0,0,0,7.3,2,0,0
Jacoby Ellsbury,3,,OF,3600,NYY,@TB,3.61,Archer,0.295,-5%,R,L,0.312,1%,0.122,9,5,5,0,-2%,0%,0%,0,0,0,0,0,6.9,1.9,0,0
Randal Grichuk,1,,OF,3600,STL,CHC,3.32,Lester,0.279,-9%,L,R,0.337,1%,0.24,3,8,7,0,-1%,-7%,0%,0,0,0,0,0,5.8,1.6,0,0
Yasmany Tomas,3,,OF,3500,ARI,SF,3.84,Bumgarner,0.284,-8%,L,R,0.405,14%,0.267,25,5,5,0,3%,0%,0%,0,0,0,0,0,8,2.3,0,0
Addison Russell,2,,2B/SS,3500,CHC,@STL,3.68,Martinez,0.263,-12%,R,R,0.315,1%,0.153,-7,5,5,0,-1%,-6%,0%,0,0,0,0,0,6.1,1.7,0,0
Steven Souza,,,OF,3500,TB,NYY,3.39,Tanaka,0.284,-8%,R,R,0.309,-1%,0.165,-4,5,5,0,-3%,0%,0%,0,0,0,0,0,6.1,1.7,0,0
David Peralta,1,,OF,3500,ARI,SF,3.84,Bumgarner,0.229,-20%,L,L,0.275,-13%,0.119,-28,7,7,0,5%,0%,0%,0,0,0,0,0,5.1,1.5,0,0
Aaron Judge,,,OF,3500,NYY,@TB,3.61,Archer,0.297,-5%,R,R,0.291,-2%,0.203,5,8,8,0,-7%,0%,0%,0,0,0,0,0,6.2,1.8,0,0
Wilson Ramos,,,C,3400,TB,NYY,3.39,Tanaka,0.284,-8%,R,R,0.303,-3%,0.14,-6,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Kevin Kiermaier,7,,OF,3400,TB,NYY,3.39,Tanaka,0.284,-8%,R,L,0.332,4%,0.182,9,2,2,0,0%,0%,0%,0,0,0,0,0,7.5,2.2,0,0
Didi Gregorius,2,,SS,3400,NYY,@TB,3.61,Archer,0.295,-5%,R,L,0.308,2%,0.151,15,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Willson Contreras,2,,C/OF,3400,CHC,@STL,3.68,Martinez,0.263,-12%,R,R,0.362,1%,0.213,7,7,7,0,0%,-5%,0%,0,0,0,0,0,6,1.8,0,0
Jedd Gyorko,,,2B/3B,3400,STL,CHC,3.32,Lester,0.279,-9%,L,R,0.333,8%,0.179,-2,7,x,0,-1%,-7%,0%,0,0,0,0,0,0,0,0,0
Jarrett Parker,3,,OF,3400,SF,@ARI,4.66,Greinke,0.287,-7%,R,L,0.405,7%,0.238,13,7,8,0,14%,0%,0%,0,0,0,0,0,7.7,2.3,0,0
Chris Owings,,,OF/SS,3300,ARI,SF,3.84,Bumgarner,0.284,-8%,L,R,0.289,2%,0.139,12,2,2,0,5%,0%,0%,0,0,0,0,0,7.2,2.2,0,0
Starlin Castro,3,,2B/SS,3300,NYY,@TB,3.61,Archer,0.297,-5%,R,R,0.314,1%,0.146,6,6,6,0,-5%,0%,0%,0,0,0,0,0,6.2,1.9,0,0
Yadier Molina,4,,C,3300,STL,CHC,3.32,Lester,0.279,-9%,L,R,0.328,2%,0.118,10,5,5,0,0%,-5%,0%,0,0,0,0,0,5.8,1.8,0,0
Nick Hundley,1,,C,3300,SF,@ARI,4.66,Greinke,0.273,-10%,R,R,0.317,1%,0.161,6,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Brandon Drury,1,,2B/OF,3300,ARI,SF,3.84,Bumgarner,0.284,-8%,L,R,0.345,4%,0.219,14,6,6,0,3%,0%,0%,0,0,0,0,0,6.4,1.9,0,0
Corey Dickerson,10,,OF,3300,TB,NYY,3.39,Tanaka,0.284,-8%,R,L,0.378,6%,0.272,17,1,1,0,0%,0%,0%,0,0,0,0,0,7.6,2.3,0,0
Colby Rasmus,,,OF,3300,TB,NYY,3.39,Tanaka,0.284,-8%,R,L,0.319,1%,0.213,6,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Logan Morrison,2,,1B,3200,TB,NYY,3.39,Tanaka,0.284,-8%,R,L,0.318,4%,0.185,18,6,6,0,0%,0%,0%,0,0,0,0,0,6.6,2.1,0,0
Matt Duffy,,,2B/3B,3200,TB,NYY,3.39,Tanaka,0.284,-8%,R,R,0.317,1%,0.125,9,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Jason Heyward,6,,OF,3200,CHC,@STL,3.68,Martinez,0.332,3%,R,L,0.337,5%,0.133,9,6,6,0,0%,-5%,0%,0,0,0,0,0,7.4,2.3,0,0
Mac Williamson,,,OF,3200,SF,@ARI,4.66,Greinke,0.273,-10%,R,R,0.313,-1%,0.143,0,x,x,-,0%,0%,0%,0,0,0,0,0,0,0,0,0
Greg Bird,6,,1B,3200,NYY,@TB,3.61,Archer,0.295,-5%,R,L,0.387,5%,0.304,19,3,3,0,-4%,0%,0%,0,0,0,0,0,8.2,2.6,0,0
