"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Madison Bumgarner",1,"SP",12600,"SF","CHC","49%",3.79,NA,NA,NA,4.74,"26.7%",3.26,3.36,"L",0.239,0.274,"1%","0%","0%",18.5,19.5,19.5,14.3,24.7,19.3,1.5,0,0
"Gio Gonzalez",NA,"SP",11500,"WAS","MIA","61%",3.93,NA,NA,NA,4.69,"22.4%",4.04,3.87,"L",0.27,0.315,"0%","0%","0%",20.9,19.8,19.8,11.8,27.9,17.1,1.5,0,0
"Zack Greinke",NA,"SP",11000,"ARI","LAD","47%",4.4,NA,NA,NA,5.13,"23.7%",3.53,3.44,"R",0.273,0.264,"-3%","-5%","0%",21.4,22.9,22.9,12.1,33.7,16.5,1.5,0,0
"Justin Verlander",1,"SP",10500,"DET","PIT","55%",4.26,NA,NA,NA,4.24,"24.7%",3.88,4.13,"R",0.287,0.292,"0%","-1%","0%",23.7,15.8,15.8,3.9,27.6,19.1,1.8,0,0
"Kevin Gausman",1,"SP",9900,"BAL","@LAA","53%",4.61,NA,NA,NA,4.26,"22.1%",4.01,3.97,"R",0.312,0.349,"4%","-1%","0%",22.7,12,12,-2,25.9,16.2,1.6,0,0
"Alex Wood",NA,"SP",9700,"LAD","@ARI","53%",4.1,NA,NA,NA,4.99,"21.6%",3.77,3.51,"L",0.273,0.302,"-8%","-5%","0%",17.5,21.6,21.6,11.2,32,15.3,1.6,0,0
"Masahiro Tanaka",1,"SP",9400,"NYY","@TOR","57%",4.11,NA,NA,NA,4.27,"22.5%",3.58,3.48,"R",0.294,0.295,"-2%","-1%","0%",22,16.6,16.6,1.6,31.6,18.2,1.9,0,0
"Collin McHugh",1,"SP",8800,"HOU","@CWS","65%",4.13,NA,NA,NA,4.27,"21.2%",3.98,4.03,"R",0.301,0.328,"0%","-1%","0%",16,16,16,7.5,24.6,15,1.7,0,0
"Trevor Bauer",NA,"SP",8700,"CLE","COL","61%",4.19,NA,NA,NA,5.29,"22.6%",4.18,4.09,"R",0.319,0.318,"-3%","-2%","-1%",15.1,15.3,15.3,3.6,27,14.1,1.6,0,0
"Kyle Hendricks",NA,"SP",8600,"CHC","@SF","51%",3.71,NA,NA,NA,4,"22.2%",3.67,3.52,"R",0.298,0.259,"1%","-1%","0%",10,14,14,7.8,20.2,14.9,1.7,0,0
