"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Charlie Blackmon",NA,"OF",5600,"COL","@PHI",4.34,"Velasquez",0.332,"3%","R","L",0.372,"3%",0.208,11,NA,"1",NA,"-15%","-1%","2%",14.9,11.4,11.4,2.9,19.9,8.4,1.5,0,0
"Mike Trout",NA,"OF",5500,"LAA","@TB",4.02,"Andriese",0.315,"-1%","R","R",0.416,"0%",0.282,5,NA,"2",NA,"-4%","0%","0%",16.3,12.8,12.8,5.6,20,10.5,1.9,0,0
"Bryce Harper",NA,"OF",5500,"WAS","SEA",5.16,"Miranda",NA,"-6%","L","L",0.355,"-9%",0.181,-22,NA,"3",NA,"-2%","-1%","0%",8.1,12.3,12.3,1.4,23.1,8.7,1.6,0,0
"Paul Goldschmidt",NA,"1B",5500,"ARI","@MIL",4.55,"Davies",0.328,"2%","R","R",0.391,"-3%",0.23,-2,NA,"3",NA,"-3%","-5%","0%",14,11.8,11.8,3.5,20.2,9.1,1.7,0,0
"Jake Lamb",1,"3B",5300,"ARI","@MIL",4.55,"Davies",0.32,"0%","R","L",0.352,"6%",0.213,8,NA,"4",NA,"12%","-6%","0%",15.7,10.7,10.7,2.5,18.9,9,1.7,0,0
"Joey Votto",NA,"1B",5200,"CIN","@CLE",3.99,"Clevinger",0.241,"-3%","R","L",0.412,"2%",0.224,3,NA,"3",NA,"6%","-4%","-1%",10.6,10.4,10.4,3,17.8,8.8,1.7,0,0
"Kris Bryant",NA,"3B",5100,"CHC","SF",NA,"Samardzija",0.283,"-8%","R","R",0.377,"-2%",0.223,-7,NA,"3",NA,"1%","-2%","0%",10.8,10.3,10.3,1.2,19.3,8.6,1.7,0,0
"Michael Conforto",NA,"OF",5100,"NYM","SD",4.44,"Lamet",NA,"1%","R","L",0.373,"6%",0.259,11,NA,"1",NA,"-2%","-3%","0%",15.9,12.4,12.4,1.3,23.4,8.4,1.6,0,0
"A.J. Pollock",NA,"OF",5000,"ARI","@MIL",4.55,"Davies",0.328,"2%","R","R",0.364,"0%",0.169,-7,NA,"x",NA,"0%","0%","0%",6.9,9.6,9.6,1.8,17.4,0,0,0,0
"Nolan Arenado",NA,"3B",5000,"COL","@PHI",4.34,"Velasquez",0.324,"1%","R","R",0.373,"-1%",0.268,3,NA,"3",NA,"-9%","-1%","2%",10.5,9.6,9.6,1.3,17.8,8.5,1.7,0,0
"Anthony Rizzo",NA,"1B",4900,"CHC","SF",NA,"Samardzija",0.336,"4%","R","L",0.387,"3%",0.253,11,NA,"4",NA,"-3%","-2%","0%",12.1,9.3,9.3,1.1,17.4,9.3,1.9,0,0
