"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Cardinals  (0000000)","Cardinals ",0,3900,"LA@Ari 00:00PM ET","Ari","Cardinals","","LA",11.28,9.4
"DST","Seahawks  (0000000)","Seahawks ",0,3800,"Sea@NYJ 00:00PM ET","Sea","Seahawks","","NYJ",10.13,8.7
"DST","Broncos  (0000000)","Broncos ",0,3700,"Den@TB 00:00PM ET","Den","Broncos","","TB",9.96,9.5
"DST","Vikings  (0000000)","Vikings ",0,3600,"NYG@Min 00:00PM ET","Min","Vikings","","NYG",12.16,7.7
"DST","Redskins  (0000000)","Redskins ",0,3500,"Cle@Was 00:00PM ET","Was","Redskins","","Cle",9.48,7.8
"DST","Panthers  (0000000)","Panthers ",0,3400,"Car@Atl 00:00PM ET","Car","Panthers","","Atl",8.54,10.1
"DST","Patriots  (0000000)","Patriots ",0,3300,"Buf@NE 00:00PM ET","NE","Patriots","","Buf",9.07,8.4
"DST","Bengals  (0000000)","Bengals ",0,3200,"Mia@Cin 00:00PM ET","Cin","Bengals","","Mia",9.06,9.1
"DST","Texans  (0000000)","Texans ",0,3200,"Ten@Hou 00:00PM ET","Hou","Texans","","Ten",10.22,8.4
"DST","Lions  (0000000)","Lions ",0,3100,"Det@Chi 00:00PM ET","Det","Lions","","Chi",8.23,7.7
"DST","Chiefs  (0000000)","Chiefs ",0,3000,"KC@Pit 00:00PM ET","KC","Chiefs","","Pit",6.68,8.1
"DST","Cowboys  (0000000)","Cowboys ",0,2900,"Dal@SF 00:00PM ET","Dal","Cowboys","","SF",8.15,5.6
"DST","Giants  (0000000)","Giants ",0,2900,"NYG@Min 00:00PM ET","NYG","Giants","","Min",8.14,7.4
"DST","Jets  (0000000)","Jets ",0,2800,"Sea@NYJ 00:00PM ET","NYJ","Jets","","Sea",6.9,7.9
"DST","Steelers  (0000000)","Steelers ",0,2800,"KC@Pit 00:00PM ET","Pit","Steelers","","KC",7.13,7.9
"DST","Raiders  (0000000)","Raiders ",0,2700,"Oak@Bal 00:00PM ET","Oak","Raiders","","Bal",5.16,7.5
"DST","Rams  (0000000)","Rams ",0,2700,"LA@Ari 00:00PM ET","LA","Rams","","Ari",5.15,6.6
"DST","Dolphins  (0000000)","Dolphins ",0,2700,"Mia@Cin 00:00PM ET","Mia","Dolphins","","Cin",6.33,4.5
"DST","Bills  (0000000)","Bills ",0,2600,"Buf@NE 00:00PM ET","Buf","Bills","","NE",6.48,6.6
"DST","Buccaneers  (0000000)","Buccaneers ",0,2600,"Den@TB 00:00PM ET","TB","Buccaneers","","Den",6.85,7
"DST","49ers  (0000000)","49ers ",0,2600,"Dal@SF 00:00PM ET","SF","49ers","","Dal",7.28,4.6
"DST","Browns  (0000000)","Browns ",0,2500,"Cle@Was 00:00PM ET","Cle","Browns","","Was",5.55,5.1
"DST","Bears  (0000000)","Bears ",0,2500,"Det@Chi 00:00PM ET","Chi","Bears","","Det",6.72,5
"DST","Jaguars  (0000000)","Jaguars ",0,2400,"Ind@Jax 00:00PM ET","Jax","Jaguars","","Ind",6.74,6.5
"DST","Titans  (0000000)","Titans ",0,2400,"Ten@Hou 00:00PM ET","Ten","Titans","","Hou",6.4,6.3
"DST","Falcons  (0000000)","Falcons ",0,2400,"Car@Atl 00:00PM ET","Atl","Falcons","","Car",5.88,4.9
"DST","Ravens  (0000000)","Ravens ",0,2400,"Oak@Bal 00:00PM ET","Bal","Ravens","","Oak",8.38,6.8
"DST","Chargers  (0000000)","Chargers ",0,2300,"NO@SD 00:00PM ET","SD","Chargers","","NO",5.76,5.9
"DST","Colts  (0000000)","Colts ",0,2200,"Ind@Jax 00:00PM ET","Ind","Colts","","Jax",5.43,7
"DST","Saints  (0000000)","Saints ",0,2000,"NO@SD 00:00PM ET","NO","Saints","","SD",4.4,5.8
