"Name","Salary","Team","Position","OppTeam","Projections"
"Bartolo Colon",6500,"ATL","SP","HOU",11.39
"Charlie Morton",7600,"HOU","SP","ATL",18.22
"Mike Pelfrey",4400,"CHW","SP","MIN",5.6
"Hector Santiago",6800,"MIN","SP","CHW",16.61
"Drew Pomeranz",8100,"BOS","SP","MIL",19.44
"Wily Peralta",5900,"MIL","SP","BOS",11.33
"John Lackey",7000,"CHC","SP","COL",12.45
"Kyle Freeland",5400,"COL","SP","CHC",8.14
"Ivan Nova",8200,"PIT","SP","LAD",16.33
"Julio Urias",8000,"LAD","SP","PIT",16.68
"Jharel Cotton",7800,"OAK","SP","LAA",17.46
"Alex Meyer",4800,"LAA","SP","OAK",9.21
"Justin Verlander",10000,"DET","SP","ARI",18.45
"Robbie Ray",9200,"ARI","SP","DET",16.79
"Dan Straily",7500,"MIA","SP","STL",16.42
"Adam Wainwright",7200,"STL","SP","MIA",13.45
"Ubaldo Jimenez",6200,"BAL","SP","WAS",9.99
"Carlos Carrasco",10600,"CLE","SP","TOR",25.13
"Max Scherzer",11800,"WAS","SP","BAL",27.81
"Jerad Eickhoff",7400,"PHI","SP","SEA",17.96
"Jered Weaver",5800,"SDP","SP","TEX",10.97
"Ariel Miranda",6900,"SEA","SP","PHI",18.9
"Michael Bolsinger",5400,"TOR","SP","CLE",11.6
"Chris Young",4500,"KCR","SP","TBR",11.11
"CC Sabathia",6400,"NYY","SP","CIN",13.76
"Tim Adleman",5500,"CIN","SP","NYY",13.89
"Zack Wheeler",7700,"NYM","SP","SFG",15.38
"Jeff Samardzija",9400,"SFG","SP","NYM",17.98
"Matt Andriese",7900,"TBR","SP","KCR",17.24
"A.J. Griffin",8000,"TEX","SP","SDP",16.32
