"Name","Salary","Team","Position","OppTeam","Projections"
"Matt Moore",8200,"SFG","SP","STL",17.58
"Michael Wacha",7800,"STL","SP","SFG",18.52
"Hector Santiago",6600,"MIN","SP","KCR",16.45
"Nate Karns",8000,"KCR","SP","MIN",18.32
"Trevor Bauer",7500,"CLE","SP","HOU",17.6
"Charlie Morton",8700,"HOU","SP","CLE",19.49
"Chris Sale",13000,"BOS","SP","OAK",28.69
"Kendall Graveman",6200,"OAK","SP","BOS",11.98
"Justin Nicolino",4600,"MIA","SP","LAD",13.23
"Alex Wood",9400,"LAD","SP","MIA",23.27
"Ariel Miranda",6700,"SEA","SP","CHW",17.3
"Jose Quintana",9700,"CHW","SP","SEA",20.56
"Taijuan Walker",8400,"ARI","SP","SDP",16.07
"Jered Weaver",5200,"SDP","SP","ARI",11.25
"R.A. Dickey",5900,"ATL","SP","WAS",11.43
"Gio Gonzalez",8600,"WAS","SP","ATL",21.59
"Trevor Williams",5000,"PIT","RP","PHI",16.46
"Luis Severino",8800,"NYY","SP","TBR",21.88
"Jeremy Hellickson",7100,"PHI","SP","PIT",16.28
"Chris Tillman",8300,"BAL","SP","TOR",19.25
"Paolo Espino",0,"MIL","SP","CHC",7.48
"Aaron Sanchez",7600,"TOR","SP","BAL",18.38
"Erasmo Ramirez",4300,"TBR","SP","NYY",16.13
"Ricky Nolasco",7400,"LAA","SP","NYM",14.06
"Tyler Anderson",6900,"COL","SP","CIN",15.73
"Lisalverto Bonilla",5100,"CIN","SP","COL",10.98
"Daniel Norris",7000,"DET","SP","TEX",17.22
"Nick Martinez",4800,"TEX","SP","DET",9.83
"Jacob deGrom",11100,"NYM","SP","LAA",24.59
"Eddie Butler",5600,"CHC","SP","MIL",16.2
