"Name","Salary","Team","Position","OppTeam","Projections"
"Jose Altuve",5100,"HOU","2B","BAL",10.02
"Josh Reddick",4000,"HOU","OF","BAL",6.91
"George Springer",4000,"HOU","OF","BAL",9.69
"Carlos Beltran",3300,"HOU","OF","BAL",6.89
"Evan Gattis",3600,"HOU","C","BAL",6.87
"Marwin Gonzalez",3800,"HOU","3B/OF","BAL",6.47
"Yulieski Gurriel",3000,"HOU","1B","BAL",6.54
"Carlos Correa",5000,"HOU","SS","BAL",9.63
"Hyun-Soo Kim",3200,"BAL","OF","HOU",5.06
"Welington Castillo",3600,"BAL","C","HOU",4.83
"Chris Davis",3800,"BAL","1B","HOU",6.43
"Michael Martinez",2400,"TBR","2B/3B","MIN",5.29
"Mark Trumbo",3900,"BAL","OF","HOU",5.99
"Jonathan Schoop",3400,"BAL","2B","HOU",5.52
"Seth Smith",3400,"BAL","OF","HOU",6.24
"Manny Machado",4200,"BAL","3B","HOU",7.29
"Norichika Aoki",3000,"HOU","OF","BAL",5.3
"Joey Rickard",3400,"BAL","OF","HOU",5.18
"Aledmys Diaz",4500,"STL","SS","COL",9
"Tony Wolters",3300,"COL","C","STL",6.37
"Ian Desmond",4600,"COL","1B/OF","STL",9.06
"Jhonny Peralta",3800,"STL","3B","COL",7.24
"Jedd Gyorko",4700,"STL","3B","COL",10.18
"Randal Grichuk",4700,"STL","OF","COL",8.27
"Matt Carpenter",4800,"STL","1B","COL",9.89
"Patrick Valaika",3800,"COL","SS","STL",6.74
"Mark Reynolds",4900,"COL","1B","STL",8.23
"Gerardo Parra",4100,"COL","OF","STL",8.16
"Paul Janish",2600,"BAL","3B/SS","HOU",4.6
"Charlie Blackmon",5600,"COL","OF","STL",11.06
"DJ LeMahieu",4500,"COL","2B","STL",7.77
"Carlos Gonzalez",4900,"COL","OF","STL",8.93
"Nolan Arenado",5300,"COL","3B","STL",10.6
"Jesus Sucre",2800,"TBR","C","MIN",5.34
"Steve Souza",4100,"TBR","OF","MIN",7.7
"Domingo Santana",3600,"MIL","OF","ARI",7.56
"Jonathan Villar",4500,"MIL","2B","ARI",7.96
"Travis Shaw",3800,"MIL","3B","ARI",6.26
"Hernan Perez",3400,"MIL","3B/OF","ARI",6.58
"Keon Broxton",3900,"MIL","OF","ARI",5.98
"Manuel Pina",3200,"MIL","C","ARI",5.53
"Orlando Arcia",3300,"MIL","SS","ARI",4.52
"Gregor Blanco",3200,"ARI","OF","MIL",6.7
"Daniel Descalso",2800,"ARI","3B/OF","MIL",5.38
"David Peralta",4600,"ARI","OF","MIL",8.2
"Willy Garcia",2900,"CHW","OF","DET",4.87
"Alex Presley",0,"DET","OF","CHW",5.15
"Jake Lamb",5200,"ARI","3B","MIL",9.96
"Brandon Drury",4100,"ARI","2B","MIL",6.5
"Nick Ahmed",3500,"ARI","SS","MIL",5.99
"Chris Herrmann",3700,"ARI","C/OF","MIL",6.21
"Jesus Aguilar",3300,"MIL","1B","ARI",6.07
"Chris Iannetta",2900,"ARI","C","MIL",4.99
"Corey Dickerson",4600,"TBR","OF","MIN",8.51
"Colby Rasmus",3500,"TBR","OF","MIN",6.36
"Kennys Vargas",3500,"MIN","1B","TBR",7.14
"Kevin Kiermaier",3500,"TBR","OF","MIN",6.69
"Evan Longoria",3700,"TBR","3B","MIN",7.77
"Tim Beckham",2800,"TBR","SS","MIN",6.07
"Logan Morrison",4200,"TBR","1B","MIN",7.34
"Byron Buxton",3300,"MIN","OF","TBR",5.54
"Eduardo Escobar",2900,"MIN","3B/SS","TBR",5.39
"Max Kepler",4200,"MIN","OF","TBR",7.74
"Brian Dozier",4500,"MIN","2B","TBR",8.82
"Joe Mauer",3600,"MIN","1B","TBR",5.67
"Jason Castro",2800,"MIN","C","TBR",5.66
"Eddie Rosario",2800,"MIN","OF","TBR",5.49
"Jorge Polanco",3300,"MIN","SS","TBR",5.93
"Kolten Wong",4200,"STL","2B","COL",8.02
"Yadier Molina",4000,"STL","C","COL",7.82
"Franklin Gutierrez",3200,"LAD","OF","CHC",6.24
"Enrique Hernandez",2900,"LAD","OF/SS","CHC",6.89
"Logan Forsythe",3700,"LAD","2B/3B","CHC",6.54
"Austin Barnes",2900,"LAD","C","CHC",5.68
"Michael Conforto",5300,"NYM","OF","PIT",9.36
"Neil Walker",3800,"NYM","2B","PIT",7.85
