"Name","Salary","Team","Position","OppTeam","Projections"
"Chris Davis",4100,"BAL","1B","KCR",7.94
"Adam Jones",4000,"BAL","OF","KCR",7.62
"J.J. Hardy",2800,"BAL","SS","KCR",5.31
"Caleb Joseph",2700,"BAL","C","KCR",4.82
"Mark Trumbo",4300,"BAL","OF","KCR",7.49
"Seth Smith",3700,"BAL","OF","KCR",6.97
"Manny Machado",4800,"BAL","3B","KCR",9.05
"Jonathan Schoop",3600,"BAL","2B","KCR",5.94
"Matthew Szczur",3100,"SDP","OF","CHW",5.59
"Carlos Sanchez",2700,"CHW","2B/3B","SDP",5.38
"Ryan Schimpf",3800,"SDP","3B","CHW",7.28
"Yangervis Solarte",3500,"SDP","2B","CHW",7.6
"Wil Myers",4500,"SDP","1B","CHW",8.97
"Hunter Renfroe",3100,"SDP","OF","CHW",6.97
"Austin Hedges",3000,"SDP","C","CHW",6.31
"Cory Spangenberg",3400,"SDP","3B/OF","CHW",6.69
"Erick Aybar",3000,"SDP","SS","CHW",5.31
"Trey Mancini",3700,"BAL","1B/OF","KCR",6.33
"Alex Gordon",3100,"KCR","OF","BAL",5.86
"Ryon Healy",3900,"OAK","1B/3B","TEX",7.6
"Jorge Soler",3500,"KCR","OF","BAL",4.49
"Ryan Flaherty",2600,"BAL","3B/SS","KCR",4.91
"Matt Joyce",3000,"OAK","OF","TEX",6.42
"Jed Lowrie",3700,"OAK","2B","TEX",6.76
"Adam Rosales",3000,"OAK","SS","TEX",5.51
"Trevor Plouffe",3900,"OAK","3B","TEX",6.11
"Khris Davis",4400,"OAK","OF","TEX",9.04
"Brandon Moss",3400,"KCR","OF","BAL",5.98
"Jorge Bonifacio",3100,"KCR","OF","BAL",4.92
"Salvador Perez",3600,"KCR","C","BAL",6.8
"Eric Hosmer",3900,"KCR","1B","BAL",6.94
"Lorenzo Cain",4100,"KCR","OF","BAL",6.89
"Cheslor Cuthbert",3200,"KCR","3B","BAL",4.89
"Alcides Escobar",3000,"KCR","SS","BAL",5.56
"Mike Moustakas",3500,"KCR","3B","BAL",7.31
"Whit Merrifield",3400,"KCR","2B/OF","BAL",5.85
"Manuel Margot",3600,"SDP","OF","CHW",7.41
"Matt Davidson",3400,"CHW","3B","SDP",5.81
"Jonathan Villar",4300,"MIL","2B","NYM",8.41
"Travis Shaw",4100,"MIL","3B","NYM",7.95
"J.T. Riddle",2400,"MIA","SS","ATL",5.02
"Eric Thames",4800,"MIL","1B","NYM",10.08
"Domingo Santana",4000,"MIL","OF","NYM",6.27
"Jett Bandy",3200,"MIL","C","NYM",5.6
"Keon Broxton",4300,"MIL","OF","NYM",5.95
"Hernan Perez",3800,"MIL","OF/SS","NYM",6.37
"Ichiro Suzuki",2700,"MIA","OF","ATL",4.35
"Steve Lombardozzi",2500,"MIA","2B/OF","ATL",5.2
"Christian Yelich",4100,"MIA","OF","ATL",7.22
"J.T. Realmuto",3500,"MIA","C","ATL",5.87
"Dee Gordon",4100,"MIA","2B","ATL",6.77
"Giancarlo Stanton",4700,"MIA","OF","ATL",6.94
"Justin Bour",3300,"MIA","1B","ATL",5.86
"Derek Dietrich",3000,"MIA","3B","ATL",6.61
"Marcell Ozuna",4000,"MIA","OF","ATL",6.41
"Orlando Arcia",3300,"MIL","SS","NYM",4.68
"Michael Conforto",4600,"NYM","OF","MIL",9
"Cody Asche",2700,"CHW","1B","SDP",4.91
"Todd Frazier",4000,"CHW","3B","SDP",7.41
"Jose Abreu",4700,"CHW","1B","SDP",7.21
"Melky Cabrera",3900,"CHW","OF","SDP",6.85
"Leury Garcia",3100,"CHW","OF","SDP",5.12
"Tyler Saladino",3400,"CHW","2B","SDP",5.81
"Omar Narvaez",2700,"CHW","C","SDP",4.79
"Avisail Garcia",3900,"CHW","OF","SDP",6.98
"Jose Reyes",4000,"NYM","3B/SS","MIL",6.07
"Neil Walker",4200,"NYM","2B","MIL",7.32
"Curtis Granderson",3900,"NYM","OF","MIL",6.6
"Asdrubal Cabrera",4300,"NYM","SS","MIL",7.63
"T.J. Rivera",3700,"NYM","1B/3B","MIL",6.01
"Jay Bruce",4800,"NYM","1B/OF","MIL",9.18
"Rene Rivera",2700,"NYM","C","MIL",5.58
"Lucas Duda",4000,"NYM","1B","MIL",6.17
"Yonder Alonso",4400,"OAK","1B","TEX",8.7
"Rajai Davis",4400,"OAK","OF","TEX",6.93
"Enrique Hernandez",3800,"LAD","OF/SS","COL",8.55
"Franklin Gutierrez",4600,"LAD","OF","COL",8.92
