"Name","Salary","Team","Position","OppTeam","Projections"
"Marco Estrada",9600,TOR,SP,NYY,20.4
"CC Sabathia",7200,NYY,SP,TOR,14.14
"Wade Miley",6500,BAL,SP,BOS,13.19
"Zack Greinke",12700,ARI,SP,MIA,23.86
"Jeff Locke",4700,MIA,SP,ARI,8.64
"Alex Meyer",6900,LAA,SP,MIN,14.72
"Adalberto Mejia",6600,MIN,SP,LAA,14.32
"Eduardo Rodriguez",8900,BOS,SP,BAL,20.22
"Yovani Gallardo",5900,SEA,SP,COL,12.13
"Chase Anderson",7600,MIL,SP,NYM,16.43
"Corey Kluber",11100,CLE,SP,OAK,26.06
"Zack Wheeler",8300,NYM,SP,MIL,17.3
"Brandon McCarthy",9000,LAD,SP,STL,19
"Kyle Freeland",7300,COL,SP,SEA,17.34
"Adam Wainwright",8400,STL,SP,LAD,16.84
"Jharel Cotton",6300,OAK,SP,CLE,12.89
