Name,Salary,Team,Position,OppTeam,Projections
Justin Verlander,10200,DET,SP,CHW,24.41
Jose Quintana,8500,CHW,SP,DET,17.15
Jhoulys Chacin,5300,SDP,SP,LAD,10.25
Clayton Kershaw,12800,LAD,SP,SDP,33.93
Ervin Santana,7100,MIN,SP,KCR,14.47
Corey Kluber,10100,CLE,SP,TEX,22.75
Yu Darvish,9000,TEX,SP,CLE,23.75
Ricky Nolasco,7000,LAA,SP,OAK,12.78
Kendall Graveman,5600,OAK,SP,LAA,13.34
Dallas Keuchel,8700,HOU,SP,SEA,19.2
Felix Hernandez,8200,SEA,SP,HOU,19.41
Danny Duffy,8600,KCR,SP,MIN,20.52
Scott Feldman,5300,CIN,SP,PHI,16.59
Gerrit Cole,7400,PIT,SP,BOS,13.48
Noah Syndergaard,11600,NYM,SP,ATL,28.04
Julio Teheran,8300,ATL,SP,NYM,18.93
Stephen Strasburg,9900,WAS,SP,MIA,25.21
Rick Porcello,8800,BOS,SP,PIT,22.92
Junior Guerra,6400,MIL,SP,COL,16.58
Jeremy Hellickson,6700,PHI,SP,CIN,15.62
Kevin Gausman,6600,BAL,SP,TOR,15.42
Marco Estrada,7000,TOR,SP,BAL,18.93
Jon Gray,7800,COL,SP,MIL,19.6
Edinson Volquez,6500,MIA,SP,WAS,10.11
