"Name","Salary","Team","Position","OppTeam","Projections"
"Lance McCullers",11500,"HOU","SP","SEA",23.59
"Jordan Zimmermann",5500,"DET","SP","KCR",11.08
"Ariel Miranda",5000,"SEA","SP","HOU",12.64
"Adalberto Mejia",6700,"MIN","SP","NYY",13.63
"Bryan Mitchell",4400,"NYY","SP","MIN",9.31
"Jason Vargas",8800,"KCR","SP","DET",17.42
"Luis Perdomo",4900,"SDP","SP","COL",9.58
"Josh Tomlin",8000,"CLE","SP","SFG",13.36
"Matt Moore",5300,"SFG","SP","CLE",10.08
"Daniel Gossett",5400,"OAK","SP","TBR",11.83
"Jake Odorizzi",7400,"TBR","SP","OAK",16.35
"German Marquez",7600,"COL","SP","SDP",12.67
"Julio Teheran",8400,"ATL","SP","CHC",15.89
"Jon Lester",9800,"CHC","SP","ATL",18.34
"Andrew Cashner",6100,"TEX","SP","BAL",13.89
"Chris Tillman",5100,"BAL","SP","TEX",8.96
"Chad Kuhl",5600,"PIT","SP","MIL",13.1
"Brent Suter",6200,"MIL","SP","PIT",13.6
"Scott Feldman",6600,"CIN","SP","WAS",14.15
"Marcus Stroman",8900,"TOR","SP","BOS",16.88
"Eduardo Rodriguez",8200,"BOS","SP","TOR",18.34
"Tom Koehler",5900,"MIA","SP","PHI",13.4
"Jerad Eickhoff",6400,"PHI","SP","MIA",11.84
"Zack Wheeler",6900,"NYM","SP","STL",15.76
"Adam Wainwright",9100,"STL","SP","NYM",16.33
"Stephen Strasburg",11900,"WAS","SP","CIN",24.11
