"Name","Salary","Team","Position","OppTeam","Projections"
"Chris Sale",13300,"BOS","SP","TBR",32.51
"Jacob Faria",8300,"TBR","SP","BOS",17.64
"Josh Tomlin",6400,"CLE","SP","SDP",14.08
"Dinelson Lamet",7100,"SDP","SP","CLE",17.02
"Francisco Liriano",5400,"TOR","SP","HOU",14.2
"Dylan Bundy",6300,"BAL","SP","MIN",14.91
"Jose Berrios",9600,"MIN","SP","BAL",22.93
"Rich Hill",10200,"LAD","SP","ARI",19.62
"Robbie Ray",10500,"ARI","SP","LAD",20
"Sam Gaviglio",6100,"SEA","SP","OAK",15.62
"Paul Blackburn",4700,"OAK","SP","SEA",12.5
"Lance McCullers",11000,"HOU","SP","TOR",23.26
"Gio Gonzalez",11300,"WAS","SP","ATL",23.19
"Zach Davies",8800,"MIL","SP","CHC",13.03
"Michael Wacha",10700,"STL","SP","MIA",18.32
"Tom Koehler",5000,"MIA","SP","STL",10.43
"Anibal Sanchez",6500,"DET","SP","SFG",13.63
"Mike Montgomery",7800,"CHC","SP","MIL",17.04
"Salvatore Romano",4200,"CIN","SP","COL",7.26
"Michael Foltynewicz",7200,"ATL","SP","WAS",13.16
"Jeremy Hellickson",6200,"PHI","SP","PIT",14.18
"Chad Kuhl",6700,"PIT","SP","PHI",12.54
"Tyler Chatwood",6900,"COL","SP","CIN",13.03
"Johnny Cueto",10400,"SFG","SP","DET",16.11
