"Name","Salary","Team","Position","OppTeam","Projections"
"Jed Lowrie",2700,"OAK","2B","HOU",5.73
"Stephen Vogt",3100,"OAK","C","HOU",6.02
"Khris Davis",3800,"OAK","OF","HOU",8.16
"Trevor Plouffe",3400,"OAK","3B","HOU",5.56
"Yonder Alonso",2800,"OAK","1B","HOU",5.85
"Yulieski Gurriel",3100,"HOU","1B","OAK",4.67
"Marcus Semien",3300,"OAK","SS","HOU",4.95
"Ryon Healy",3300,"OAK","1B/3B","HOU",6.59
"Matt Joyce",2400,"OAK","OF","HOU",5.84
"Brandon Crawford",3200,"SFG","SS","COL",6.98
"Nick Hundley",2900,"SFG","C","COL",5.45
"Hunter Pence",3700,"SFG","OF","COL",7.36
"Eduardo Nunez",3600,"SFG","3B/SS","COL",6
"Conor Gillaspie",2400,"SFG","3B","COL",5.3
"Rajai Davis",3600,"OAK","OF","HOU",6.97
"Joe Panik",3300,"SFG","2B","COL",5.31
"George Springer",4300,"HOU","OF","OAK",8.72
"Alex Bregman",3800,"HOU","3B","OAK",6.12
"Nomar Mazara",3200,"TEX","OF","SEA",7.63
"Shin-Soo Choo",3600,"TEX","OF","SEA",7.41
"Carlos Gomez",3300,"TEX","OF","SEA",7.45
"Mike Napoli",3300,"TEX","1B","SEA",7.15
"Rougned Odor",3700,"TEX","2B","SEA",7.59
"Joey Gallo",3100,"TEX","3B","SEA",6.18
"Jonathan Lucroy",3700,"TEX","C","SEA",6.6
"Norichika Aoki",3300,"HOU","OF","OAK",3.74
"Marwin Gonzalez",2800,"HOU","1B/OF","OAK",6.01
"Carlos Correa",4600,"HOU","SS","OAK",7.91
"Jose Altuve",4700,"HOU","2B","OAK",9.59
"Carlos Beltran",3600,"HOU","OF","OAK",6.65
"Evan Gattis",3800,"HOU","C","OAK",5.66
"Josh Reddick",3400,"HOU","OF","OAK",6.78
"Brian McCann",3200,"HOU","C","OAK",5.57
"Brandon Belt",3500,"SFG","1B","COL",7.41
"Denard Span",3400,"SFG","OF","COL",6.84
"Francisco Cervelli",3000,"PIT","C","CHC",4.9
"David Freese",3000,"PIT","3B","CHC",5.04
"Gregory Polanco",4200,"PIT","OF","CHC",5.31
"Josh Bell",3100,"PIT","1B","CHC",5.28
"Jordy Mercer",3000,"PIT","SS","CHC",5.06
"Kyle Schwarber",4100,"CHC","OF","PIT",8.36
"Josh Harrison",3500,"PIT","2B/3B","CHC",5.1
"Andrew McCutchen",4300,"PIT","OF","CHC",6.95
"Starling Marte",4400,"PIT","OF","CHC",7.33
"Danny Espinosa",3000,"LAA","2B","KCR",4.45
"Andrelton Simmons",3100,"LAA","SS","KCR",5.61
"Cameron Maybin",3600,"LAA","OF","KCR",5.38
"Carlos Perez",2300,"LAA","C","KCR",4.49
"Jefry Marte",3300,"LAA","1B/3B","KCR",6.07
"Adam Frazier",3000,"PIT","2B/OF","CHC",4.97
"Christian Colon",2600,"KCR","2B/SS","LAA",3.37
"Kris Bryant",4600,"CHC","3B","PIT",8.29
"Anthony Rizzo",4800,"CHC","1B","PIT",9.12
"Trevor Story",4100,"COL","SS","SFG",7.23
"Nolan Arenado",4300,"COL","3B","SFG",8.91
"Carlos Gonzalez",4000,"COL","OF","SFG",8.23
"Raimel Tapia",2200,"COL","OF","SFG",4.17
"Mark Reynolds",3800,"COL","1B","SFG",5.46
"Aaron Hill",2000,"SFG","3B","COL",6.81
"Dustin Garneau",2800,"COL","C","SFG",4.9
"DJ LeMahieu",3700,"COL","2B","SFG",6.34
"Charlie Blackmon",4300,"COL","OF","SFG",9.04
"Addison Russell",3400,"CHC","SS","PIT",3.66
"Ben Zobrist",3900,"CHC","2B/OF","PIT",7.16
"Willson Contreras",3600,"CHC","C","PIT",6.25
"Jason Heyward",3100,"CHC","OF","PIT",4.97
"Miguel Montero",2900,"CHC","C","PIT",4.48
"Javier Baez",3500,"CHC","2B","PIT",6.2
"Elvis Andrus",3300,"TEX","SS","SEA",5.76
"Jurickson Profar",2800,"TEX","2B/3B","SEA",4.98
"Jacob May",2800,"CHW","OF","MIN",4.94
"Omar Narvaez",2600,"CHW","C","MIN",4.68
"Avisail Garcia",3400,"CHW","OF","MIN",5.58
"Danny Santana",3000,"MIN","OF/SS","CHW",5.28
"Brett Gardner",3700,"NYY","OF","STL",6.97
"Gregory Bird",3300,"NYY","1B","STL",6.56
"Austin Romine",2600,"NYY","C","STL",4.42
"Matt Davidson",3100,"CHW","3B","MIN",5.85
"Todd Frazier",4200,"CHW","1B/3B","MIN",7.84
"Robbie Grossman",3600,"MIN","OF","CHW",6.34
"Eddie Rosario",3500,"MIN","OF","CHW",5.56
