Name,Salary,Team,Position,OppTeam,Projections
Patrick Corbin,5000,ARI,SP,SFG,12.44
Johnny Cueto,10200,SFG,SP,ARI,22.06
Adam Wainwright,7300,STL,SP,CHC,13.73
Matt Shoemaker,8400,LAA,SP,OAK,19.53
Sean Manaea,7400,OAK,SP,LAA,16.97
Kenta Maeda,9600,LAD,SP,SDP,20.18
Clayton Richard,5200,SDP,SP,LAD,8.95
Jake Arrieta,10400,CHC,SP,STL,20.98
Lance McCullers,9500,HOU,SP,SEA,19.28
Tyler Anderson,5900,COL,SP,MIL,15.9
Jake Odorizzi,7800,TBR,SP,NYY,16.71
Zach Davies,6500,MIL,SP,COL,15.17
Carlos Carrasco,8800,CLE,SP,TEX,20.7
Hisashi Iwakuma,7700,SEA,SP,HOU,13.84
Martin Perez,5700,TEX,SP,CLE,11.22
CC Sabathia,6900,NYY,SP,TBR,14.39
