"Name","Salary","Team","Position","OppTeam","Projections"
"Jackie Bradley",3700,"BOS","OF","CHW",7.28
"Xander Bogaerts",3700,"BOS","SS","CHW",8.22
"Mitch Moreland",4800,"BOS","1B","CHW",7.85
"Hanley Ramirez",4000,"BOS","1B","CHW",8.18
"Sandy Leon",3300,"BOS","C","CHW",5.39
"Christian Vazquez",4500,"BOS","C","CHW",5.92
"Brock Holt",3200,"BOS","2B/OF","CHW",7.47
"Eduardo Nunez",5000,"BOS","3B/OF","CHW",8.91
"Chris Young",3600,"BOS","OF","CHW",5.87
"Mookie Betts",5300,"BOS","OF","CHW",10.28
"Andrew Benintendi",4600,"BOS","OF","CHW",8.57
"Didi Gregorius",3900,"NYY","SS","CLE",7.19
"Ronald Torreyes",3300,"NYY","3B/SS","CLE",4.85
"Gary Sanchez",5100,"NYY","C","CLE",7.37
"Austin Romine",2500,"NYY","C","CLE",4.57
"Jacoby Ellsbury",3500,"NYY","OF","CLE",6.47
"Tyler Wade",4200,"NYY","SS","CLE",5.13
"Matt Holliday",3400,"NYY","1B","CLE",6.68
"Clint Frazier",4600,"NYY","OF","CLE",6.57
"Rafael Devers",4100,"BOS","3B","CHW",7.6
"Jose Abreu",4400,"CHW","1B","BOS",8.02
"Lorenzo Cain",4900,"KCR","OF","SEA",7.06
"Alex Gordon",2700,"KCR","OF","SEA",5.31
"Melky Cabrera",4000,"KCR","OF","SEA",6.7
"Leury Garcia",4700,"CHW","OF","BOS",5.44
"Eric Hosmer",3700,"KCR","1B","SEA",7.01
"Salvador Perez",3100,"KCR","C","SEA",6.63
"Mike Moustakas",3400,"KCR","3B","SEA",6.7
"Whit Merrifield",3400,"KCR","2B","SEA",6.64
"Alcides Escobar",2500,"KCR","SS","SEA",5.39
"Nick Delmonico",2700,"CHW","3B/OF","BOS",5.59
"Alen Hanson",3800,"CHW","2B/OF","BOS",5.18
"Yolmer Sanchez",2600,"CHW","2B","BOS",5.84
"Matt Davidson",4500,"CHW","1B/3B","BOS",5.85
"Omar Narvaez",2500,"CHW","C","BOS",4.79
"Timothy Anderson",2900,"CHW","SS","BOS",5.93
"Kevan Smith",2500,"CHW","C","BOS",4.93
"Yoan Moncada",3500,"CHW","2B/3B","BOS",6.5
"Tyler Saladino",2900,"CHW","2B/SS","BOS",5.72
"Adam Engel",3000,"CHW","OF","BOS",5.48
"Aaron Judge",4900,"NYY","OF","CLE",9.86
