"Name","Salary","Team","Position","OppTeam","Projections"
"Byron Buxton",3500,"MIN","OF","OAK",4.3
"Eddie Rosario",3500,"MIN","OF","OAK",5.54
"Jorge Polanco",3400,"MIN","SS","OAK",5.73
"Robbie Grossman",3600,"MIN","OF","OAK",6.49
"Jonathan Villar",4300,"MIL","2B","STL",8.34
"Ryan Braun",4800,"MIL","OF","STL",8.6
"Eric Thames",4700,"MIL","1B","STL",9.09
"Jason Castro",2900,"MIN","C","OAK",6
"Kennys Vargas",3600,"MIN","1B","OAK",6.02
"Rajai Davis",3800,"OAK","OF","MIN",7.14
"Adam Rosales",2500,"OAK","2B/SS","MIN",5.53
"Brian Dozier",4700,"MIN","2B","OAK",8.3
"Max Kepler",3800,"MIN","OF","OAK",8.28
"Joe Mauer",3700,"MIN","1B","OAK",5.58
"Miguel Sano",4200,"MIN","3B","OAK",8.8
"Hernan Perez",3400,"MIL","OF/SS","STL",5.88
"Domingo Santana",3300,"MIL","OF","STL",6.09
"Randal Grichuk",3700,"STL","OF","MIL",6.14
"Yadier Molina",3400,"STL","C","MIL",5.9
"Stephen Piscotty",4000,"STL","OF","MIL",8.21
"Kolten Wong",3000,"STL","2B","MIL",5.55
"Cody Asche",2700,"CHW","1B","KCR",4.89
"Timothy Anderson",3700,"CHW","SS","KCR",5.9
"Tyler Saladino",3500,"CHW","2B","KCR",5.62
"Jedd Gyorko",3700,"STL","2B/3B","MIL",7.27
"Matt Carpenter",4200,"STL","1B","MIL",8.45
"Keon Broxton",3700,"MIL","OF","STL",5.45
"Jett Bandy",2600,"MIL","C","STL",5.41
"Orlando Arcia",3300,"MIL","SS","STL",4.87
"Travis Shaw",3800,"MIL","3B","STL",7.13
"Aledmys Diaz",4000,"STL","SS","MIL",7.41
"Dexter Fowler",4300,"STL","OF","MIL",7.1
"Chad Pinder",2300,"OAK","2B","MIN",4.84
"Josh Phegley",3100,"OAK","C","MIN",5.84
"Joey Gallo",3600,"TEX","3B","HOU",6.74
"Elvis Andrus",3800,"TEX","SS","HOU",6.26
"Rougned Odor",4400,"TEX","2B","HOU",6.93
"Shin-Soo Choo",4200,"TEX","OF","HOU",7.23
"Ryan Rua",2800,"TEX","1B/OF","HOU",5.02
"Mike Napoli",4000,"TEX","1B","HOU",6.31
"Jonathan Lucroy",3900,"TEX","C","HOU",5.64
"Carlos Gomez",3900,"TEX","OF","HOU",7.74
"Nomar Mazara",3700,"TEX","OF","HOU",6.02
"Jason Heyward",3500,"CHC","OF","PHI",6.82
"Addison Russell",3400,"CHC","SS","PHI",7.01
"Willson Contreras",3400,"CHC","C","PHI",6
"Javier Baez",3500,"CHC","2B","PHI",5.46
"Delino DeShields",3500,"TEX","OF","HOU",6.62
"Ben Zobrist",3900,"CHC","2B/OF","PHI",6.59
"George Springer",4700,"HOU","OF","TEX",9.44
"Carlos Beltran",3900,"HOU","OF","TEX",6.5
"Jed Lowrie",2900,"OAK","2B","MIN",5.84
"Jaff Decker",2200,"OAK","OF","MIN",4.5
"Norichika Aoki",3500,"HOU","OF","TEX",5.04
"Ryon Healy",3400,"OAK","1B/3B","MIN",6.12
"Khris Davis",4100,"OAK","OF","MIN",8.83
"Trevor Plouffe",3600,"OAK","3B","MIN",6.14
"Stephen Vogt",3300,"OAK","C","MIN",4.88
"Brian McCann",3400,"HOU","C","TEX",6.78
"Josh Reddick",3700,"HOU","OF","TEX",7.32
"Carlos Correa",4800,"HOU","SS","TEX",7.51
"Jose Altuve",5000,"HOU","2B","TEX",9.92
"Evan Gattis",4000,"HOU","C","TEX",6.83
"Alex Bregman",4100,"HOU","3B/SS","TEX",5.67
"Marwin Gonzalez",3000,"HOU","3B/OF","TEX",6
"Yulieski Gurriel",3300,"HOU","1B","TEX",6.19
"Melky Cabrera",4000,"CHW","OF","KCR",6.3
"Todd Frazier",4000,"CHW","3B","KCR",7.12
"Nelson Cruz",4300,"SEA","OF","LAA",8.06
"Robinson Cano",4200,"SEA","2B","LAA",8.58
"Benjamin Gamel",2800,"SEA","OF","LAA",6.12
"Kyle Seager",3900,"SEA","3B","LAA",8.25
"Guillermo Heredia",2700,"SEA","OF","LAA",5.76
"Jarrod Dyson",2900,"SEA","OF","LAA",5.31
"Danny Valencia",3200,"SEA","1B","LAA",5.62
"Jean Segura",4200,"SEA","SS","LAA",6.68
"Mike Zunino",2800,"SEA","C","LAA",5.1
"Jefry Marte",3100,"LAA","1B","SEA",5.59
"Albert Pujols",3700,"LAA","1B","SEA",6.35
"Andrelton Simmons",2800,"LAA","SS","SEA",5.31
"Danny Espinosa",2700,"LAA","2B","SEA",4.84
"Martin Maldonado",2200,"LAA","C","SEA",3.97
"Cameron Maybin",3400,"LAA","OF","SEA",5.31
"Ian Desmond",4300,"COL","OF","SDP",7.3
"Charlie Blackmon",4900,"COL","OF","SDP",8.62
"Yangervis Solarte",3500,"SDP","2B","COL",6.23
"Wil Myers",4600,"SDP","1B","COL",7.97
"Cory Spangenberg",3200,"SDP","2B/3B","COL",5.83
"Ryan Schimpf",3600,"SDP","3B","COL",5.73
"Hunter Renfroe",3300,"SDP","OF","COL",5.59
"Erick Aybar",2600,"SDP","SS","COL",4.43
"Austin Hedges",2700,"SDP","C","COL",5.14
"Manuel Margot",3400,"SDP","OF","COL",5.95
