"Name","Salary","Team","Position","OppTeam","Projections"
"Evan Gattis",3900,"HOU","C","TEX",6.15
"Carlos Beltran",3800,"HOU","OF","TEX",7.03
"Alex Bregman",4000,"HOU","3B/SS","TEX",6.32
"Yulieski Gurriel",3300,"HOU","1B","TEX",5.75
"Marwin Gonzalez",3000,"HOU","3B/OF","TEX",5.59
"Jose Altuve",4900,"HOU","2B","TEX",10.02
"Josh Reddick",3600,"HOU","OF","TEX",7.81
"Cameron Rupp",3100,"PHI","C","CHC",5.78
"Brian McCann",3400,"HOU","C","TEX",6.53
"Carlos Correa",4800,"HOU","SS","TEX",9.8
"George Springer",4600,"HOU","OF","TEX",9.85
"Norichika Aoki",3500,"HOU","OF","TEX",5.52
"Carlos Gomez",3600,"TEX","OF","HOU",6.13
"Jurickson Profar",3000,"TEX","OF","HOU",4.62
"Joey Gallo",3300,"TEX","3B","HOU",5.11
"Delino DeShields",3200,"TEX","OF","HOU",4.91
"Travis Shaw",3400,"MIL","3B","STL",7.85
"Jonathan Villar",4200,"MIL","2B","STL",7.87
"Shin-Soo Choo",3700,"TEX","OF","HOU",5.55
"Jonathan Lucroy",3800,"TEX","C","HOU",4.99
"Elvis Andrus",3800,"TEX","SS","HOU",5.25
"Nomar Mazara",3400,"TEX","OF","HOU",6.49
"Mike Napoli",3600,"TEX","1B","HOU",6.13
"Rougned Odor",3900,"TEX","2B","HOU",6.78
"Michael Saunders",3500,"PHI","OF","CHC",4.61
"Cesar Hernandez",3500,"PHI","2B","CHC",7.59
"Kurt Suzuki",2400,"ATL","C","NYM",5.22
"Jose Reyes",3500,"NYM","3B","ATL",5.47
"Anthony Rizzo",5200,"CHC","1B","PHI",8.63
"Kyle Schwarber",4300,"CHC","OF","PHI",7.85
"Kris Bryant",5000,"CHC","3B","PHI",7.63
"Travis d'Arnaud",2700,"NYM","C","ATL",5.58
"Juan Lagares",2400,"NYM","OF","ATL",4.3
"Curtis Granderson",3500,"NYM","OF","ATL",6.44
"Neil Walker",3300,"NYM","2B","ATL",6.73
"T.J. Rivera",2600,"NYM","2B/3B","ATL",4.81
"Jay Bruce",3300,"NYM","1B/OF","ATL",6.87
"Ben Zobrist",4000,"CHC","2B/OF","PHI",7.3
"Addison Russell",3700,"CHC","SS","PHI",7.21
"Maikel Franco",3800,"PHI","3B","CHC",7.53
"Odubel Herrera",3900,"PHI","OF","CHC",5.35
"Aaron Altherr",3400,"PHI","OF","CHC",6.44
"Tommy Joseph",3700,"PHI","1B","CHC",5.75
"Freddy Galvis",3300,"PHI","SS","CHC",5.46
"Daniel Nava",3100,"PHI","OF","CHC",5
"Albert Almora",3300,"CHC","OF","PHI",4.32
"Willson Contreras",3500,"CHC","C","PHI",6.21
"Jon Jay",3000,"CHC","OF","PHI",5.37
"Jason Heyward",3600,"CHC","OF","PHI",6.17
"Javier Baez",3600,"CHC","2B","PHI",5.23
"Eric Thames",4700,"MIL","1B","STL",9.62
"Domingo Santana",3500,"MIL","OF","STL",7.27
"Chase Utley",3100,"LAD","2B","SFG",5.58
"Brandon Moss",3600,"KCR","OF","CHW",6.12
<<<<<<< Updated upstream
"Corey Seager",4100,"LAD","SS","SFG",8.28
=======
"Corey Seager",4100,"LAD","SS","SFG",9.27
>>>>>>> Stashed changes
"Justin Turner",3900,"LAD","3B","SFG",6.69
"Yasiel Puig",3500,"LAD","OF","SFG",6.52
"Jorge Bonifacio",3100,"KCR","OF","CHW",4.76
"Mike Moustakas",3400,"KCR","3B","CHW",7.36
"Salvador Perez",3400,"KCR","C","CHW",6.75
"Cheslor Cuthbert",3100,"KCR","3B","CHW",4.37
"Alcides Escobar",3300,"KCR","SS","CHW",5.34
"Whit Merrifield",3400,"KCR","2B/OF","CHW",5.83
"Adrian Gonzalez",3700,"LAD","1B","SFG",6.76
"Andrew Toles",2700,"LAD","OF","SFG",5.8
"Kelby Tomlinson",2500,"SFG","2B/SS","LAD",4.31
"Eduardo Nunez",3300,"SFG","3B/SS","LAD",4.79
"Gorkys Hernandez",2300,"SFG","OF","LAD",4.74
"Buster Posey",3600,"SFG","1B/C","LAD",5.97
"Christian Arroyo",2700,"SFG","SS","LAD",4.77
"Nick Hundley",2700,"SFG","C","LAD",3.88
"Hunter Pence",3400,"SFG","OF","LAD",5.35
"Yasmani Grandal",3200,"LAD","C","SFG",6.2
"Cody Bellinger",2900,"LAD","1B","SFG",5.6
"Drew Stubbs",2100,"SFG","OF","LAD",3.68
"Brandon Belt",3300,"SFG","1B","LAD",4.34
"Eric Hosmer",4000,"KCR","1B","CHW",7.64
"Lorenzo Cain",4100,"KCR","OF","CHW",6.96
"Matt Carpenter",4200,"STL","1B","MIL",8.72
"Jedd Gyorko",3800,"STL","2B/3B","MIL",7.3
"Stephen Piscotty",4000,"STL","OF","MIL",7.51
"Randal Grichuk",3400,"STL","OF","MIL",6.26
"Matt Adams",3100,"STL","OF","MIL",4.99
"Dexter Fowler",4300,"STL","OF","MIL",7.2
"Aledmys Diaz",4000,"STL","SS","MIL",7.63
"Hernan Perez",3400,"MIL","OF/SS","STL",5.48
"Keon Broxton",3700,"MIL","OF","STL",4.92
"Jett Bandy",2600,"MIL","C","STL",4.59
"Orlando Arcia",3300,"MIL","SS","STL",4.54
"Kolten Wong",3000,"STL","2B","MIL",5.89
"Yadier Molina",3400,"STL","C","MIL",6.19
"Geovany Soto",2500,"CHW","C","KCR",5.21
"Tyler Saladino",3400,"CHW","2B","KCR",6.26
"Matt Davidson",3500,"CHW","3B","KCR",6.36
"Alex Gordon",3900,"KCR","OF","CHW",6.45
"Leury Garcia",2700,"CHW","OF","KCR",5.3
"Melky Cabrera",3900,"CHW","OF","KCR",7.61
"Timothy Anderson",3600,"CHW","SS","KCR",6.63
"Avisail Garcia",3300,"CHW","OF","KCR",7.32
"Jose Abreu",4300,"CHW","1B","KCR",7.92
"Todd Frazier",4400,"CHW","3B","KCR",8.26
"Asdrubal Cabrera",3300,"NYM","SS","ATL",6.73
"Michael Conforto",3200,"NYM","OF","ATL",6.01
<<<<<<< Updated upstream
"Jordy Mercer",3300,"PIT","SS","CIN",6.31
"Josh Harrison",3900,"PIT","2B/3B","CIN",6.47
"Gift Ngoepe",2600,"PIT","SS","CIN",4.97
"Scooter Gennett",3600,"CIN","2B/OF","PIT",5.4
"Carlos Santana",4000,"CLE","1B/OF","DET",8.39
"Francisco Cervelli",3300,"PIT","C","CIN",5.79
"Josh Bell",3400,"PIT","1B","CIN",6.31
"Tucker Barnhart",2700,"CIN","C","PIT",5.06
"Jose Osuna",3100,"PIT","OF","CIN",5.22
"Gregory Polanco",4600,"PIT","OF","CIN",5.6
"Andrew McCutchen",4700,"PIT","OF","CIN",8.12
=======
"Josh Harrison",3900,"PIT","2B/3B","CIN",6.47
"Francisco Cervelli",3300,"PIT","C","CIN",5.79
"Jordy Mercer",3300,"PIT","SS","CIN",6.31
"Gift Ngoepe",2600,"PIT","SS","CIN",4.97
"Carlos Santana",4000,"CLE","1B/OF","DET",8.39
"Josh Bell",3400,"PIT","1B","CIN",6.31
"Andrew McCutchen",4700,"PIT","OF","CIN",8.12
"Scott Schebler",3600,"CIN","OF","PIT",6.72
"Tucker Barnhart",2700,"CIN","C","PIT",5.06
"Jose Osuna",3100,"PIT","OF","CIN",5.22
"Gregory Polanco",4600,"PIT","OF","CIN",5.6
>>>>>>> Stashed changes
"Francisco Lindor",4300,"CLE","SS","DET",9.3
"Michael Brantley",4100,"CLE","OF","DET",5.99
"James McCann",2700,"DET","C","CLE",5.1
"Abraham Almonte",3000,"CLE","OF","DET",5.63
"Ian Kinsler",4200,"DET","2B","CLE",7.23
"Nick Castellanos",3600,"DET","3B","CLE",7.02
"Victor Martinez",3500,"DET","1B","CLE",6.91
"Brandon Guyer",2900,"CLE","OF","DET",5.92
"Jason Kipnis",4100,"CLE","2B","DET",5.45
"Edwin Encarnacion",4100,"CLE","1B","DET",9.39
"Jose Ramirez",4300,"CLE","2B/3B","DET",8.51
"Austin Jackson",2700,"CLE","OF","DET",5.84
"Yan Gomes",2700,"CLE","C","DET",5.67
<<<<<<< Updated upstream
"Scott Schebler",3600,"CIN","OF","PIT",6.72
"Zack Cozart",3400,"CIN","SS","PIT",6.18
=======
"Zack Cozart",3400,"CIN","SS","PIT",5.54
"Adam Duvall",4100,"CIN","OF","PIT",7.13
>>>>>>> Stashed changes
"Ronald Torreyes",2500,"NYY","SS","TOR",4.74
"Austin Romine",2600,"NYY","C","TOR",5.07
"Didi Gregorius",3400,"NYY","SS","TOR",5.58
"Devon Travis",3700,"TOR","2B","NYY",5.18
"Kevin Pillar",3400,"TOR","OF","NYY",5.66
"Aaron Judge",3900,"NYY","OF","TOR",7.46
"Gregory Bird",3300,"NYY","1B","TOR",6.27
"Brett Gardner",3700,"NYY","OF","TOR",7.19
"Matt Holliday",3800,"NYY","1B/OF","TOR",6.76
"Starlin Castro",3400,"NYY","2B","TOR",6.76
"Chase Headley",3600,"NYY","3B","TOR",6.53
"Darwin Barney",2600,"TOR","2B/3B","NYY",4.25
"Jose Bautista",4400,"TOR","OF","NYY",6.79
"Billy Hamilton",4000,"CIN","OF","PIT",7.03
"Ryan Goins",2400,"TOR","2B/SS","NYY",4.94
<<<<<<< Updated upstream
"Jose Peraza",3400,"CIN","2B","PIT",5.56
"Joey Votto",4900,"CIN","1B","PIT",9.17
"Adam Duvall",4100,"CIN","OF","PIT",7.13
=======
"Jose Peraza",3400,"CIN","2B","PIT",6.07
"Joey Votto",4900,"CIN","1B","PIT",9.17
"Eugenio Suarez",3500,"CIN","3B","PIT",6.7
>>>>>>> Stashed changes
"Ezequiel Carrera",2900,"TOR","OF","NYY",5.35
"Chris Coghlan",2600,"TOR","3B/OF","NYY",4.92
"Kendrys Morales",3800,"TOR","1B","NYY",6.69
"Russell Martin",3700,"TOR","C","NYY",4.56
"Steve Pearce",3200,"TOR","OF","NYY",4.87
"Justin Smoak",3100,"TOR","1B","NYY",5.54
"Justin Upton",4000,"DET","OF","CLE",7.32
"Tyler Collins",2600,"DET","OF","CLE",6.02
"Dustin Pedroia",4100,"BOS","2B","BAL",6.56
"Mark Trumbo",4300,"BAL","OF","BOS",7.63
