"Name","Salary","Team","Position","OppTeam","Projections"
"Corey Dickerson",3900,"TBR","OF","HOU",7.14
"Leury Garcia",3800,"CHW","OF","TOR",6.17
"Matt Davidson",3500,"CHW","1B/3B","TOR",6.05
"Mallex Smith",3900,"TBR","OF","HOU",5.84
"Evan Longoria",4200,"TBR","3B","HOU",7.07
"Brad Miller",2700,"TBR","2B","HOU",5.99
"Logan Morrison",3400,"TBR","1B","HOU",7.41
"Adeiny Hechavarria",2500,"TBR","SS","HOU",4.56
"Yolmer Sanchez",2600,"CHW","2B","TOR",5.16
"Omar Narvaez",2500,"CHW","C","TOR",4.29
"Tyler Saladino",2600,"CHW","2B/SS","TOR",5.36
"Timothy Anderson",2200,"CHW","SS","TOR",5.2
"Darwin Barney",2400,"TOR","2B/3B","CHW",5.22
"Yoan Moncada",3300,"CHW","2B/3B","TOR",5.69
"Adam Engel",2400,"CHW","OF","TOR",4.68
"Jose Abreu",4600,"CHW","1B","TOR",7.5
"Alen Hanson",3400,"CHW","2B/OF","TOR",4.98
"Derek Fisher",3300,"HOU","OF","TBR",6.14
"Steve Souza",5000,"TBR","OF","HOU",7.25
"Tyler White",2000,"HOU","1B","TBR",4.2
"Evan Gattis",3900,"HOU","C","TBR",5.36
"Yulieski Gurriel",3200,"HOU","1B","TBR",6.59
"Marwin Gonzalez",4300,"HOU","3B/OF","TBR",6.43
"Yoenis Cespedes",4300,"NYM","OF","COL",10.12
"Michael Conforto",5200,"NYM","OF","COL",10.61
"Neil Walker",4500,"NYM","2B","COL",9.41
"Alex Bregman",4100,"HOU","3B","TBR",5.6
"Brian McCann",3400,"HOU","C","TBR",5.7
"Lucas Duda",4600,"TBR","1B","HOU",6.94
"Jesus Sucre",2500,"TBR","C","HOU",4.89
"Wilson Ramos",2900,"TBR","C","HOU",5.46
"Josh Reddick",4300,"HOU","OF","TBR",5.91
"Jake Marisnick",3300,"HOU","OF","TBR",5.03
"Jose Altuve",4900,"HOU","2B","TBR",7.93
"Carlos Beltran",3300,"HOU","OF","TBR",5.98
"Steve Pearce",4300,"TOR","OF","CHW",6.16
"Josh Donaldson",3900,"TOR","3B","CHW",7.98
"David Peralta",2800,"ARI","OF","CHC",5.58
"A.J. Pollock",4100,"ARI","OF","CHC",7.7
"Jeff Mathis",2600,"ARI","C","CHC",3.9
"Paul Goldschmidt",4800,"ARI","1B","CHC",8.42
"Jake Lamb",3600,"ARI","3B","CHC",5.54
"Brandon Drury",2400,"ARI","2B","CHC",5.54
"Chris Iannetta",2900,"ARI","C","CHC",4.87
"Robinson Chirinos",3300,"TEX","C","SEA",5.6
"Adrian Beltre",5000,"TEX","3B","SEA",8.22
"Rougned Odor",5000,"TEX","2B","SEA",8.34
"Nomar Mazara",5000,"TEX","OF","SEA",8.17
"Carlos Gomez",3700,"TEX","OF","SEA",7.23
"Elvis Andrus",4700,"TEX","SS","SEA",7.96
"Joey Gallo",4400,"TEX","1B/3B","SEA",7.12
"Drew Robinson",2500,"TEX","2B/OF","SEA",5.86
"Shin-Soo Choo",4400,"TEX","OF","SEA",8.34
"Daniel Descalso",3500,"ARI","2B/OF","CHC",4.25
"J.D. Martinez",4800,"ARI","OF","CHC",7.5
"Jose Bautista",3800,"TOR","OF","CHW",8.68
"Kevin Pillar",3100,"TOR","OF","CHW",5.83
"Albert Almora",2800,"CHC","OF","ARI",5.83
"Kendrys Morales",4400,"TOR","1B","CHW",8.37
"Justin Smoak",5200,"TOR","1B","CHW",10.26
"Ryan Goins",2800,"TOR","2B/SS","CHW",5.53
"Russell Martin",3900,"TOR","C","CHW",7.23
"Kyle Schwarber",4100,"CHC","OF","ARI",5.43
"Kris Bryant",4400,"CHC","3B","ARI",10.61
"Addison Russell",3400,"CHC","SS","ARI",5.94
"Anthony Rizzo",5000,"CHC","1B","ARI",7.37
"Ben Zobrist",3500,"CHC","2B/OF","ARI",7.1
"Willson Contreras",4300,"CHC","C","ARI",7.79
"Javier Baez",3100,"CHC","2B/SS","ARI",5.94
"Jason Heyward",3300,"CHC","OF","ARI",5.78
"Ian Happ",3700,"CHC","2B/OF","ARI",6.65
"Jay Bruce",5300,"NYM","OF","COL",10.6
"Amed Rosario",3900,"NYM","SS","COL",7.09
"C.J. Cron",2900,"LAA","1B","PHI",4.95
"Andrelton Simmons",4200,"LAA","SS","PHI",5.58
"Yunel Escobar",3300,"LAA","3B","PHI",5.98
"Martin Maldonado",2400,"LAA","C","PHI",4.1
"Ben Revere",2700,"LAA","OF","PHI",4.83
"Luis Valbuena",4000,"LAA","1B/3B","PHI",5.87
"Kaleb Cowart",2000,"LAA","3B","PHI",4.52
"Albert Pujols",3400,"LAA","1B","PHI",5.65
"Mike Trout",4900,"LAA","OF","PHI",8.45
"Andrew Knapp",3200,"PHI","C","LAA",5.67
"Cesar Hernandez",3900,"PHI","2B","LAA",7.26
"Maikel Franco",3100,"PHI","3B","LAA",5.97
"Tommy Joseph",3900,"PHI","1B","LAA",6.46
"Odubel Herrera",3800,"PHI","OF","LAA",7.75
"Shane Robinson",2000,"LAA","OF","PHI",3.73
"Hyun-Soo Kim",2400,"PHI","OF","LAA",5.31
"Brian Dozier",4200,"MIN","2B","SDP",6.52
"Miguel Sano",4000,"MIN","3B","SDP",6.78
"Hunter Renfroe",3600,"SDP","OF","MIN",5.59
"Wil Myers",3300,"SDP","1B","MIN",7.12
"Cory Spangenberg",3800,"SDP","3B/OF","MIN",5.73
"Jose Pirela",3600,"SDP","OF","MIN",5.59
"Austin Hedges",3100,"SDP","C","MIN",4.81
"Manuel Margot",5000,"SDP","OF","MIN",5.85
"Yangervis Solarte",4300,"SDP","2B","MIN",6.81
"Carlos Asuaje",2600,"SDP","2B","MIN",5.59
"Joe Mauer",3700,"MIN","1B","SDP",6.12
"Eddie Rosario",3200,"MIN","OF","SDP",6.04
"Jason Castro",3600,"MIN","C","SDP",5.58
"Zachary Granite",2000,"MIN","OF","SDP",5.44
"Max Kepler",3200,"MIN","OF","SDP",6.23
"Eduardo Escobar",4000,"MIN","3B/SS","SDP",5.97
"Ehire Adrianza",2900,"MIN","2B/SS","SDP",5.1
"Robbie Grossman",3500,"MIN","OF","SDP",6.14
"Freddy Galvis",4000,"PHI","SS","LAA",6.06
"Nick Williams",3400,"PHI","OF","LAA",7.89
"Ryan Hanigan",3100,"COL","C","NYM",6.09
"Trevor Story",4500,"COL","SS","NYM",8.01
"Mark Reynolds",5100,"COL","1B","NYM",9.75
"Jonathan Lucroy",2900,"COL","C","NYM",6.68
"Kelby Tomlinson",2700,"SFG","3B/SS","OAK",5.19
"Buster Posey",3700,"SFG","1B/C","OAK",7.77
"Brandon Belt",3600,"SFG","1B/OF","OAK",5.25
"Gerardo Parra",4900,"COL","OF","NYM",7.87
"Nolan Arenado",5400,"COL","3B","NYM",11.68
"Asdrubal Cabrera",4900,"NYM","2B/SS","COL",8.21
"Travis d'Arnaud",3800,"NYM","C","COL",6.67
"Jose Reyes",4300,"NYM","3B/SS","COL",6.84
"Wilmer Flores",4800,"NYM","1B/3B","COL",6.99
"Carlos Gonzalez",3400,"COL","OF","NYM",6.48
