"Name","Salary","Team","Position","OppTeam","Projections"
"Ryon Healy",3800,"OAK","1B/3B","TEX",6.43
"Matt Joyce",2800,"OAK","OF","TEX",5.95
"Rajai Davis",4100,"OAK","OF","TEX",6.05
"Khris Davis",4300,"OAK","OF","TEX",7.04
"Stephen Vogt",3500,"OAK","1B/C","TEX",6.65
"Trevor Plouffe",3900,"OAK","3B","TEX",5.44
"Jed Lowrie",3100,"OAK","2B","TEX",5.3
"Cheslor Cuthbert",3100,"KCR","3B","HOU",4.2
"Jake Marisnick",2700,"HOU","OF","KCR",5
"Carlos Correa",4700,"HOU","SS","KCR",7.73
"Jose Altuve",4800,"HOU","2B","KCR",8.62
"Alex Bregman",3900,"HOU","3B","KCR",5.91
"Carlos Beltran",3700,"HOU","OF","KCR",6.8
"Evan Gattis",3800,"HOU","C","KCR",6.35
"Josh Reddick",3500,"HOU","OF","KCR",4.41
"Brian McCann",3300,"HOU","C","KCR",4.56
"Yonder Alonso",3200,"OAK","1B","TEX",5.89
"Marcus Semien",3800,"OAK","3B/SS","TEX",5.36
"Carlos Santana",4500,"CLE","1B","ARI",7.39
"Jurickson Profar",3400,"TEX","2B/3B","OAK",5.83
"Elvis Andrus",3900,"TEX","SS","OAK",5.78
"Francisco Lindor",4300,"CLE","SS","ARI",7.47
"Michael Brantley",4600,"CLE","OF","ARI",7.63
"Jose Ramirez",4100,"CLE","3B/OF","ARI",6.77
"Edwin Encarnacion",4600,"CLE","1B","ARI",7.43
"Joey Gallo",3700,"TEX","3B/OF","OAK",6.75
"Jonathan Lucroy",4100,"TEX","C","OAK",7.09
"Carlos Gomez",4000,"TEX","OF","OAK",7.77
"Delino DeShields",3600,"TEX","OF","OAK",4.96
"Shin-Soo Choo",4300,"TEX","OF","OAK",6.44
"Nomar Mazara",3800,"TEX","OF","OAK",8.05
"Rougned Odor",4400,"TEX","2B","OAK",8.22
"Mike Napoli",4000,"TEX","1B","OAK",7.25
"George Springer",4400,"HOU","OF","KCR",7.56
"Yulieski Gurriel",3200,"HOU","3B","KCR",5.59
"Addison Russell",3900,"CHC","2B/SS","MIL",7.4
"Ben Zobrist",4500,"CHC","2B/OF","MIL",8.25
"Anthony Rizzo",5300,"CHC","1B","MIL",7.19
"Willson Contreras",3900,"CHC","C/OF","MIL",6.72
"Javier Baez",4000,"CHC","2B/3B","MIL",5.51
"Jesus Aguilar",3200,"MIL","1B","CHC",4.47
"Jonathan Villar",4500,"MIL","3B/SS","CHC",7.57
"Kris Bryant",5200,"CHC","3B/OF","MIL",9.71
"Kyle Schwarber",4800,"CHC","C/OF","MIL",8.58
"Wilmer Flores",3100,"NYM","2B/3B","MIA",6.6
"Jay Bruce",3400,"NYM","OF","MIA",5.59
"Asdrubal Cabrera",3500,"NYM","SS","MIA",6.45
"Yoenis Cespedes",4200,"NYM","OF","MIA",9.17
"Neil Walker",3400,"NYM","2B","MIA",5.95
"Curtis Granderson",3700,"NYM","OF","MIA",5.52
"Ryan Braun",4900,"MIL","OF","CHC",7.42
"Travis Shaw",3500,"MIL","1B/3B","CHC",5.98
"Eric Hosmer",3700,"KCR","1B","HOU",5.79
"Lorenzo Cain",3800,"KCR","OF","HOU",6.82
"Mike Moustakas",3000,"KCR","3B","HOU",4.99
"Salvador Perez",3200,"KCR","C","HOU",5.82
"Paulo Orlando",3000,"KCR","OF","HOU",5
"Raul Mondesi",2300,"KCR","2B/SS","HOU",4.59
"Alcides Escobar",3100,"KCR","SS","HOU",4.66
"Alex Gordon",3500,"KCR","OF","HOU",4.72
"Marwin Gonzalez",3000,"HOU","1B/3B","KCR",5.6
"Keon Broxton",3900,"MIL","OF","CHC",4.96
"Domingo Santana",3800,"MIL","OF","CHC",5.14
"Jett Bandy",2700,"MIL","C","CHC",4.54
"Orlando Arcia",3400,"MIL","SS","CHC",4.05
"Albert Almora",3500,"CHC","OF","MIL",3.56
"Eric Thames",3800,"MIL","1B/OF","CHC",6.17
"Tyler Naquin",3500,"CLE","OF","ARI",6.13
"Yandy Diaz",2800,"CLE","3B","ARI",5.49
"Jean Segura",4000,"SEA","2B/SS","LAA",7.26
"Erick Aybar",2000,"SDP","SS","SFG",4.9
"Austin Hedges",2700,"SDP","C","SFG",4.77
"Mitch Haniger",3300,"SEA","OF","LAA",6.18
"Robinson Cano",4000,"SEA","2B","LAA",8.67
"Kyle Seager",3700,"SEA","3B","LAA",7.62
"Nelson Cruz",4100,"SEA","OF","LAA",8.2
"Hunter Renfroe",3200,"SDP","OF","SFG",4.95
"Ryan Schimpf",3500,"SDP","2B/3B","SFG",4.85
"Joe Panik",3500,"SFG","2B","SDP",5.75
"Jarrett Parker",3100,"SFG","OF","SDP",5.67
"Travis Jankowski",2900,"SDP","OF","SFG",4.98
