"Name","Salary","Team","Position","OppTeam","Projections"
"Jered Weaver",4200,"SDP","SP","COL",6.1
"Antonio Senzatela",5000,"COL","SP","SDP",8.39
"Dan Straily",7500,"MIA","SP","ATL",15.36
"Bartolo Colon",6600,"ATL","SP","MIA",13.69
"Drew Pomeranz",7300,"BOS","SP","BAL",18.26
"Cole Hamels",10000,"TEX","SP","LAA",19.42
"Tyler Skaggs",7800,"LAA","SP","TEX",16.77
"Jeff Samardzija",8900,"SFG","SP","ARI",17.06
"Robbie Ray",9200,"ARI","SP","SFG",15.7
"Ariel Miranda",6100,"SEA","SP","HOU",15.07
"Joseph Musgrove",7700,"HOU","SP","SEA",15.45
"Dylan Bundy",6800,"BAL","SP","BOS",16.65
"J.A. Happ",8000,"TOR","SP","MIL",18.49
"Matt Harvey",8300,"NYM","SP","PHI",16.7
"Carlos Carrasco",9800,"CLE","SP","CHW",21.55
"James Shields",6400,"CHW","SP","CLE",11.09
"Matt Boyd",6800,"DET","SP","MIN",14.33
"Clay Buchholz",5500,"PHI","SP","NYM",11.63
"William Davis",4700,"CIN","SP","PIT",11.29
"Wily Peralta",5800,"MIL","SP","TOR",12.38
"Gio Gonzalez",8100,"WAS","SP","STL",19.34
"Lance Lynn",6300,"STL","SP","WAS",14.76
"Jameson Taillon",8400,"PIT","SP","CIN",20.63
"Hector Santiago",7300,"MIN","SP","DET",12.08
