"Name","Salary","Team","Position","OppTeam","Projections"
"Josh Reddick",4200,"HOU","OF","KCR",7.94
"Jorge Bonifacio",3700,"KCR","OF","HOU",6.3
"Brandon Moss",3100,"KCR","OF","HOU",5.76
"Yan Gomes",3500,"CLE","C","COL",7.79
"Carlos Santana",4700,"CLE","1B","COL",10.71
"Edwin Encarnacion",4500,"CLE","1B","COL",9.74
"Francisco Lindor",5100,"CLE","SS","COL",10.98
"Alcides Escobar",2000,"KCR","SS","HOU",4.96
"Whit Merrifield",4300,"KCR","2B","HOU",6.72
"Mike Moustakas",4200,"KCR","3B","HOU",7.81
"Brian McCann",3200,"HOU","C","KCR",7.62
"Marwin Gonzalez",4800,"HOU","1B/OF","KCR",8
"Lorenzo Cain",4200,"KCR","OF","HOU",7.26
"Eric Hosmer",3600,"KCR","1B","HOU",7.5
"Alex Gordon",2300,"KCR","OF","HOU",5.38
"Salvador Perez",3000,"KCR","C","HOU",6.35
"Jose Ramirez",4700,"CLE","2B/3B","COL",8.51
"Jason Kipnis",4600,"CLE","2B","COL",10.04
"Tony Wolters",3100,"COL","C","CLE",6.14
"Trevor Story",4800,"COL","SS","CLE",7.55
"Mark Reynolds",4400,"COL","1B","CLE",9.17
"Gerardo Parra",4600,"COL","OF","CLE",7.93
"Franchy Cordero",2400,"SDP","OF","ARI",5.45
"Wil Myers",3800,"SDP","1B","ARI",7.26
"Cory Spangenberg",2600,"SDP","3B/OF","ARI",5.31
"Carlos Gonzalez",3800,"COL","OF","CLE",8.93
"Nolan Arenado",5400,"COL","3B","CLE",10.62
"Daniel Robertson",3100,"CLE","OF","COL",6.58
"Michael Brantley",4900,"CLE","OF","COL",10.13
"Bradley Zimmer",4300,"CLE","OF","COL",8.38
"Ian Desmond",4500,"COL","1B/OF","CLE",8.34
"DJ LeMahieu",4600,"COL","2B","CLE",7.96
"Charlie Blackmon",5600,"COL","OF","CLE",10.76
"Yulieski Gurriel",3900,"HOU","1B","KCR",6.16
"Alex Bregman",3700,"HOU","3B","KCR",6.24
"Dee Gordon",3900,"MIA","2B","CHC",6.52
"J.T. Realmuto",3400,"MIA","C","CHC",5.06
"Adrian Beltre",4200,"TEX","3B","NYM",6.01
"Christian Yelich",4000,"MIA","OF","CHC",6.48
"Giancarlo Stanton",4900,"MIA","OF","CHC",7.09
"Tyler Moore",2500,"MIA","1B/OF","CHC",4.82
