"Name","Salary","Team","Position","OppTeam","Projections"
"Dietrich Enns",0,"MIN","SP","MIL",8.57
"Zach Davies",8400,"MIL","SP","MIN",16.39
"Carlos Rodon",7000,"CHW","SP","HOU",15.08
"Brad Peacock",9500,"HOU","SP","CHW",24.66
"Lance Lynn",7800,"STL","SP","KCR",19.24
"Yu Darvish",11400,"LAD","SP","ARI",21.72
"Anthony Banda",5600,"ARI","SP","LAD",13.18
"James Paxton",12300,"SEA","SP","LAA",25.86
"Tyler Skaggs",6200,"LAA","SP","SEA",12.7
"Chris Smith",6000,"OAK","SP","BAL",10.45
"Wade Miley",6300,"BAL","SP","OAK",12.97
"Jason Hammel",5800,"KCR","SP","STL",14.13
"Blake Snell",5300,"TBR","SP","CLE",10.02
"Dan Straily",6600,"MIA","SP","WAS",14.36
"Drew VerHagen",4800,"DET","SP","PIT",12.24
"Gerrit Cole",12000,"PIT","SP","DET",17.74
"Luis Castillo",9400,"CIN","SP","SDP",20.72
"Tanner Roark",7500,"WAS","SP","MIA",18.42
"Jacob deGrom",12700,"NYM","SP","PHI",29.8
"Danny Salazar",11700,"CLE","SP","TBR",23.7
"Marco Estrada",6500,"TOR","SP","NYY",12.55
"Sonny Gray",10900,"NYY","SP","TOR",20.64
"Vincent Velasquez",7700,"PHI","SP","NYM",15.54
"Dinelson Lamet",8900,"SDP","SP","CIN",18.16
