"Name","Salary","Team","Position","OppTeam","Projections"
"Zach Davies",6200,MIL,SP,ARI,11.42
"Randall Delgado",5400,ARI,SP,MIL,10.79
"Michael Wacha",7300,STL,SP,PHI,19.11
"Jeremy Hellickson",5800,PHI,SP,STL,12.56
"Matt Shoemaker",7000,LAA,SP,HOU,13.29
"Brad Peacock",7900,HOU,SP,LAA,14.91
"Amir Garrett",4300,CIN,SP,LAD,14.81
"Rich Hill",8100,LAD,SP,CIN,17.67
"Ervin Santana",11000,MIN,SP,SFG,21.52
"Matt Moore",6900,SFG,SP,MIN,16.25
"Sam Gaviglio",5000,SEA,SP,TOR,15.06
"Joseph Biagini",6000,TOR,SP,SEA,14.43
"Eric Skoglund",6700,KCR,SP,SDP,15.04
"Jhoulys Chacin",6400,SDP,SP,KCR,16.34
"Jordan Montgomery",7600,NYY,SP,BAL,15.52
"Dylan Bundy",6600,BAL,SP,NYY,18.03
"Tanner Roark",8200,WAS,SP,TEX,19.32
"Andrew Triggs",5700,OAK,SP,TBR,16.35
"Andrew Cashner",4500,TEX,SP,WAS,11.85
"Vance Worley",4000,MIA,SP,PIT,10.38
"Mike Montgomery",5300,CHC,SP,COL,15.6
"Tyler Glasnow",5200,PIT,SP,MIA,16.64
"Alex Cobb",7200,TBR,SP,OAK,18.52
"Miguel Gonzalez",4800,CHW,SP,CLE,12.77
"Matt Harvey",6500,NYM,SP,ATL,16
"Julio Teheran",7100,ATL,SP,NYM,17.76
"Brian Johnson",6500,BOS,SP,DET,13.86
"Jordan Zimmermann",4200,DET,SP,BOS,12.6
"Corey Kluber",12600,CLE,SP,CHW,27.59
"German Marquez",7500,COL,SP,CHC,14
