"Name","Salary","Team","Position","OppTeam","Projections"
"Max Kepler",4600,"MIN","OF","HOU",7.5
"Eddie Rosario",3800,"MIN","OF","HOU",6.16
"Jason Castro",2900,"MIN","C","HOU",5.71
"Eduardo Escobar",4100,"MIN","3B/SS","HOU",6.04
"Robbie Grossman",3400,"MIN","OF","HOU",6.49
"Josh Reddick",4500,"HOU","OF","MIN",7.3
"Jorge Polanco",3000,"MIN","SS","HOU",6.15
"Byron Buxton",4000,"MIN","OF","HOU",5.25
"Miguel Sano",4400,"MIN","3B","HOU",8.33
"Jose Abreu",3900,"CHW","1B","SEA",8.68
"Adam Engel",3400,"CHW","OF","SEA",5.85
"Avisail Garcia",3500,"CHW","OF","SEA",6.16
"Carlos Sanchez",3100,"CHW","2B","SEA",5.21
"Kevan Smith",2700,"CHW","C","SEA",5.02
"Brian Dozier",4300,"MIN","2B","HOU",7.35
"Matt Davidson",3700,"CHW","1B/3B","SEA",6.87
"George Springer",5500,"HOU","OF","MIN",8.3
"Carlos Beltran",3700,"HOU","OF","MIN",6.16
"Mike Napoli",4300,"TEX","1B","KCR",6.13
"Norichika Aoki",2500,"HOU","OF","MIN",4.24
"Kennys Vargas",3600,"MIN","1B","HOU",6.02
"Carlos Gomez",4500,"TEX","OF","KCR",7.47
"Nomar Mazara",4400,"TEX","OF","KCR",7.26
"Elvis Andrus",4200,"TEX","SS","KCR",6.83
"Rougned Odor",4400,"TEX","2B","KCR",7.4
"Marwin Gonzalez",4600,"HOU","3B/OF","MIN",7.7
"Jake Marisnick",3100,"HOU","OF","MIN",4.55
"Carlos Correa",4700,"HOU","SS","MIN",8.57
"Jose Altuve",5300,"HOU","2B","MIN",8.33
"Brian McCann",3400,"HOU","C","MIN",6.3
"Alex Bregman",4000,"HOU","3B","MIN",5.69
"Evan Gattis",4000,"HOU","C","MIN",5.71
"Yulieski Gurriel",3600,"HOU","1B","MIN",6.14
"Todd Frazier",3800,"CHW","3B","SEA",7.81
"Melky Cabrera",3800,"CHW","OF","SEA",7.17
"Tommy Joseph",3900,"PHI","1B","MIL",6.93
"Cameron Rupp",2800,"PHI","C","MIL",5.25
"Aaron Altherr",4400,"PHI","OF","MIL",7.47
"Andrew Knapp",3200,"PHI","C","MIL",5.55
"Andres Blanco",2200,"PHI","2B/3B","MIL",4.97
"Eric Thames",4600,"MIL","1B/OF","PHI",8.67
"Stephen Vogt",3200,"MIL","C","PHI",6.26
"Maikel Franco",3700,"PHI","3B","MIL",7.14
"Freddy Galvis",3600,"PHI","SS","MIL",5.76
"Brandon Phillips",3200,"ATL","2B","ARI",5.96
"Dansby Swanson",2800,"ATL","SS","ARI",5.36
"Kurt Suzuki",3000,"ATL","C","ARI",5.23
"Freddie Freeman",4900,"ATL","1B/3B","ARI",10.16
"Nick Williams",3800,"PHI","OF","MIL",5.97
