"Name","Salary","Team","Position","OppTeam","Projections"
"Yu Darvish",10500,"TEX","SP","OAK",22.07
"Kendall Graveman",4900,"OAK","SP","TEX",10.39
"Dallas Keuchel",9200,"HOU","SP","KCR",18.82
"Danny Duffy",9700,"KCR","SP","HOU",18.94
"Tommy Milone",5200,"MIL","SP","CHC",9.69
"Kyle Hendricks",9000,"CHC","SP","MIL",19.76
"Trevor Bauer",7000,"CLE","SP","ARI",13.92
"Zack Greinke",8100,"ARI","SP","CLE",16.18
"Felix Hernandez",9400,"SEA","SP","LAA",18.71
"Ricky Nolasco",7600,"LAA","SP","SEA",10.68
"Jhoulys Chacin",5500,"SDP","SP","SFG",9.1
"Madison Bumgarner",12500,"SFG","SP","SDP",26.08
"Clayton Kershaw",10000,"LAD","SP","COL",22.7
"Jon Gray",6500,"COL","SP","LAD",15.63
"Robert Gsellman",6900,"NYM","SP","MIA",13.41
"Adam Conley",6800,"MIA","SP","NYM",14.96
"Michael Wacha",7100,"STL","SP","CIN",17.98
"Masahiro Tanaka",7800,"NYY","SP","BAL",15.89
"Bronson Arroyo",5000,"CIN","SP","STL",7.64
"Miguel Gonzalez",6700,"CHW","SP","MIN",14.57
"Jordan Zimmermann",6900,"DET","SP","BOS",16.65
"Adalberto Mejia",6100,"MIN","SP","CHW",10.65
"Kevin Gausman",7500,"BAL","SP","NYY",16.99
"Aaron Sanchez",9500,"TOR","SP","TBR",16.76
"R.A. Dickey",6300,"ATL","SP","PIT",12.72
"Chad Kuhl",5700,"PIT","SP","ATL",14.82
"Jeremy Guthrie",0,"WAS","SP","PHI",13.2
"Aaron Nola",7700,"PHI","SP","WAS",16.56
"Chris Archer",10200,"TBR","SP","TOR",22.44
"Eduardo Rodriguez",7400,"BOS","SP","DET",14.44
