"Name","Salary","Team","Position","OppTeam","Projections"
"Robbie Ray",9400,"ARI","SP","STL",21.74
"Michael Wacha",9000,"STL","SP","ARI",18.43
"Derek Holland",5800,"CHW","SP","CLE",9.11
"Danny Salazar",7100,"CLE","SP","CHW",20.24
"Jose Quintana",9700,"CHC","SP","MIL",20.66
"Brent Suter",6800,"MIL","SP","CHC",12.25
"Jaime Garcia",5400,"MIN","SP","OAK",16.56
"Daniel Gossett",6200,"OAK","SP","MIN",13.85
"Chad Kuhl",5400,"PIT","SP","SDP",12.6
"Travis Wood",5300,"SDP","SP","PIT",10.12
"Alex Wood",11200,"LAD","SP","SFG",25.72
"Matt Moore",7200,"SFG","SP","LAD",13.73
"Rafael Montero",7200,"NYM","SP","SEA",10.68
"Ariel Miranda",5500,"SEA","SP","NYM",15.99
"Andrew Cashner",5700,"TEX","SP","BAL",13.61
"Chris Tillman",4900,"BAL","SP","TEX",9.87
"German Marquez",6700,"COL","SP","WAS",13.21
"Parker Bridwell",7000,"LAA","SP","TOR",12.12
"Tanner Roark",7500,"WAS","SP","COL",19.64
"Jeremy Hellickson",6100,"PHI","SP","ATL",12.1
"Austin Pruitt",4600,"TBR","SP","NYY",9.74
"Julio Teheran",8100,"ATL","SP","PHI",18.78
"J.A. Happ",6800,"TOR","SP","LAA",16.54
"Salvatore Romano",6600,"CIN","SP","MIA",15.43
"Dallas Keuchel",11600,"HOU","SP","DET",24.32
"Jordan Zimmermann",5000,"DET","SP","HOU",9.94
"David Price",10200,"BOS","SP","KCR",21.08
"Jason Vargas",7100,"KCR","SP","BOS",14.99
"Vance Worley",4500,"MIA","SP","CIN",13.62
"Masahiro Tanaka",7800,"NYY","SP","TBR",21.95
