"Name","Salary","Team","Position","OppTeam","Projections"
"Zack Greinke",10800,"ARI","SP","HOU",20.48
"Collin McHugh",8300,"HOU","SP","ARI",15.31
"Chad Bettis",6000,"COL","SP","ATL",10.65
"Julio Teheran",6400,"ATL","SP","COL",10.44
"Jakob Junis",5600,"KCR","SP","OAK",13.22
"Jharel Cotton",5500,"OAK","SP","KCR",15.03
"Yovani Gallardo",5600,"SEA","SP","BAL",12.93
"Kevin Gausman",8500,"BAL","SP","SEA",17.69
"Travis Wood",5300,"SDP","SP","PHI",12.16
"Jerad Eickhoff",8000,"PHI","SP","SDP",11.93
"Martin Perez",6500,"TEX","SP","DET",11.53
"Michael Fulmer",7900,"DET","SP","TEX",17.91
"Luis Cessa",5400,"NYY","SP","NYM",14.2
"Rafael Montero",5000,"NYM","SP","NYY",11.49
"Doug Fister",6100,"BOS","SP","CLE",15.2
"Rick Porcello",8200,"BOS","SP","CLE",14.43
"Jake Odorizzi",7600,"TBR","SP","TOR",17.61
"Nick Tepesch",4800,"TOR","SP","TBR",12.18
"Jose Quintana",11600,"CHC","SP","CIN",23.87
"Asher Wojciechowski",6700,"CIN","SP","CHC",10.91
"Adam Conley",5800,"MIA","SP","SFG",16.79
"Tyson Blach",6900,"SFG","SP","MIA",12.73
"Trevor Bauer",9200,"CLE","SP","BOS",14.75
