"Name","Salary","Team","Position","OppTeam","Projections","NA","NA","NA","NA","NA","NA","NA"
"player_id","stat_id","name","team","pos","home_moneyline","away_moneyline","home_total","away_total","opp","order","rpos","fpts"
"10325","458015","Joey Votto","CIN","1B","-200","185","5.64","3.86","CLE","3B","X","0"
"10340","408236","Adrian Gonzalez","LAD","1B","-140","130","4.05","3.45","STL","5B","X","0"
"10344","474832","Brandon Belt","SFG","1B/OF","-111","101","0","0","CHC","3B","X","0"
"10345","518692","Freddie Freeman","ATL","1B","110","-120","4.34","4.66","PIT","","","0"
"10354","519048","Mitch Moreland","BOS","1B","-184","174","5.24","3.76","TEX","6B","1B","0"
"10365","502517","Daniel Murphy","WAS","2B","-143","133","5.16","4.34","SEA","5B","X","0"
"10370","429664","Robinson Cano","SEA","2B","-143","133","5.16","4.34","WAS","3B","X","0"
"10371","435079","Ian Kinsler","DET","2B","-119","109","4.65","4.35","HOU","1B","2B","0"
"10373","450314","Ben Zobrist","CHC","2B/OF","-111","101","0","0","SFG","1B","2B","0"
"10375","456030","Dustin Pedroia","BOS","2B","-184","174","5.24","3.76","TEX","2B","2B","0"
"10376","435522","Neil Walker","NYM","2B","-210","194","4.51","2.99","SDP","4B","2B","0"
"10377","408252","Brandon Phillips","ATL","2B","110","-120","4.34","4.66","PIT","2B","2B","0"
"10382","431094","Aaron Hill","SFG","2B/OF","-111","101","0","0","CHC","","","0"
"10391","430001","Rickie Weeks","TBR","1B","-128","118","4.48","4.02","LAA","","","0"
"10395","457787","Danny Espinosa","LAA","2B","-128","118","4.48","4.02","TBR","8B","2B","0"
"10426","446334","Evan Longoria","TBR","3B","-128","118","4.48","4.02","LAA","3B","3B","0"
"10427","431151","David Wright","NYM","3B","-210","194","4.51","2.99","SDP","","","0"
"10429","475582","Ryan Zimmerman","WAS","1B","-143","133","5.16","4.34","SEA","4B","X","0"
"10430","134181","Adrian Beltre","TEX","3B","-184","174","5.24","3.76","BOS","","","0"
"10431","452104","Chase Headley","NYY","3B","-178","168","4.91","3.59","KCR","6B","X","0"
"10436","448602","Mark Reynolds","COL","1B","106","-116","4.14","4.36","PHI","","","0"
"10437","425509","Jhonny Peralta","STL","3B","-140","130","4.05","3.45","LAD","","","0"
"10441","501896","David Freese","PIT","3B","110","-120","4.34","4.66","ATL","5B","X","0"
"10442","502143","Danny Valencia","SEA","1B","-143","133","5.16","4.34","WAS","6B","X","0"
"10443","429665","Edwin Encarnacion","CLE","1B","-200","185","5.64","3.86","CIN","5B","X","0"
"10445","467055","Pablo Sandoval","BOS","3B","-184","174","5.24","3.76","TEX","","","0"
"10462","518614","Daniel Descalso","ARI","3B/OF","-101","-109","4.44","4.56","MIL","","","0"
"10464","456488","Eduardo Nunez","SFG","3B/OF","-111","101","0","0","CHC","6B","X","0"
"10471","434670","Hanley Ramirez","BOS","1B","-184","174","5.24","3.76","TEX","5B","DH","0"
"10474","408314","Jose Reyes","NYM","3B/SS","-210","194","4.51","2.99","SDP","2B","SS","0"
"10476","462101","Elvis Andrus","TEX","SS","-184","174","5.24","3.76","BOS","2B","X","0"
"10477","452220","Stephen Drew","WAS","3B/SS","-143","133","5.16","4.34","SEA","","","0"
"10480","488862","Yunel Escobar","LAA","3B","-128","118","4.48","4.02","TBR","","","0"
"10482","516770","Starlin Castro","NYY","2B","-178","168","4.91","3.59","KCR","4B","X","0"
"10483","452678","Asdrubal Cabrera","NYM","SS","-210","194","4.51","2.99","SDP","","","0"
"10484","460060","Cliff Pennington","LAA","2B/SS","-128","118","4.48","4.02","TBR","9B","3B","0"
"10486","430947","Erick Aybar","SDP","SS","-210","194","4.51","2.99","NYM","8B","SS","0"
"10487","435622","Ian Desmond","COL","1B/OF","106","-116","4.14","4.36","PHI","5B","X","0"
"10490","444876","Alcides Escobar","KCR","SS","-178","168","4.91","3.59","NYY","1B","X","0"
"10506","492841","Michael Martinez","TBR","2B/3B","-128","118","4.48","4.02","LAA","","","0"
"10508","461865","Andrew Romine","DET","2B/OF","-119","109","4.65","4.35","HOU","","","0"
"10509","471865","Carlos Gonzalez","COL","OF","106","-116","4.14","4.36","PHI","4B","X","0"
"10511","407812","Matt Holliday","NYY","1B","-178","168","4.91","3.59","KCR","3B","X","0"
