Name,Salary,Team,Position,OppTeam,Projections
Victor Martinez,3500,DET,1B,CHW,7.83
Miguel Cabrera,4600,DET,1B,CHW,9.65
Justin Upton,4000,DET,OF,CHW,8.11
Nick Castellanos,3600,DET,3B,CHW,7.51
Mikie Mahtook,2600,DET,OF,CHW,3.99
JaCoby Jones,2700,DET,3B/SS,CHW,6.55
Ian Kinsler,4200,DET,2B,CHW,8.86
Yasmani Grandal,3400,LAD,C,SDP,6.68
Yasiel Puig,4000,LAD,OF,SDP,6.48
Joc Pederson,3600,LAD,OF,SDP,6.25
Andrew Toles,2900,LAD,OF,SDP,5.09
James McCann,2700,DET,C,CHW,5.48
Jose Iglesias,2500,DET,3B/SS,CHW,5.14
Omar Narvaez,2500,CHW,C,DET,4.29
Cody Asche,0,CHW,OF,DET,4.73
Jacob May,0,CHW,OF,DET,4.19
Jose Ramirez,4300,CLE,3B/OF,TEX,5.14
Michael Brantley,4700,CLE,OF,TEX,5.95
Tyler Saladino,3400,CHW,3B/SS,DET,3.65
Avisail Garcia,3300,CHW,OF,DET,4.55
Timothy Anderson,3600,CHW,SS,DET,5.54
Melky Cabrera,3900,CHW,OF,DET,5.44
Jose Abreu,4000,CHW,1B,DET,5.7
Todd Frazier,4100,CHW,1B/3B,DET,5.72
Adrian Gonzalez,3800,LAD,1B,SDP,6.98
Justin Turner,3500,LAD,3B,SDP,8.51
Joe Mauer,3600,MIN,1B,KCR,5.49
Jorge Polanco,3300,MIN,2B/3B,KCR,5.87
Miguel Sano,4000,MIN,3B/OF,KCR,6.16
Max Kepler,3700,MIN,OF,KCR,4.86
Byron Buxton,3400,MIN,OF,KCR,6.34
Brian Dozier,4500,MIN,2B,KCR,7.57
Raul Mondesi,2400,KCR,2B/SS,MIN,5.16
Salvador Perez,3300,KCR,C,MIN,6.2
Alex Gordon,3500,KCR,OF,MIN,6.26
Paulo Orlando,3200,KCR,OF,MIN,5.48
Brandon Moss,3500,KCR,1B/OF,MIN,6.02
Eddie Rosario,3400,MIN,OF,KCR,4.5
Jason Castro,2800,MIN,C,KCR,3.61
Austin Hedges,2400,SDP,C,LAD,3.43
Ryan Schimpf,3200,SDP,2B/3B,LAD,3.19
Erick Aybar,0,SDP,SS,LAD,3.25
Logan Forsythe,3600,LAD,2B,SDP,7.84
Corey Seager,4400,LAD,SS,SDP,8.36
Hunter Renfroe,3000,SDP,OF,LAD,3.61
Yangervis Solarte,3100,SDP,2B/3B,LAD,3.98
Robbie Grossman,3500,MIN,OF,KCR,5.51
Travis Jankowski,2700,SDP,OF,LAD,4.11
Manuel Margot,3100,SDP,OF,LAD,4.67
Wil Myers,3800,SDP,1B/OF,LAD,4.92
Francisco Lindor,4500,CLE,SS,TEX,6.12
Edwin Encarnacion,4500,CLE,1B,TEX,6.13
Kole Calhoun,3500,LAA,OF,OAK,6.45
Yunel Escobar,3000,LAA,3B/SS,OAK,6.29
Mike Trout,5300,LAA,OF,OAK,8.9
Albert Pujols,3700,LAA,1B,OAK,6.69
C.J. Cron,3400,LAA,1B,OAK,5.61
Norichika Aoki,3400,HOU,OF,SEA,4.72
Yulieski Gurriel,3200,HOU,3B,SEA,5.11
Carlos Beltran,3700,HOU,OF,SEA,6.08
Brian McCann,3300,HOU,C,SEA,5.72
Alex Bregman,3800,HOU,3B,SEA,5.72
Josh Reddick,3500,HOU,OF,SEA,5.42
Danny Espinosa,2800,LAA,2B/SS,OAK,5.16
Andrelton Simmons,2900,LAA,SS,OAK,4.35
Marcus Semien,3300,OAK,3B/SS,LAA,5.69
Matt Joyce,2400,OAK,OF,LAA,5.86
Trevor Plouffe,3400,OAK,3B,LAA,5.66
Yonder Alonso,2800,OAK,1B,LAA,5.66
Jed Lowrie,2700,OAK,2B,LAA,5.44
Khris Davis,3800,OAK,OF,LAA,6.56
Ryon Healy,3300,OAK,1B/3B,LAA,6.44
Ben Revere,3000,LAA,OF,OAK,5.37
Martin Maldonado,2200,LAA,C,OAK,3.89
Rajai Davis,3600,OAK,OF,LAA,6.46
Stephen Vogt,3100,OAK,1B/C,LAA,6.27
Carlos Correa,4700,HOU,SS,SEA,6.17
Jose Altuve,4800,HOU,2B,SEA,6.78
Jonathan Lucroy,4100,TEX,C,CLE,5.36
Rougned Odor,4400,TEX,2B,CLE,5.7
Nomar Mazara,3800,TEX,OF,CLE,4.88
Elvis Andrus,3900,TEX,SS,CLE,4.77
Jurickson Profar,3400,TEX,2B/3B,CLE,4.3
Mike Napoli,3900,TEX,1B,CLE,5.5
Shin-Soo Choo,4200,TEX,OF,CLE,6.04
Carlos Santana,4500,CLE,1B,TEX,5.94
Tyler Naquin,3900,CLE,OF,TEX,5.01
Yan Gomes,3200,CLE,C,TEX,3.96
Carlos Gomez,4000,TEX,OF,CLE,5.56
Abraham Almonte,3500,CLE,OF,TEX,4.74
Joey Gallo,3700,TEX,3B/OF,CLE,4.91
Danny Valencia,3300,SEA,3B/OF,HOU,5.85
Mitch Haniger,3500,SEA,OF,HOU,5.77
Mike Zunino,2900,SEA,C,HOU,4.19
Leonys Martin,3200,SEA,OF,HOU,4.91
George Springer,4400,HOU,OF,SEA,6.4
Kyle Seager,4000,SEA,3B,HOU,5.56
Nelson Cruz,4400,SEA,OF,HOU,8.01
Yandy Diaz,3000,CLE,3B,TEX,4.22
Jarrod Dyson,3000,SEA,OF,HOU,5.36
Jean Segura,4200,SEA,2B/SS,HOU,6.24
Robinson Cano,4400,SEA,2B,HOU,6.19
Eric Hosmer,3700,KCR,1B,MIN,7.72
Lorenzo Cain,3900,KCR,OF,MIN,6.66
Andrew McCutchen,4700,PIT,OF,BOS,6.31
Josh Bell,3400,PIT,OF,BOS,4.91
Starling Marte,4900,PIT,OF,BOS,7.1
Gregory Polanco,4500,PIT,OF,BOS,6.4
David Freese,3300,PIT,1B/3B,BOS,4.78
Josh Harrison,3800,PIT,2B,BOS,5.2
Rene Rivera,2200,NYM,C,ATL,4.15
Jay Bruce,3400,NYM,OF,ATL,7.04
Neil Walker,3600,NYM,2B,ATL,6.72
Asdrubal Cabrera,3500,NYM,SS,ATL,6
Lucas Duda,3400,NYM,1B,ATL,5.77
Jordy Mercer,3300,PIT,SS,BOS,4.39
Dustin Pedroia,4100,BOS,2B,PIT,6.82
Sandy Leon,2900,BOS,C,PIT,5.81
Mitch Moreland,3300,BOS,1B,PIT,6.44
Francisco Cervelli,3300,PIT,C,BOS,4.96
Adam Frazier,3300,PIT,2B/OF,BOS,5.79
