Name,Salary,Team,Position,OppTeam,Projections
Kolten Wong,2600,STL,2B,CHC,4.81
Jarrett Parker,3100,SFG,OF,ARI,4.26
Denard Span,3600,SFG,OF,ARI,6.02
Eduardo Nunez,3700,SFG,3B/SS,ARI,7.01
Jedd Gyorko,3100,STL,2B/3B,CHC,4.65
Stephen Piscotty,3600,STL,OF,CHC,5.53
Matt Adams,2700,STL,1B,CHC,5.79
Jhonny Peralta,2800,STL,3B/SS,CHC,5.32
Yadier Molina,3000,STL,C,CHC,5.09
Hunter Pence,4000,SFG,OF,ARI,7.19
Buster Posey,3900,SFG,1B/C,ARI,7.66
A.J. Pollock,3700,ARI,OF,SFG,6.3
Jake Lamb,3600,ARI,3B,SFG,6.33
Paul Goldschmidt,4600,ARI,1B,SFG,7.06
David Peralta,3300,ARI,OF,SFG,6.22
Jeff Mathis,2000,ARI,C,SFG,3.56
Aaron Hill,2600,SFG,3B,ARI,6.03
Brandon Crawford,3400,SFG,SS,ARI,5.9
Brandon Belt,3700,SFG,1B,ARI,5.71
Chris Marrero,2500,SFG,1B/OF,ARI,5.31
Matt Carpenter,3700,STL,1B/3B,CHC,7.39
Aledmys Diaz,3600,STL,SS,CHC,5.37
Yulieski Gurriel,2900,HOU,3B,SEA,6.11
Brian McCann,3000,HOU,C,SEA,6.15
Norichika Aoki,3100,HOU,OF,SEA,5.4
Marwin Gonzalez,2700,HOU,1B/3B,SEA,5.1
Josh Reddick,3200,HOU,OF,SEA,6.54
Carlos Beltran,3400,HOU,OF,SEA,7.17
Alex Bregman,3600,HOU,3B,SEA,7.34
Jose Altuve,4400,HOU,2B,SEA,9.37
Carlos Correa,4400,HOU,SS,SEA,8.04
Kyle Schwarber,4100,CHC,C/OF,STL,8.07
Kris Bryant,4700,CHC,3B/OF,STL,8.64
Javier Baez,3400,CHC,2B/3B,STL,5.54
Randal Grichuk,3300,STL,OF,CHC,5.07
Dexter Fowler,3800,STL,OF,CHC,5.87
Willson Contreras,3200,CHC,C/OF,STL,5.9
Jason Heyward,2900,CHC,OF,STL,6
Anthony Rizzo,4500,CHC,1B,STL,8.59
Ben Zobrist,3700,CHC,2B/OF,STL,7.22
Addison Russell,3200,CHC,2B/SS,STL,6.14
Yasmany Tomas,3500,ARI,OF,SFG,5.46
Brandon Drury,3100,ARI,2B/OF,SFG,4.41
Hunter Renfroe,2700,SDP,OF,LAD,5.1
Ryan Schimpf,3000,SDP,2B/3B,LAD,6.2
Austin Hedges,2300,SDP,C,LAD,4.94
Erick Aybar,2300,SDP,SS,LAD,4.83
Yangervis Solarte,2900,SDP,2B/3B,LAD,5.99
Wil Myers,3800,SDP,1B/OF,LAD,6.53
Marcus Semien,3000,OAK,3B/SS,LAA,5.86
Ben Revere,2700,LAA,OF,OAK,4.95
Manuel Margot,2800,SDP,OF,LAD,6
Travis Jankowski,2500,SDP,OF,LAD,5.15
Andrew Toles,2700,LAD,OF,SDP,5.22
Joc Pederson,3300,LAD,OF,SDP,5.91
Yasmani Grandal,3300,LAD,C,SDP,6.17
Yasiel Puig,3400,LAD,OF,SDP,6.05
Enrique Hernandez,2400,LAD,2B/OF,SDP,5.14
Franklin Gutierrez,3000,LAD,OF,SDP,6.33
Adrian Gonzalez,3400,LAD,1B,SDP,6.06
Logan Forsythe,3300,LAD,2B,SDP,7.87
Corey Seager,4200,LAD,SS,SDP,7.51
Justin Turner,3200,LAD,3B,SDP,7.87
Yonder Alonso,2600,OAK,1B,LAA,5.54
Trevor Plouffe,3100,OAK,3B,LAA,5.75
Kole Calhoun,3200,LAA,OF,OAK,5.27
Mike Trout,4800,LAA,OF,OAK,8.96
