"Name","Salary","Team","Position","OppTeam","Projections"
"Thomas Pham",4800,"STL","OF","KCR",7.63
"Jedd Gyorko",2900,"STL","3B","KCR",7.72
"Kolten Wong",3400,"STL","2B","KCR",6.56
"Yadier Molina",4200,"STL","C","KCR",7.13
"Matt Carpenter",3600,"STL","1B","KCR",9
"Drew Butera",2300,"KCR","C","STL",4.93
"Paul DeJong",4600,"STL","2B/SS","KCR",7.48
"Randal Grichuk",3300,"STL","OF","KCR",5.97
"Jose Martinez",3500,"STL","1B/OF","KCR",5.8
"Seth Smith",3500,"BAL","OF","LAA",6.03
"Trey Mancini",3800,"BAL","1B/OF","LAA",7.12
"Manny Machado",4500,"BAL","3B","LAA",10.11
"Jonathan Schoop",4100,"BAL","2B","LAA",8.74
"Stephen Piscotty",2500,"STL","OF","KCR",6.95
"Adam Jones",3800,"BAL","OF","LAA",7.93
"Brandon Moss",3700,"KCR","OF","STL",6.12
"Jorge Bonifacio",3100,"KCR","OF","STL",5.72
"Chris Gimenez",2500,"MIN","C","MIL",5.13
"Joe Mauer",3600,"MIN","1B","MIL",5.91
"Eduardo Escobar",3300,"MIN","3B/SS","MIL",6.26
"Eddie Rosario",3400,"MIN","OF","MIL",5.9
"Robbie Grossman",3800,"MIN","OF","MIL",7.3
"Jorge Polanco",2600,"MIN","SS","MIL",6.06
"Byron Buxton",3000,"MIN","OF","MIL",6.3
"Melky Cabrera",4300,"KCR","OF","STL",6.47
"Whit Merrifield",4200,"KCR","2B","STL",6.55
"Mike Moustakas",4100,"KCR","3B","STL",6.41
"Alcides Escobar",2100,"KCR","SS","STL",5.26
"Eric Hosmer",3500,"KCR","1B","STL",7.01
"Alex Gordon",2800,"KCR","OF","STL",5.28
"Lorenzo Cain",4400,"KCR","OF","STL",6.72
"Joey Rickard",2100,"BAL","OF","LAA",5.51
"Caleb Joseph",3200,"BAL","C","LAA",5.16
"Jason Heyward",3500,"CHC","OF","SFG",5.91
"Kyle Schwarber",4200,"CHC","OF","SFG",6.18
"Hunter Pence",3500,"SFG","OF","CHC",6.73
"Ben Zobrist",3600,"CHC","2B/OF","SFG",7.29
"Albert Almora",2800,"CHC","OF","SFG",5.57
"Javier Baez",4400,"CHC","2B/SS","SFG",6.41
"Ian Happ",4400,"CHC","2B/OF","SFG",6.8
"Joe Panik",3000,"SFG","2B","CHC",5.94
"Denard Span",2900,"SFG","OF","CHC",6.63
"Jarrett Parker",2900,"SFG","OF","CHC",5.36
"Pablo Sandoval",3100,"SFG","3B","CHC",5.61
"Ryder Jones",2000,"SFG","3B","CHC",5.47
"Gorkys Hernandez",2400,"SFG","OF","CHC",4.95
"Buster Posey",3500,"SFG","1B/C","CHC",6.75
"Brandon Crawford",2700,"SFG","SS","CHC",6.27
"Willson Contreras",4900,"CHC","C","SFG",7.83
"Kris Bryant",5300,"CHC","3B","SFG",9.48
"Albert Pujols",3600,"LAA","1B","BAL",6.92
"Kole Calhoun",3100,"LAA","OF","BAL",6.64
"Martin Maldonado",2300,"LAA","C","BAL",5.62
"Tim Beckham",4600,"BAL","SS","LAA",6.14
"Welington Castillo",3700,"BAL","C","LAA",6.2
"Chris Davis",3700,"BAL","1B","LAA",8.8
"Andrelton Simmons",4400,"LAA","SS","BAL",6.69
"Ben Revere",3800,"LAA","OF","BAL",5.07
"Kaleb Cowart",2300,"LAA","2B/3B","BAL",5.29
"Anthony Rizzo",5400,"CHC","1B","SFG",6.38
"C.J. Cron",3600,"LAA","1B","BAL",6.18
"Mike Trout",5700,"LAA","OF","BAL",9.54
"Luis Valbuena",2300,"LAA","1B/3B","BAL",6.31
"Yunel Escobar",3400,"LAA","3B","BAL",6.83
"Max Kepler",3000,"MIN","OF","MIL",5.97
"Brian Dozier",4800,"MIN","2B","MIL",9.32
"Mikie Mahtook",3500,"DET","OF","PIT",6.48
"Ian Kinsler",4000,"DET","2B","PIT",7.35
"Victor Martinez",3200,"DET","1B","PIT",6.38
"James McCann",3200,"DET","C","PIT",6.15
"Miguel Cabrera",3400,"DET","1B","PIT",8.25
"Nick Castellanos",3400,"DET","3B","PIT",7.09
"Justin Upton",5400,"DET","OF","PIT",7.48
"Jim Adduci",2800,"DET","OF","PIT",6.28
"Dixon Machado",3000,"DET","2B/SS","PIT",5.55
"Adam Frazier",3800,"PIT","OF","DET",6.75
"David Freese",3900,"PIT","3B","DET",6.23
"Jordy Mercer",3000,"PIT","SS","DET",5.7
"Josh Harrison",3900,"PIT","2B/3B","DET",7.05
"Andrew McCutchen",4700,"PIT","OF","DET",8.98
"Josh Bell",3900,"PIT","1B","DET",6.84
"Howie Kendrick",4300,"WAS","2B/OF","MIA",6.81
"Wilmer Difo",3200,"WAS","2B/SS","MIA",6.39
"Derek Dietrich",3100,"MIA","3B","WAS",4.18
"Tyler Moore",2500,"MIA","1B/OF","WAS",3.19
"Marcell Ozuna",3600,"MIA","OF","WAS",5.19
"Giancarlo Stanton",4200,"MIA","OF","WAS",5.52
"J.T. Realmuto",3100,"MIA","C","WAS",4.07
"Christian Yelich",3500,"MIA","OF","WAS",5.46
"Miguel Rojas",2200,"MIA","3B/SS","WAS",3.5
"Ryan Zimmerman",4500,"WAS","1B","MIA",10.04
"Adam Lind",3300,"WAS","1B","MIA",5.59
"Bryce Harper",5600,"WAS","OF","MIA",8.28
"Matt Wieters",2400,"WAS","C","MIA",5.42
"Brian Goodwin",3800,"WAS","OF","MIA",5.99
"Anthony Rendon",4500,"WAS","3B","MIA",9.49
"Daniel Murphy",5000,"WAS","2B","MIA",6.86
"Francisco Cervelli",2700,"PIT","C","DET",6.06
"Starling Marte",4200,"PIT","OF","DET",7.64
"Eric Thames",3900,"MIL","1B/OF","MIN",7.48
"Domingo Santana",3600,"MIL","OF","MIN",6.66
"Travis Shaw",3800,"MIL","3B","MIN",8.74
"Yangervis Solarte",3700,"SDP","2B","CIN",6.67
"Manuel Margot",3800,"SDP","OF","CIN",6.58
"Austin Hedges",3400,"SDP","C","CIN",6.27
"Hernan Perez",3500,"MIL","3B/OF","MIN",5.48
"Orlando Arcia",3600,"MIL","SS","MIN",5.57
"Eric Sogard",2600,"MIL","2B/SS","MIN",6
"Keon Broxton",3400,"MIL","OF","MIN",6.65
"Ryan Braun",4300,"MIL","OF","MIN",8.3
"Jonathan Villar",3500,"MIL","2B","MIN",6.05
"Jesus Aguilar",3400,"MIL","1B","MIN",5.78
"Manuel Pina",2700,"MIL","C","MIN",5.41
"Hunter Renfroe",3700,"SDP","OF","CIN",6.62
"Carlos Asuaje",3500,"SDP","2B","CIN",6.61
"Eugenio Suarez",3700,"CIN","3B","SDP",7.03
"Adam Duvall",4700,"CIN","OF","SDP",7.72
"Joey Votto",5300,"CIN","1B","SDP",9.89
"Jose Peraza",2900,"CIN","2B/SS","SDP",5.31
"Gregory Polanco",3100,"PIT","OF","DET",7.28
"Billy Hamilton",4400,"CIN","OF","SDP",8.58
"Tucker Barnhart",3100,"CIN","C","SDP",4.52
"Scooter Gennett",4000,"CIN","2B/OF","SDP",7.31
"Cory Spangenberg",3900,"SDP","3B/OF","CIN",6.38
"Jose Pirela",3400,"SDP","OF","CIN",6.93
"Wil Myers",3600,"SDP","1B","CIN",7.83
"Zack Cozart",3400,"CIN","SS","SDP",7.37
"Devin Mesoraco",2500,"CIN","C","SDP",5.84
"Jesse Winker",3300,"CIN","OF","SDP",6.19
"Dee Gordon",3800,"MIA","2B","WAS",5.74
