"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,718001999,"windchimesRrude (145/150)",0,185.25,"P Jacob deGrom P Brandon Finnegan C J.T. Realmuto 1B Paul Goldschmidt 2B Dee Gordon 3B Travis Shaw SS Jonathan Villar OF A.J. Pollock OF Yasmany Tomás OF Eric Thames",NA,"Michael Pineda","42.53%",7.45
2,718903069,"Savan1986 (35/42)",0,185.05,"P Jacob deGrom P Danny Salazar C Yasmani Grandal 1B Brandon Belt 2B Logan Forsythe 3B Travis Shaw SS Francisco Lindor OF Hunter Pence OF A.J. Pollock OF Chris Owings",NA,"Chris Sale","27.31%",27.35
3,718851815,"bw5126 (126/150)",0,182.25,"P Jacob deGrom P Brandon Finnegan C Evan Gattis 1B Paul Goldschmidt 2B Jed Lowrie 3B Nolan Arenado SS Francisco Lindor OF Billy Hamilton OF Hunter Pence OF Chris Owings",NA,"Jacob deGrom","25.94%",23.7
4,718903533,"Savan1986 (40/42)",0,173.7,"P Dylan Bundy P Chris Sale C Buster Posey 1B Brandon Belt 2B José Peraza 3B Jake Lamb SS Corey Seager OF Nomar Mazara OF A.J. Pollock OF Chris Owings",NA,"Rich Hill","24.61%",20.25
5,718433074,"juanshen (35/150)",0,173,"P Michael Pineda P Brandon Finnegan C Sandy León 1B Paul Goldschmidt 2B Daniel Murphy 3B Ryan Zimmerman SS Chris Owings OF A.J. Pollock OF Yasmany Tomás OF Adam Eaton",NA,"Buster Posey","22.06%",10
6,718461210,"tkoblow (103/150)",0,172.7,"P Michael Pineda P Rich Hill C Buster Posey 1B Brandon Belt 2B Logan Forsythe 3B Jonathan Villar SS Francisco Lindor OF Matt Joyce OF A.J. Pollock OF Chris Owings",NA,"Trea Turner","21.21%",0
7,718407517,"beachcruiser84 (1/3)",0,172.6,"P Dylan Bundy P Rich Hill C J.T. Realmuto 1B Chris Davis 2B Brandon Phillips 3B Manny Machado SS Francisco Lindor OF Adam Jones OF Hunter Renfroe OF Mark Trumbo",NA,"A.J. Pollock","20.45%",17
7,718409775,"beachcruiser84 (2/3)",0,172.6,"P Dylan Bundy P Rich Hill C J.T. Realmuto 1B Chris Davis 2B Brandon Phillips 3B Manny Machado SS Francisco Lindor OF Adam Jones OF Hunter Renfroe OF Mark Trumbo",NA,"Bryce Harper","18.76%",14
7,718409995,"beachcruiser84 (3/3)",0,172.6,"P Dylan Bundy P Rich Hill C J.T. Realmuto 1B Chris Davis 2B Brandon Phillips 3B Manny Machado SS Francisco Lindor OF Adam Jones OF Hunter Renfroe OF Mark Trumbo",NA,"Paul Goldschmidt","18.29%",11
10,718903222,"cuzimaballa20",0,171.7,"P Dylan Bundy P Chris Sale C Yasmani Grandal 1B Adrián González 2B Daniel Murphy 3B Kyle Seager SS Francisco Lindor OF Adam Jones OF Andrew Benintendi OF Corey Dickerson",NA,"Charlie Blackmon","18.10%",4
