"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","25000"
"3","3","15000"
"4","4","10000"
"5","5","7500"
"6","6","5000"
"7","8","3000"
"9","10","2000"
"11","15","1500"
"16","20","1000"
"21","30","750"
"31","40","500"
"41","60","400"
"61","80","300"
"81","100","250"
"101","150","200"
"151","200","150"
"201","300","100"
"301","500","80"
"501","850","70"
"851","1600","60"
"1601","3010","50"
