"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,937470983,"Stubby74 (3/3)",0,325.5,"UTIL Klay Thompson F Draymond Green SG Jordan Clarkson G Brandon Ingram PG Lonzo Ball C Tyler Zeller SF Harrison Barnes PF LaMarcus Aldridge",NA,"Harrison Barnes","SF","63.65%",39.5
2,937272075,"AumannJoy",0,323.25,"PF Draymond Green PG Jordan Clarkson C Julius Randle SF Brandon Ingram UTIL Harrison Barnes SG Spencer Dinwiddie F LaMarcus Aldridge G Kyle Anderson",NA,"LaMarcus Aldridge","PF","60.45%",53
3,937463806,"c_nkosi (2/3)",0,321.5,"C Draymond Green G Kentavious Caldwell-Pope SG Brandon Ingram UTIL Trevor Booker SF Harrison Barnes PG Spencer Dinwiddie F Caris LeVert PF LaMarcus Aldridge",NA,"Tyreke Evans","SF","44.60%",32.75
4,937166059,"bigtimewincasado",0,320,"PG Stephen Curry PF Draymond Green G Jordan Clarkson SF Brandon Ingram C Trevor Booker UTIL Harrison Barnes F Caris LeVert SG Tyreke Evans",NA,"Klay Thompson","SG","39.64%",28.75
5,937615977,"20blks",0,318.5,"PF Draymond Green UTIL Jordan Clarkson SF Brandon Ingram C Trevor Booker G Spencer Dinwiddie F LaMarcus Aldridge SG Tyreke Evans PG Kyle Anderson",NA,"Draymond Green","UTIL","38.70%",50.25
6,937121329,"doolaville",0,317.5,"F Draymond Green G Brandon Ingram PG Lonzo Ball PF Trevor Booker UTIL Harrison Barnes SG Caris LeVert C LaMarcus Aldridge SF Kyle Anderson",NA,"Spencer Dinwiddie","PG","36.55%",34.25
7,937123525,"blaze644 (3/5)",0,316.5,"UTIL Klay Thompson PF Draymond Green PG Jordan Clarkson C Julius Randle SF Brandon Ingram SG Caris LeVert F LaMarcus Aldridge G Tyreke Evans",NA,"Kyle Anderson","PG","35.95%",25.5
8,937406198,"rayrazz11",0,316.25,"C Draymond Green SG Brandon Ingram UTIL Dwight Powell SF Harrison Barnes PG Spencer Dinwiddie PF LaMarcus Aldridge F Tyreke Evans G Kyle Anderson",NA,"Marc Gasol","UTIL","33.94%",27
9,936980046,"reem11 (7/8)",0,314.5,"F Draymond Green G Brandon Ingram SF Harrison Barnes PG Spencer Dinwiddie UTIL Caris LeVert C LaMarcus Aldridge PF JaMychal Green SG Tyreke Evans",NA,"Dennis Smith Jr.","PG","32.51%",16
10,936920139,"4thdwngmbt (8/10)",0,314.25,"SG Stephen Curry PF Draymond Green G Kentavious Caldwell-Pope SF Brandon Ingram PG Lonzo Ball UTIL Trevor Booker C Dwight Powell F Harrison Barnes",NA,"Stephen Curry","UTIL","30.29%",43.75
10,937738247,"makinitback",0,314.25,"PF Draymond Green G Jordan Clarkson F Brandon Ingram SF DeMarre Carroll UTIL Joe Harris PG Spencer Dinwiddie C LaMarcus Aldridge SG Tyreke Evans",NA,"Kentavious Caldwell-Pope","G","28.53%",31.75
12,936896031,"kershawk",0,314,"SG Stephen Curry PG Jordan Clarkson C Julius Randle F Brandon Ingram UTIL Trevor Booker SF Harrison Barnes PF LaMarcus Aldridge G Kyle Anderson",NA,"Dirk Nowitzki","PF","22.89%",21.25
13,937045267,"workingersc (3/12)",0,313.75,"PF Draymond Green UTIL Jordan Clarkson F Julius Randle G Brandon Ingram SF Harrison Barnes PG Spencer Dinwiddie SG Dennis Smith Jr. C LaMarcus Aldridge",NA,"Pau Gasol","F","22.86%",19
14,936930857,"Jonathaanchriss",0,313,"G Klay Thompson C Draymond Green PG Jordan Clarkson UTIL Brandon Ingram PF DeMarre Carroll SG Caris LeVert F LaMarcus Aldridge SF Kyle Anderson",NA,"Brandon Ingram","SF","22.52%",50.25
14,937499898,"RideorDie_79 (2/2)",0,313,"G Klay Thompson C Draymond Green PG Jordan Clarkson SG Brandon Ingram F DeMarre Carroll SF Harrison Barnes PF LaMarcus Aldridge UTIL Danny Green",NA,"Wesley Matthews","SF","22.52%",15.25
16,937083030,"kennyg1210 (2/2)",0,312.5,"SG Klay Thompson PF Draymond Green PG Jordan Clarkson C Jordan Bell SF Brandon Ingram UTIL Harrison Barnes G Spencer Dinwiddie F LaMarcus Aldridge",NA,"Trevor Booker","F","21.13%",31.5
