"Place_lo","Place_hi","Payout"
"1","1","500"
"2","2","300"
"3","3","200"
"4","4","150"
"5","5","100"
"6","7","75"
"8","10","60"
"11","15","50"
"16","23","40"
"24","35","30"
"36","50","20"
"51","75","10"
"76","125","7.5"
"126","250","5"
"251","502","2.5"
"503","1052","2"
"1053","2192","1.5"
