"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","50000"
"3","3","30000"
"4","4","15000"
"5","5","10000"
"6","7","7500"
"8","10","5000"
"11","15","4000"
"16","20","3000"
"21","30","2000"
"31","58","1500"
"59","98","1200"
"99","147","1000"
"148","217","800"
"218","317","700"
