Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
16.3,Julian,NE@NYJ 04:25PM ET,7809897,Edelman,Julian Edelman,Julian Edelman (7809897),NYJ,WR,15.8,17.1,1.0,0.270348837209,6800,NE,3.0,0.0
12.0,Russell,Sea@TB 04:05PM ET,7809640,Wilson,Russell Wilson,Russell Wilson (7809640),TB,QB,19.48,20.4,11.0,0.00630914826498,6700,SEA,2.0,0.0
13.3,Kelvin,Car@Oak 04:25PM ET,7809877,Benjamin,Kelvin Benjamin,Kelvin Benjamin (7809877),OAK,WR,14.46,13.3,2.0,0.220108695652,6700,CAR,6.0,0.0
34.8,Michael,LA@NO 01:00PM ET,7809835,Thomas,Michael Thomas,Michael Thomas (7809835),LA,WR,15.01,13.3,1.0,0.182033096927,6600,NO,6.0,0.0
19.6,Eli,NYG@Cle 01:00PM ET,7809618,Manning,Eli Manning,Eli Manning (7809618),CLE,QB,19.43,18.6,0.0,0.0,6500,NYG,4.0,0.0
22.0,Michael,Car@Oak 04:25PM ET,7809873,Crabtree,Michael Crabtree,Michael Crabtree (7809873),CAR,WR,14.86,15.1,2.0,0.23645320197,6500,OAK,4.0,0.0
21.7,Devonta,Ari@Atl 01:00PM ET,7809695,Freeman,Devonta Freeman,Devonta Freeman (7809695),ARI,RB,13.94,12.9,3.0,0.116477272727,6400,ATL,4.0,0.0
10.4,Doug,Sea@TB 04:05PM ET,7809862,Baldwin,Doug Baldwin,Doug Baldwin (7809862),TB,WR,17.42,15.2,1.0,0.249211356467,6400,SEA,4.0,0.0
20.7,Philip,SD@Hou 01:00PM ET,7809636,Rivers,Philip Rivers,Philip Rivers (7809636),HOU,QB,17.69,15.7,0.0,0.0,6300,SD,0.0,0.0
12.0,DeAndre,SD@Hou 01:00PM ET,7809855,Hopkins,DeAndre Hopkins,DeAndre Hopkins (7809855),SD,WR,14.59,15.7,1.0,0.265027322404,6300,HOU,4.0,0.0
32.2,Emmanuel,KC@Den 08:30PM ET,7809883,Sanders,Emmanuel Sanders,Emmanuel Sanders (7809883),KC,WR,13.89,14.2,2.0,0.272988505747,6200,DEN,5.0,0.0
22.3,Derek,Car@Oak 04:25PM ET,7809649,Carr,Derek Carr,Derek Carr (7809649),CAR,QB,20.18,19.3,0.0,0.0,6100,OAK,3.0,0.0
11.6,Spencer,KC@Den 08:30PM ET,7809751,Ware,Spencer Ware,Spencer Ware (7809751),DEN,RB,14.37,18.8,7.0,0.0777777777778,6100,KC,2.0,0.0
18.7,Brandon,NE@NYJ 04:25PM ET,7809894,Marshall,Brandon Marshall,Brandon Marshall (7809894),NE,WR,15.0,16.3,1.0,0.272206303725,6100,NYJ,3.0,0.0
6.0,Steve,Cin@Bal 01:00PM ET,7809791,Smith,Steve Smith,Steve Smith Sr. (7809791),CIN,WR,13.97,13.0,3.0,0.15587529976,6000,BAL,7.0,0.0
21.0,Tyrell,SD@Hou 01:00PM ET,7809859,Williams,Tyrell Williams,Tyrell Williams (7809859),HOU,WR,14.18,10.4,1.0,0.179624664879,6000,SD,10.0,0.0
20.4,Tyrod,Jax@Buf 01:00PM ET,7809603,Taylor,Tyrod Taylor,Tyrod Taylor (7809603),JAX,QB,18.18,15.9,0.0,0.0,5900,BUF,8.0,0.0
8.7,Jarvis,SF@Mia 01:00PM ET,7809843,Landry,Jarvis Landry,Jarvis Landry (7809843),SF,WR,17.32,14.3,1.0,0.282392026578,5900,MIA,5.0,0.0
6.7,LeGarrette,NE@NYJ 04:25PM ET,7809762,Blount,LeGarrette Blount,LeGarrette Blount (7809762),NYJ,RB,11.37,8.4,8.0,0.0174418604651,5900,NE,5.0,0.0
15.4,Rishard,Ten@Chi 01:00PM ET,7809773,Matthews,Rishard Matthews,Rishard Matthews (7809773),CHI,WR,12.94,14.1,3.0,0.177111716621,5800,TEN,5.0,0.0
9.5,Lamar,SD@Hou 01:00PM ET,7809723,Miller,Lamar Miller,Lamar Miller (7809723),SD,RB,16.09,12.7,5.0,0.0874316939891,5800,HOU,4.0,0.0
8.5,Greg,Car@Oak 04:25PM ET,7809977,Olsen,Greg Olsen,Greg Olsen (7809977),OAK,TE,16.82,17.3,1.0,0.23097826087,5800,CAR,1.0,0.0
12.9,Todd,LA@NO 01:00PM ET,7809714,Gurley,Todd Gurley,Todd Gurley (7809714),NO,RB,15.23,12.4,5.0,0.106936416185,5700,LA,4.0,0.0
37.1,Colin,SF@Mia 01:00PM ET,7809631,Kaepernick,Colin Kaepernick,Colin Kaepernick (7809631),MIA,QB,18.93,17.6,0.0,0.0,5700,SF,5.0,0.0
3.8,Thomas,Sea@TB 04:05PM ET,7809735,Rawls,Thomas Rawls,Thomas Rawls (7809735),TB,RB,13.73,11.6,8.0,0.0315457413249,5700,SEA,4.0,0.0
21.1,Blake,Jax@Buf 01:00PM ET,7809605,Bortles,Blake Bortles,Blake Bortles (7809605),BUF,QB,18.46,16.7,0.0,0.0,5600,JAX,6.0,0.0
17.8,Tyler,Cin@Bal 01:00PM ET,7809925,Eifert,Tyler Eifert,Tyler Eifert (7809925),BAL,TE,14.9,14.5,6.0,0.0681198910082,5600,CIN,1.0,0.0
7.9,Rashad,NYG@Cle 01:00PM ET,7809697,Jennings,Rashad Jennings,Rashad Jennings (7809697),CLE,RB,14.39,16.0,5.0,0.0654911838791,5600,NYG,3.0,0.0
22.1,Terrelle,NYG@Cle 01:00PM ET,7809819,Pryor,Terrelle Pryor,Terrelle Pryor Sr. (7809819),NYG,WR,14.26,14.7,1.0,0.255,5600,CLE,4.0,0.0
11.1,Devontae,KC@Den 08:30PM ET,7809756,Booker,Devontae Booker,Devontae Booker (7809756),KC,RB,13.67,14.2,5.0,0.0718390804598,5600,DEN,4.0,0.0
2.2,Sterling,NYG@Cle 01:00PM ET,7809822,Shepard,Sterling Shepard,Sterling Shepard (7809822),CLE,WR,13.03,12.8,2.0,0.183879093199,5500,NYG,7.0,0.0
26.8,Ryan,SF@Mia 01:00PM ET,7809633,Tannehill,Ryan Tannehill,Ryan Tannehill (7809633),SF,QB,17.35,16.4,0.0,0.0,5500,MIA,7.0,0.0
17.8,Latavius,Car@Oak 04:25PM ET,7809744,Murray,Latavius Murray,Latavius Murray (7809744),CAR,RB,13.15,10.8,5.0,0.076354679803,5500,OAK,5.0,0.0
8.0,Matt,NE@NYJ 04:25PM ET,7809758,Forte,Matt Forte,Matt Forte (7809758),NE,RB,15.19,12.9,5.0,0.0974212034384,5500,NYJ,4.0,0.0
14.7,Andy,Cin@Bal 01:00PM ET,7809609,Dalton,Andy Dalton,Andy Dalton (7809609),BAL,QB,17.99,17.5,0.0,0.0,5400,CIN,5.0,0.0
18.5,Tim,LA@NO 01:00PM ET,7809705,Hightower,Tim Hightower,Tim Hightower (7809705),LA,RB,11.81,9.4,8.0,0.0401891252955,5400,NO,5.0,0.0
16.2,Kenny,LA@NO 01:00PM ET,7809827,Britt,Kenny Britt,Kenny Britt (7809827),NO,WR,14.7,11.5,1.0,0.219653179191,5400,LA,8.0,0.0
17.0,Jameis,Sea@TB 04:05PM ET,7809644,Winston,Jameis Winston,Jameis Winston (7809644),SEA,QB,16.89,16.2,0.0,0.0,5400,TB,7.0,0.0
15.7,Jordan,Ten@Chi 01:00PM ET,7809670,Howard,Jordan Howard,Jordan Howard (7809670),TEN,RB,13.42,12.4,6.0,0.0980392156863,5300,CHI,4.0,0.0
14.3,Joe,Cin@Bal 01:00PM ET,7809608,Flacco,Joe Flacco,Joe Flacco (7809608),CIN,QB,17.4,15.5,0.0,0.0,5300,BAL,0.0,0.0
8.6,Mike,Cin@Bal 01:00PM ET,7809794,Wallace,Mike Wallace,Mike Wallace (7809794),CIN,WR,12.79,10.2,1.0,0.20623501199,5300,BAL,10.0,0.0
18.6,Carson,Ari@Atl 01:00PM ET,7809613,Palmer,Carson Palmer,Carson Palmer (7809613),ATL,QB,18.81,20.2,0.0,0.0,5300,ARI,2.0,0.0
11.7,Jimmy,Sea@TB 04:05PM ET,7809969,Graham,Jimmy Graham,Jimmy Graham (7809969),TB,TE,15.3,12.1,2.0,0.205047318612,5300,SEA,2.0,0.0
0.0,Jay,Ten@Chi 01:00PM ET,7809599,Cutler,Jay Cutler,Jay Cutler (7809599),TEN,QB,0.0,0.0,0.0,0.0,5200,CHI,0.0,0.0
12.0,Derrick,Ten@Chi 01:00PM ET,7809669,Henry,Derrick Henry,Derrick Henry (7809669),CHI,RB,5.07,5.5,9.0,0.0299727520436,5200,TEN,0.0,0.0
18.6,Jared,LA@NO 01:00PM ET,7809629,Goff,Jared Goff,Jared Goff (7809629),NO,QB,14.8,14.5,0.0,0.0,5200,LA,0.0,0.0
14.8,Willie,LA@NO 01:00PM ET,7809831,Snead,Willie Snead,Willie Snead (7809831),LA,WR,13.53,13.9,3.0,0.1536643026,5200,NO,6.0,0.0
15.1,Brock,SD@Hou 01:00PM ET,7809638,Osweiler,Brock Osweiler,Brock Osweiler (7809638),SD,QB,14.57,16.3,14.0,0.00273224043716,5100,HOU,7.0,0.0
10.0,Will,SD@Hou 01:00PM ET,7809861,Fuller,Will Fuller,Will Fuller (7809861),SD,WR,10.26,10.5,2.0,0.150273224044,5100,HOU,10.0,0.0
0.0,C.J.,Sea@TB 04:05PM ET,7809736,Prosise,C.J. Prosise,C.J. Prosise (7809736),TB,RB,0.0,0.0,6.0,0.0630914826498,5100,SEA,0.0,0.0
32.0,Trevor,KC@Den 08:30PM ET,7809655,Siemian,Trevor Siemian,Trevor Siemian (7809655),KC,QB,13.86,14.7,0.0,0.0,5100,DEN,0.0,0.0
