Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
7.5,Drew,NO@TB,7400,Brees,Drew Brees,Drew Brees (1000000),TB,QB,24.75,20.6,21.6925833351,22.586128698,0.0,0.0,7400,NO,2.0,0.0
0.5,Melvin,SD@CAR,7400,Gordon,Melvin Gordon,Melvin Gordon (1000000),CAR,RB,10.54,19.0,14.5711546395,15.1933874395,5.0,0.134433962,7400,SD,2.0,0.0
12.5,Cam,SD@CAR,7200,Newton,Cam Newton,Cam Newton (1000000),SD,QB,19.86,21.2,19.8419260465,20.6692991292,0.0,0.0,7200,CAR,1.0,0.0
4.2,Larry,ARI@MIA,7100,Fitzgerald,Larry Fitzgerald,Larry Fitzgerald (1000000),MIA,WR,15.96,17.9,16.3955733091,17.0808705191,1.0,0.28988764,7100,ARI,2.0,0.0
15.2,DeMarco,DEN@TEN,7000,Murray,DeMarco Murray,DeMarco Murray (1000000),DEN,RB,12.56,20.6,16.2992286418,16.9924679351,4.0,0.137055838,7000,TEN,2.0,0.0
6.3,Brandon,NYJ@SF,7000,Marshall,Brandon Marshall,Brandon Marshall (1000000),SF,WR,18.93,15.6,16.5102542261,17.1899970569,1.0,0.26746988,7000,NYJ,4.0,0.0
5.6,Ben,PIT@BUF,7000,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (1000000),BUF,QB,22.83,18.9,19.9566069636,20.7784256671,0.0,0.0,7000,PIT,4.0,0.0
19.2,Andrew,HOU@IND,6900,Luck,Andrew Luck,Andrew Luck (1000000),HOU,QB,21.57,20.1,20.0248889399,20.8543637158,0.0,0.0,6900,IND,2.0,0.0
1.0,Dez,DAL@NYG,6900,Bryant,Dez Bryant,Dez Bryant (1000000),NYG,WR,17.95,16.6,16.5981267368,17.2853998678,3.0,0.197831978,6900,DAL,3.0,0.0
0.8,Matt,NYJ@SF,6800,Forte,Matt Forte,Matt Forte (1000000),SF,RB,14.54,18.6,16.1323324386,16.8108397714,5.0,0.101204819,6800,NYJ,2.0,0.0
22.1,Jordy,SEA@GB,6800,Nelson,Jordy Nelson,Jordy Nelson (1000000),SEA,WR,18.78,16.5,16.9132062319,17.6117545562,1.0,0.247983871,6800,GB,3.0,0.0
18.4,Matthew,CHI@DET,6800,Stafford,Matthew Stafford,Matthew Stafford (1000000),CHI,QB,18.45,18.8,17.9665693174,18.7140524987,0.0,0.0,6800,DET,4.0,0.0
10.6,Doug,SEA@GB,6800,Baldwin,Doug Baldwin,Doug Baldwin (1000000),GB,WR,16.12,14.5,14.6933842062,15.300956094,1.0,0.245478036,6800,SEA,5.0,0.0
0.0,Michael,NO@TB,6700,Thomas,Michael Thomas,Michael Thomas (1000000),TB,WR,7.31,14.6,10.847626249,11.3127955903,1.0,0.185258964,6700,NO,5.0,0.0
9.0,Jameis,NO@TB,6700,Winston,Jameis Winston,Jameis Winston (1000000),NO,QB,18.88,19.3,18.4175512099,19.1839169806,0.0,0.0,6700,TB,3.0,0.0
12.4,Philip,SD@CAR,6600,Rivers,Philip Rivers,Philip Rivers (1000000),CAR,QB,16.84,20.0,17.8799969752,18.6293850292,0.0,0.0,6600,SD,2.0,0.0
11.7,Golden,CHI@DET,6600,Tate,Golden Tate,Golden Tate (1000000),CHI,WR,18.45,14.2,15.5678321458,16.2066004938,1.0,0.226244344,6600,DET,5.0,0.0
10.5,Russell,SEA@GB,6600,Wilson,Russell Wilson,Russell Wilson (1000000),GB,QB,21.57,19.7,19.8163030989,20.636324411,13.0,0.005167959,6600,SEA,3.0,0.0
21.5,Matt,ATL@LA,6500,Ryan,Matt Ryan,Matt Ryan (1000000),LA,QB,17.7,19.5,17.9997638566,18.7514666001,0.0,0.0,6500,ATL,3.0,0.0
8.5,Stefon,MIN@JAX,6500,Diggs,Stefon Diggs,Stefon Diggs (1000000),JAX,WR,13.3,15.5,13.9671654424,14.552032752,1.0,0.225806452,6500,MIN,4.0,0.0
21.2,Aaron,SEA@GB,6400,Rodgers,Aaron Rodgers,Aaron Rodgers (1000000),SEA,QB,23.19,18.6,19.9594463104,20.7800904358,0.0,0.0,6400,GB,4.0,0.0
11.1,Brandin,NO@TB,6400,Cooks,Brandin Cooks,Brandin Cooks (1000000),TB,WR,16.81,14.3,14.8943755136,15.5085587489,2.0,0.171314741,6400,NO,5.0,0.0
13.0,Jordan,CHI@DET,6400,Howard,Jordan Howard,Jordan Howard (1000000),DET,RB,4.61,14.0,9.3401570304,9.74677977838,5.0,0.094470046,6400,CHI,4.0,0.0
0.0,Donte,HOU@IND,6300,Moncrief,Donte Moncrief,Donte Moncrief (1000000),HOU,WR,15.28,14.2,14.165294461,14.7519733717,3.0,0.10745614,6300,IND,5.0,0.0
17.0,Kirk,WAS@PHI,6300,Cousins,Kirk Cousins,Kirk Cousins (1000000),PHI,QB,18.56,19.3,18.2759701187,19.0370776496,0.0,0.0,6300,WAS,3.0,0.0
16.5,Doug,NO@TB,6200,Martin,Doug Martin,Doug Martin (1000000),NO,RB,17.35,11.5,13.673192718,14.2300749865,8.0,0.03125,6200,TB,4.0,0.0
2.1,Kelvin,SD@CAR,6200,Benjamin,Kelvin Benjamin,Kelvin Benjamin (1000000),SD,WR,11.86,13.3,12.1828284064,12.6920395866,2.0,0.222222222,6200,CAR,6.0,0.0
