"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","25000"
"3","3","10000"
"4","4","6000"
"5","5","5000"
"6","6","4000"
"7","8","3000"
"9","10","2000"
"11","12","1500"
"13","14","1000"
"15","20","700"
"21","30","600"
"31","40","500"
"41","50","400"
"51","65","300"
"66","90","250"
"91","120","200"
"121","160","150"
"161","220","100"
"221","320","70"
"321","460","60"
"461","660","50"
"661","960","40"
"961","1460","35"
"1461","2160","30"
"2161","3160","25"
"3161","5230","20"
"5231","8280","15"
"8281","16530","12"
