"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9700,"KC@Pit 00:00PM ET","Pit","Antonio","Brown","KC",27.29,28.4,1,0.344827586206897,0
"WR","Julio Jones (0000000)","Julio Jones",0,9200,"Car@Atl 00:00PM ET","Atl","Julio","Jones","Car",19.41,25.2,1,0.194174757281553,0
"WR","Odell Beckham (0000000)","Odell Beckham",0,8700,"NYG@Min 00:00PM ET","NYG","Odell","Beckham","Min",18.35,20.3,1,0.300884955752212,0
"WR","A.J. Green (0000000)","A.J. Green",0,8500,"Mia@Cin 00:00PM ET","Cin","A.J.","Green","Mia",20.4,19.1,1,0.28448275862069,0
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,8400,"Ten@Hou 00:00PM ET","Hou","DeAndre","Hopkins","Ten",19.09,18.3,1,0.242990654205607,0
"WR","Allen Robinson (0000000)","Allen Robinson",0,8000,"Ind@Jax 00:00PM ET","Jax","Allen","Robinson","Ind",18.52,17,1,0.256,0
"WR","Dez Bryant (0000000)","Dez Bryant",0,7900,"Dal@SF 00:00PM ET","Dal","Dez","Bryant","SF",0,0,2,0.233009708737864,0
"RB","David Johnson (0000000)","David Johnson",0,7800,"LA@Ari 00:00PM ET","Ari","David","Johnson","LA",20.41,20.1,4,0.137096774193548,0
"QB","Cam Newton (0000000)","Cam Newton",0,7800,"Car@Atl 00:00PM ET","Car","Cam","Newton","Atl",23.46,24,0,0,0
"QB","Drew Brees (0000000)","Drew Brees",0,7600,"NO@SD 00:00PM ET","NO","Drew","Brees","SD",21.25,23,0,0,0
"WR","Amari Cooper (0000000)","Amari Cooper",0,7600,"Oak@Bal 00:00PM ET","Oak","Amari","Cooper","Bal",16.13,16.7,1,0.276422764227642,0
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,7500,"KC@Pit 00:00PM ET","Pit","Le'Veon","Bell","KC",20.18,19.9,11,0,0
"WR","Alshon Jeffery (0000000)","Alshon Jeffery",0,7500,"Det@Chi 00:00PM ET","Chi","Alshon","Jeffery","Det",15.45,19.2,2,0.2,0
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,7400,"NO@SD 00:00PM ET","NO","Brandin","Cooks","SD",18.28,16.2,1,0.194244604316547,0
"QB","Andrew Luck (0000000)","Andrew Luck",0,7400,"Ind@Jax 00:00PM ET","Ind","Andrew","Luck","Jax",24.05,23.6,0,0,0
"QB","Matthew Stafford (0000000)","Matthew Stafford",0,7300,"Det@Chi 00:00PM ET","Det","Matthew","Stafford","Chi",20.31,20.7,0,0,0
"WR","Marvin Jones (0000000)","Marvin Jones",0,7300,"Det@Chi 00:00PM ET","Det","Marvin","Jones","Chi",18.53,19.5,1,0.252032520325203,0
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7200,"LA@Ari 00:00PM ET","Ari","Larry","Fitzgerald","LA",19.97,17.2,1,0.266129032258065,0
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7100,"KC@Pit 00:00PM ET","Pit","Ben","Roethlisberger","KC",20.96,22.5,0,0,0
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,7100,"Car@Atl 00:00PM ET","Car","Kelvin","Benjamin","Atl",17.76,15.5,2,0.198198198198198,0
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7000,"Ind@Jax 00:00PM ET","Ind","T.Y.","Hilton","Jax",19.82,17.6,1,0.291338582677165,0
