"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,938882800,"docblaze (16/16)",0,342.25,"F LeBron James C Kevin Love PG C.J. McCollum SF Will Barton UTIL J.J. Redick PF Kenneth Faried G Marco Belinelli SG Alec Burks",NA,"Dario Saric","PF","56.57%",38.5
2,937945622,"EmileHeskey (134/150)",0,335.75,"SF LeBron James PG Kyrie Irving PF Al Horford SG Gary Harris G Austin Rivers C Dario Saric UTIL Alec Burks F Montrezl Harrell",NA,"Lou Williams","SG","45.89%",34.5
2,938725625,"suidmach (91/150)",0,335.75,"SF LeBron James PF Kevin Love UTIL Jusuf Nurkic G Khris Middleton F Dario Saric SG Taurean Prince C Amir Johnson PG Alec Burks",NA,"Ben Simmons","SF","42.32%",40.5
4,938183259,"bhicks32 (5/5)",0,332.25,"SF LeBron James PF Al Horford G Khris Middleton SG Kris Dunn PG Austin Rivers C Dario Saric F Joe Ingles UTIL Alec Burks",NA,"John Collins","C","42.11%",27.75
5,938870165,"MouthyBeyotch (2/3)",0,330.25,"PG Ben Simmons PF Kevin Love G Eric Bledsoe C Jusuf Nurkic UTIL Ricky Rubio SF J.J. Redick F Dario Saric SG Alec Burks",NA,"LeBron James","SF","30.66%",59
6,938596252,"teresafluis",0,329,"PF LeBron James PG Lou Williams F Al Horford SF Will Barton UTIL Ricky Rubio C Dario Saric G Alec Burks SG Jerryd Bayless",NA,"Nikola Jokic","C","26.19%",19
7,938593613,"cemrick83 (1/3)",0,328.5,"SF LeBron James PG Lou Williams C Jusuf Nurkic G Gary Harris F John Collins PF Dario Saric UTIL John Henson SG Alec Burks",NA,"Ricky Rubio","UTIL","25.39%",31.25
7,938675106,"btwice80 (24/35)",0,328.5,"G Kyrie Irving PG Lou Williams SG Donovan Mitchell C Jusuf Nurkic F Will Barton UTIL Austin Rivers PF Dario Saric SF Ersan Ilyasova",NA,"Jusuf Nurkic","UTIL","22.16%",46.75
9,938388763,"bcalicore (10/50)",0,327.5,"G Damian Lillard PF Kevin Love PG Donovan Mitchell C Al Horford UTIL Will Barton F Dario Saric SF Taurean Prince SG Alec Burks",NA,"Damian Lillard","PG","21.86%",35.75
10,938068377,"chifanpest",0,327.25,"SF LeBron James G Lou Williams C Jusuf Nurkic PG Kris Dunn PF John Collins UTIL Dario Saric F Kenneth Faried SG Alec Burks",NA,"Juancho Hernangómez","PF","21.20%",4.75
10,938443787,"Dinkpiece (14/20)",0,327.25,"SF LeBron James G Lou Williams PF Al Horford UTIL Will Barton SG J.J. Redick F Taurean Prince C Kenneth Faried PG Alec Burks",NA,"Amir Johnson","C","20.55%",25
12,938496270,"anilprao88 (22/150)",0,327,"F Giannis Antetokounmpo UTIL DeAndre Jordan C Derrick Favors SF Will Barton G Ricky Rubio PG Austin Rivers PF Ersan Ilyasova SG Alec Burks",NA,"Al Horford","C","19.70%",42.5
13,938707576,"wopgenius11",0,326.75,"PF Kevin Love UTIL Al Horford C Jusuf Nurkic SF Khris Middleton PG Ricky Rubio SG Dwyane Wade G Austin Rivers F Dario Saric",NA,"Austin Rivers","UTIL","19.58%",36.5
13,938739075,"MurphyLite (2/2)",0,326.75,"SF LeBron James PF Kevin Love PG Lou Williams SG Dwyane Wade C Dario Saric F Wesley Johnson UTIL Kenneth Faried G Alec Burks",NA,"Taurean Prince","F","19.51%",20.5
15,938844809,"dinod10215 (5/12)",0,326.5,"SF LeBron James PF Kevin Love C Jusuf Nurkic G Kris Dunn PG Dwyane Wade F Kenneth Faried SG Terry Rozier UTIL Alec Burks",NA,"Jerryd Bayless","G","17.18%",18.5
16,938385447,"moklovin (112/150)",0,326,"F Giannis Antetokounmpo C Al Horford UTIL Jusuf Nurkic PG Kris Dunn SG Austin Rivers SF Kent Bazemore PF Dario Saric G Alec Burks",NA,"Wesley Johnson","UTIL","16.85%",21.25
16,938496319,"anilprao88 (71/150)",0,326,"F Giannis Antetokounmpo UTIL DeAndre Jordan C Jusuf Nurkic SF Will Barton G Ricky Rubio SG Austin Rivers PF Amir Johnson PG Alec Burks",NA,"Giannis Antetokounmpo","SF","16.34%",50.75
18,938450733,"bellaedward4eva (45/150)",0,325.75,"G Kyrie Irving UTIL Kevin Love SG Lou Williams PF Al Horford F John Collins SF J.J. Redick C Dario Saric PG Alec Burks",NA,"Joe Ingles","SG","16.10%",24
